Title: Die alte Jungfer
Number of all lemmas: 3369
Nummber of different lemmas: 1301

Lemma	POS	Frequency	Tokens
Herr	NN	84	Herr, Herren, Herrn
Capitaine	NN	41	Capitaine
sagen	VVFIN, VVINF, VVPP	39	sagt, Sage, sagen, sagst, gesagt, sagte, Sagen, sage, sagten
gut	ADJD, ADJA	37	gut, besten, beste, Gut, besser, guten, gute, guter
Schlag	NN	36	Schlag, Schlage
ach	ITJ	36	Ach
Mann	NN	33	Mann, Männer, Manne, Männern, Mannes
wohl	ADV	33	wohl, Wohl
Jahr	NN	32	Jahr, Jahren, Jahrs, Jahre
wissen	VVFIN, VVINF	30	weiß, wissen, wüßtest, wüßte, Weiß
Jungfer	NN	27	Jungfer, Jungfern
alt	ADJD, ADJA	26	alt, ältesten, altes, alten, alte, altem, Alte
nehmen	VVFIN, VVINF, VVIMP, VVPP	25	nimmt, Nehmen, nehme, nähme, nehmen, nimm, genommen
heiraten	VVINF, VVFIN, VVPP	23	heiraten, Heirate, heirate, geheiratet
gar	ADV	23	gar, Gar
lieb	ADJA, ADJD	23	lieber, liebe, lieb, lieben
nu	ITJ	21	nu, Nu
sehen	VVFIN, VVINF, VVPP	20	sehe, sehen, sieht, gesehen, siehst, Sieht, sahen, sähe
Lelio	NE	19	Lelio
denken	VVFIN, VVINF	19	denke, denkt, denken, dächte, dächten, dachte, Denken
glauben	VVINF, VVFIN, VVPP	19	glauben, glaube, glaubst, Glauben, Glaubst, geglaubt
gewiss	ADJD	18	gewiß, Gewiß
Gott	NN	18	Gott, Gottes
wahr	ADJD	18	wahr
ha	NE	17	ha
wenige	PIS, PIAT	16	wenig, weniger
heißen	VVFIN, VVINF	16	hieße, heißt, heißen
Kind	NN	16	Kinder, Kind
Muhme	NN, NE	16	Muhme
Lisette	NE	16	Lisette
Mademoiselle	NN	15	Mademoiselle
sonst	ADV	15	sonst, Sonst
schuldig	ADJD	15	schuldig
recht	ADJD, ADJA	15	recht, rechter
hören	VVFIN, VVINF	14	hört, hören, höre, Hören, hörte, Hört
Bräutigam	NN	13	Bräutigam, Bräutigams
reden	VVFIN, VVINF, VVPP	13	reden, Reden, geredet, rede, redet, redest
Ohldin	NE, NN	13	Ohldin
erst	ADV, ADJA	13	erst, ersten, erste
Frau	NN	12	Frau
Peter	NE	12	Peter
Sache	NN	12	Sachen, Sache
Teufel	NN	11	Teufels, Teufel
Braut	NN	11	Braut
versprechen	VVFIN	11	versprach, verspreche, verspricht, Versprechen, versprechen
itzo	ADJD, VVFIN, VVIMP, NN	11	itzo
bald	ADV	11	bald
Ha	NE	11	Ha
Hand	NN	11	Händen, Hand, Hände
Vetter	NN, NE	10	Vetters, Vetter
Schneider	NE	10	Schneider
Henker	NN	10	Henker
Poete	NN	10	Poete
Kerl	NN	10	Kerl, Kerlen
Heirat	NN	10	Heirat
Geld	NN	10	Geld, Gelde, Gelder
bezahlen	VVINF, VVFIN, VVPP	9	bezahlen, bezahlt, bezahle
Poet	NN	9	Poeten
Wort	NN	9	Wort, Worte, Wörter
bekommen	VVFIN, VVINF	9	bekomme, bekommen, Bekomme, bekäme
Name	NN	9	Namen, Name, Namens
lange	ADV	9	lange
kömmt	VVFIN, ADJD	9	kömmt
Zeit	NN	9	Zeit, Zeiten
etwan	NE, NN	9	etwan
Weib	NN	8	Weib, Weiber
Augenblick	NN	8	Augenblick
@card@	CARD	8	1724, 1748, 34
Oronte	VVFIN, VVINF, ADJD	8	Oronte
Ei	NN	8	Ei
sehnen	VVIMP	8	sehn
närrisch	ADJA, ADJD	8	närrische, närrisch
heute	ADV	8	heute
Freund	NN	8	Freund, Freunden, Freunde
Kopf	NN	8	Kopf, Kopfe, Köpfe
vielleicht	ADV	8	Vielleicht, vielleicht
fort	PTKVZ, ADV	8	fort
ehrlich	ADJA	7	ehrlichen, ehrliches, ehrliche, ehrlicher
er|es	PPER	7	Ihm
eben	ADV	7	eben, Eben
Narr	NN	7	Narr, Narren
bitten	VVINF, VVFIN	7	bitten, bitte
klein	ADJA	7	kleine, kleinen, kleinste, kleiner
unsre	PPOSAT	7	unsre, unsern
genug	ADV	7	genug
vortrefflich	ADJD, ADJA	7	vortrefflich, vortrefflichen, vortreffliche
Art	NN	7	Art
artig	ADJA, ADJD	7	artige, artigen, artiger, artig, artigsten
Haus	NN	7	Hause, Haus
verstehen	VVFIN, VVIMP, VVPP	7	verstehen, versteh, verstanden
richtig	ADJD	6	richtig
übel	ADJD	6	übel
Tat	NN	6	Tat
Tag	NN	6	Tage, Tag, Tagen, Tags
sachte	ADV	6	sachte, Sachte
groß	ADJA, ADJD	6	großer, großen, groß
Narre	NN	6	Narre
kaufen	VVFIN, VVPP	6	kauft, Kaufen, kaufte, kaufe, gekauft
Unglück	NN	6	Unglück, Unglücke
warten	VVFIN, VVINF, VVPP	6	Warte, warten, Warten, gewartet
Erbschaft	NN	6	Erbschaft
stehen	VVFIN	6	stünde, steht, Steht, stehe
Glück	NN	6	Glück
verzeihen	VVFIN	6	verzeihe, verzeihen, Verzeihen
Geschlecht	NN	6	Geschlecht, Geschlechte
weg	ADV, PTKVZ	6	weg
Stand	NN	6	Standes, Stande
kennen	VVPP, VVFIN, VVINF	6	gekannt, kennst, kennen, kennt
schicken	VVPP, VVINF, VVFIN	6	geschickt, schicken, schickt
Korb	NN	6	Korb
Hochzeit	NN	6	Hochzeit
Nu	NN	6	Nu
Frauenzimmer	NN	6	Frauenzimmer, Frauenzimmern
lang	ADJA, ADJD	6	lange, lang, länger
Mensch	NN	6	Mensch, Menschen
Vermögen	NN	5	Vermögen
brauchen	VVFIN	5	brauche, brauchst, brauchen, braucht
Neue	NN	5	Neues
paar	PIS, PIAT	5	Paar
kurz	ADJD	5	kurz, Kurz
24	CARD	5	24
zehn	CARD	5	zehn
Seite	NN	5	Seite
Taler	NN	5	Taler
gehn	VVFIN	5	gehn
Fuß	NN	5	Füßen, Fuß, Füße
ansehen	VVFIN, VVINF	5	ansieht, ansehen
Leute	NN	5	Leuten, Leute
lachen	VVFIN, VVINF	5	lachst, lachen, lacht
allerlieb	ADJA	5	allerliebstes, allerliebste, allerliebster
dumm	ADJA, ADJD	5	dumme, dumm, dümmer
verdammt	ADJA	5	verdammte, verdammter
Schuld	NN	5	Schuld, Schulden
einzig	ADJA, ADJD	5	einziges, einzige, einzigen, einziger, einzig
Sies	NN	5	Sies
unglücklich	ADJD, ADJA	5	unglücklich, unglückliche
zwei	CARD	5	zwei
Gesicht	NN	5	Gesichte, Gesicht
stecken	VVINF, VVFIN	5	stecken, steckt, steckten
Hund	NN	5	Hund
dergleichen	PIS	5	dergleichen
wohnen	VVFIN, VVPP	4	wohnt, gewohnt
gütig	ADJA, ADJD	4	gütige, gütig
drei	CARD	4	drei
Seele	NN	4	Seele, Seelen
glücklich	ADJA, ADJD	4	glücklichen, glücklich, glückliche
gern	ADV	4	gern
900	CARD	4	900
schön	ADJA, ADJD	4	schönes, schöne, schön
Person	NN	4	Person, Personen
Stube	NN	4	Stube
niemand	PIS	4	niemand
deutlich	ADJD, ADJA	4	deutlich, deutlichen, deutlichsten
breit	ADJA, ADJD	4	breiten, breit, breite
leben	VVFIN, VVINF	4	Leben, lebe, leben
böse	ADJA	4	böses, böse
behüten	VVFIN	4	behüte, Behüte
kehren	VVFIN	4	Kehren, kehren
@ord@	ADV, ADJA	4	1724., 45.
spielen	VVINF, VVPP	4	spielen, gespielt
Hölle	NN	4	Hölle
entschließen	VVINF, VVFIN, VVPP	4	entschließen, entschlossen
schmecken	VVPP, VVFIN	4	geschmeckt, schmeckt, schmeckte
Schritt	NN	4	Schritte, Schritt
Gedanke	NN	4	Gedanken
Carmen	NE	4	Carmen
bürgerlich	ADJA	4	bürgerlichen
wert	ADJD	4	wert
fertig	ADJD, PTKVZ	4	fertig
adieu	ADV	4	Adieu
Makrone	NN	4	Makronen
setzen	VVFIN, VVPP	4	setzt, Gesetzt
genießen	VVINF, VVPP, VVFIN	4	genießen, genossen
Stelle	NN	4	Stelle
vier	CARD	4	Vier, vier, vieren
Heirat|Heiraten	NN	4	Heiraten
fürchten	VVINF, VVFIN	4	fürchten, fürchte
Dank	NN	4	Dank
Fehler	NN	4	Fehler
besinnen	VVFIN, VVINF	4	besinne, besinnen
Gedicht	NN	4	Gedicht, Gedichte
borgen	VVINF, VVPP	4	borgen, Geborgt, geborgt
zwanzig	CARD	4	zwanzig
allzu	PTKA	4	allzu
Neuigkeit	NN	4	Neuigkeit, Neuigkeiten
Wechsel	NN	4	Wechsel
wünschen	VVINF	4	wünschen
erbaulich	ADJA, ADJD	4	erbaulichem, Erbaulich, erbaulich, erbauliche
zählen	VVFIN, VVINF	4	Zähle, zählen
einander	PRF	4	einander
