Title: Philotas
Number of all lemmas: 2565
Nummber of different lemmas: 1130

Lemma	POS	Frequency	Tokens
Vater	NN	78	Vater, Vaters, Väter, Vätern
Prinz	NE, NN	56	Prinz, Prinzen
König	NN, NE	48	König, Königs, Könige
Sohn	NN	32	Sohn, Söhne, Sohnes, Sohne
hören	VVFIN, VVINF, VVIMP	29	höre, hören, hörtest, Höre, Hörst, Hör, hör, Höret
sagen	VVFIN, VVINF, VVPP, VVIMP	28	sagte, sagst, sagen, gesagt, Sage, sage, sag
gut	ADJA, ADJD	27	besten, beste, Gut, gute, gut, besser, Gute, guten, bester, guter, gutes
Gott	NN	27	Götter, Göttern, Gott
Schwerd	NE, NN	25	Schwerd
wissen	VVFIN, VVINF	22	Wüßte, wissen, weiß, wüßte
Strato	NE, NN	21	Strato
sehen	VVFIN, VVIMP, VVINF	19	sähe, sieh, sahen, sehen, sehe, siehst, Sieh, siehest
sterben	VVFIN, VVPP, VVINF, VVIMP	18	sterbe, gestorben, sterben, Stirb, stirb, stirbt
wohl	ADV	15	wohl, Wohl
Feind	NN	14	Feindes, Feind, Feinde
glauben	VVFIN, VVINF, VVIMP, VVPP	13	glaubte, glaubst, glaubt, glauben, glaube, glaub, Glaube, geglaubt, Glaubt
gefangen	PTKVZ, ADJD, ADJA	13	gefangen, Gefangen, Gefangener, gefangene, gefangenen
Parmenio	NE, NN	13	Parmenio
lieb	ADJD, ADJA	13	lieber, liebes, lieb, liebster, Liebes
schwören	VVFIN, VVPP	12	schwöre, Schwöre, schwören, geschworen
gern	ADV	11	gern
Mann	NN	11	Mann, Männer
nehmen	VVIMP, VVFIN, VVINF, VVPP	11	nimm, nahm, nehmen, genommen, Nimm
Soldat	NN	11	Soldaten, Soldat
genug	ADV	11	genug, Genug
erst	ADV, ADJA	11	erst, ersten
vielleicht	ADV	11	vielleicht, Vielleicht
Jüngling	NN	11	Jüngling, Jünglings
alt	ADJA, ADJD	10	alte, alter, alten, alt, älter
denken	VVINF, VVFIN	10	denken, dachte, denke, denkst
Kind	NN	10	Kind, Kinde, Kinder
Freund	NN, NE	10	Freunde, Freund
unser	PPOSAT	10	unsere, unserm, unser, Unsere, unserer
glücklich	ADJA, ADJD	9	glückliche, glücklicher, glücklichen, glücklich, Glücklicher
itzt	ADJD, VVFIN	9	itzt
bald	ADV	9	Bald, bald
Wort	NN	9	Wort, Worte
nie	ADV	9	nie
Held	NN	9	Helden, Held
sonst	ADV	9	sonst, Sonst
Wunde	NN	9	Wunde, Wunden
Mensch	NN	9	Mensch, Menschen
Tag	NN	8	Tagen, Tage
Tod	NN	8	Tod, Todes
groß	ADJA, ADJD	8	große, größtes, groß, großer, großen, größere
morgen	ADV	8	morgen
leben	VVPP, VVFIN, VVINF	8	gelebt, Lebe, leben, lebt, Lebt
Zeit	NN	8	Zeit
umarmen	VVFIN, VVINF	7	umarmte, umarmen, umarme, Umarme
Blut	NN	7	Blut, Blute, Blutes, Bluts
Alter	NN	7	Alter, Alters
Gefangene	NN	7	Gefangener, Gefangenen
Einfall	NN	7	Einfälle, Einfall
klein	ADJD, ADJA	7	klein, kleine, kleinen, kleines, kleiner
Jahr	NN	7	Jahren, Jahr, Jahre
kömmt	VVFIN, ADJA	7	kömmt
kennen	VVFIN, VVINF	7	kennst, kenne, kennen
lieben	VVINF, VVFIN	7	lieben, liebt, liebst
verstehen	VVFIN, VVINF, VVPP	7	verstehe, verstehen, verstanden, versteht
lang	ADJA, ADJD	7	langen, länger, lang, lange
allein	ADV	7	allein
weißen	VVFIN	6	weißt
Leben	NN	6	Leben, Lebens
laß	ADJD	6	laß
recht	ADJD, PTKVZ	6	Recht, recht
bitten	VVPP, VVINF, VVIMP, VVFIN	6	gebeten, bitten, Bitte, bitte
Glück	NN	6	Glück
Philotas	NN, NE	6	Philotas
oft	ADV	6	oft
Polytimet	NN, NE	6	Polytimet
gewiss	ADJA, ADJD	5	gewisse, gewisser, gewiß
wenige	PIS, PIAT	5	wenig, weniger
elend	ADJA, ADJD	5	Elenden, elend, elender, Elender
Seele	NN	5	Seelen, Seele
schmeicheln	VVFIN, VVINF	5	Schmeichle, schmeichelte, schmeicheln
Schwur	NN	5	Schwur, Schwüre
