Title: Miß Sara Sampson
Number of all lemmas: 10095
Nummber of different lemmas: 2615

Lemma	POS	Frequency	Tokens
Mellefont	ADJD, VVFIN, NN, VVIMP, ADJA, NE, VVINF	144	Mellefont
Miss	NN	120	Miß
Marwood	NE	109	Marwood
lassen	VVIMP, VVFIN, VVPP, VVINF	107	Laß, läßt, lasse, lassen, laß, gelassen, ließ, Lassen, ließen, laßt
sagen	VVFIN, VVINF, VVPP, VVIMP	95	sage, Sagte, sagen, gesagt, Sagen, Sag, sagst, sagt, sagte, sag, Sage, sagtest
sehen	VVINF, VVFIN, VVIMP, VVPP	90	sehen, sehe, Sieh, sieht, Sehen, sieh, sahen, gesehen, siehst, Siehst, sah
Vater	NN	86	Vater, Vaters
wissen	VVFIN, VVINF	76	weiß, wissen, wüßte, wußten, Wisse, Weiß, wußte, wüßten
ach	ITJ	71	Ach, ach
schon	ADV	70	schon, Schon
gut	ADJA, ADJD	67	beste, besser, gut, gute, gutes, Gut, guten, guter, bester, besten, bessere, Gute, Besser, Bester
Lady	NN	67	Lady
gehen	VVINF, VVFIN, VVIMP, VVPP	66	gehen, geht, Geht, Geh, gingen, gehe, geh, Gehen, Gehet, ging, gehet, gegangen
kommen	VVINF, VVFIN, VVIMP, VVPP	64	kommen, komme, Kommen, kam, Komm, komm, gekommen, käme, kamen, Komme
wohl	ADV	63	wohl, Wohl
Liebe	NN	61	Liebe
ja	PTKANT, ADV	60	Ja, ja
mehr	ADV, PIS, PIAT	59	mehr
lieb	ADJD, ADJA	56	lieber, liebster, liebste, Liebste, liebsten, liebe, lieb, Lieber, lieben
Herz	NN	55	Herz, Herzen, Herzens
tun	VVINF, VVFIN, VVPP	55	tun, Tun, getan, tue, tut, Tut, tat
ganz	ADJA, ADV	52	ganzen, ganze, ganz, Ganz, ganzes
warum	PWAV	48	warum, Warum
gewiss	ADJD, ADJA	47	gewiß, gewisse, gewisses, Gewiß, gewisser, gewissen
wer	PWS	46	wer, Wer, Wessen, wem, wessen, wen, Wem, Wen
Sara	NE	44	Sara
Augenblick	NN	43	Augenblicke, Augenblick, Augenblicken
vielleicht	ADV	42	vielleicht, Vielleicht
lieben	VVPP, VVFIN, VVINF	42	geliebt, liebt, lieben, liebten, liebte, liebe, liebet
Hand	NN	42	Hand, Händen, Hände
Waitwell	NE, ADJD, NN	41	Waitwell
Brief	NN	41	Brief, Briefe, Briefes
dürfen	VMFIN, VMINF	40	darfst, dürfen, darf, Darf, dürfte, durfte, dürfe
nein	PTKANT	40	Nein, nein
Tochter	NN	39	Tochter
mögen	VMFIN	37	mag, möchten, möchte, Möchte, mögen, Mochte, möge, Mag, mochte
geben	VVINF, VVFIN, VVIMP, VVPP	36	geben, Geben, gab, Gib, gibt, gebe, gib, gegeben
allein	PTKVZ, ADV	36	allein, Allein
glauben	VVFIN, VVINF	34	glaubt, glauben, Glauben, glaubst, glaube, glaubte, glaubten, Glaubst
vergessen	VVPP, VVINF, VVFIN, VVIMP	33	vergessen, Vergessen, vergesse, vergiß, vergißt, vergaß
eben	ADV	32	eben, Eben
glücklich	ADJD, ADJA	31	glücklich, glücklicher, glücklichen, glückliche, Glücklich, glücklichste, Glückliche
bringen	VVINF, VVFIN, VVPP, VVIMP	30	bringen, bringe, brachten, gebracht, bringt, bring, bringst, Bringe, brachte, brächten
itzt	ADJD, VVFIN	30	itzt
genug	ADV	29	genug, Genug
erst	ADJA, ADV	29	ersten, erste, erst
wahr	ADJA, ADJD	29	wahre, wahr, wahres, wahren
