Title: Emilia Galotti
Number of all lemmas: 6863
Nummber of different lemmas: 2154

Lemma	POS	Frequency	Tokens
klein	ADJA, ADJD	10	kleinen, kleine, kleiner, kleines
geschwind	ADJD	10	geschwind, Geschwind
Sache	NN	10	Sache
Tod	NN	10	Tod
Verbrechen	NN	10	Verbrechen, Verbrechens
lachen	VVINF, VVFIN, VVIMP	10	lachen, Lachen, lach, lacht
zurück	PTKVZ, ADV	10	zurück, Zurück
Kopf	NN	10	Kopf, Kopfe
fahren	VVFIN, VVINF	10	fahren, Fahren, fährt, Fährt
Schönheit	NN	9	Schönheit, Schönheiten
Augenblick	NN	9	Augenblick, Augenblicke
brauchen	VVFIN, VVINF	9	braucht, brauchen, brauchte
führen	VVINF, VVFIN	9	führen, führt, führtest, führte
Dosalo	NN	9	Dosalo
Madame	NN	9	Madame
darum	PAV	9	darum
Freundschaft	NN	9	Freundschaft
Himmel	NN	9	Himmel, Himmels
heraus	PTKVZ, ADV	9	heraus, Heraus
treten	VVFIN, VVINF	9	Treten, tritt, treten, trat, Tritt
wahrlich	ADV	8	Wahrlich, wahrlich
Gemahlin	NN	8	Gemahlin
hätt	VVFIN	8	hätt
Wut	NN	8	Wut
stolz	ADJA, ADJD	8	stolze, Stolz, stolz, stolzer
außer	APPR, KOUS	8	außer, Außer
fassen	VVINF, VVFIN, VVPP	8	fassen, Fasse, gefaßt, faßt, Fassen
Mund	NN	8	Mund
Maler	NN	8	Maler, Malers
alt	ADJA	8	alter, alte, alten
treffen	VVFIN, VVINF	8	traf, trifft, treffen
Recht	NN	8	Recht
endlich	ADV, ADJA	8	Endlich, endlich, endlichen
heuen	VVFIN	8	heut
unschuldig	ADJA, ADJD	8	unschuldigen, unschuldig, Unschuldig
herein	ADV, PTKVZ	8	herein
befehlen	VVPP, VVINF, VVFIN	8	befohlen, befehlen, befehle
schmeicheln	VVPP, VVINF, VVFIN	8	geschmeichelt, schmeicheln, Schmeicheln, schmeichelt
warten	VVFIN, VVINF	8	wartet, warten, wartete
reißen	VVFIN, VVPP, VVINF	8	reißt, gerissen, riß, Reißt, reißen
Battista	NE	8	Battista
eins	CARD	8	eins, Eins
Emilien	NE	8	Emilien
Mensch	NN	8	Menschen, Mensch
Lust	NN	8	Lust, Lüsten, Lüste
kehren	VVFIN, VVIMP, VVINF	7	kehret, kehre, kehrt, Kehrt, kehren
ergreifen	VVFIN, VVPP, VVINF	7	ergreift, ergriffen, ergreifen
Stunde	NN	7	Stunde
Mädchen	NN	7	Mädchen
Arm|Arme	NN	7	Arme, Armen
Gedanke	NN	7	Gedanken, Gedanke
Verachtung	NN	7	Verachtung
Tugend	NN	7	Tugend
fort	ADV, PTKVZ	7	fort, Fort
gehören	VVFIN	7	gehört, gehörte
Marchese	NN	7	Marchese
würdig	ADJA, ADJD	7	würdiger, würdig, würdigen, würdigsten
schlagen	VVFIN, VVINF, VVPP	7	schlägt, schlagen, schlug, geschlagen
Leute	NN	7	Leuten, Leute
merken	VVPP, VVIMP, VVINF, VVFIN	7	gemerkt, merk, merken
Blut	NN	7	Blut, Blute
fallen|fällen	VVFIN	7	fällt
wozu	PWAV	7	Wozu, wozu
fragen	VVFIN, VVINF, VVIMP	7	fragt, fragen, Fragen, frag
Haar	NN	7	Haar, Haare, Haaren
stürzen	VVPP, VVFIN	7	gestürzt, stürzte, stürzen, stürzt
Bediente	NN	7	Bediente, Bedienten, Bedienter
Sabionetta	NE	7	Sabionetta
Dame	NN	7	Damen, Dame
früh	ADJD, ADJA	7	früh, früher, frühen
Wunsch	NN	7	Wünsche, Wunsche, Wunsch
ablaufen	VVPP, VVIZU, VVFIN	7	abgelaufen, abzulaufen, abläuft
setzen	VVFIN, VVPP	7	Setzen, Setzt, setzt, setzen, gesetzt, Gesetzt
wild	ADJD, ADJA	7	wild, wildes, wilden
voraus	ADV, PTKVZ	6	voraus, Voraus
beleidiget	VVFIN	6	beleidiget
Person	NN	6	Person, Personen
er|es	PPER	6	Ihm
Lüge	NN	6	Lüge
Wille	NN	6	Willen, Willens
erwägen	VVINF, VVFIN	6	erwägen, Erwägen, erwäge
Fuß	NN	6	Fuße, Füße, Füßen
wert	ADJD	6	wert
diese	PDS	6	diese, diesen, dieser, dieses
Bräutigam	NN	6	Bräutigam
schwerlich	ADJD	6	schwerlich, Schwerlich
Tat	NN	6	Tat, Taten
ehrlich	ADJA	6	ehrliche, ehrlichen, ehrlicher
lesen	VVPP, VVFIN	6	gelesen, las
glücklich	ADJD, ADJA	6	glücklich, glückliches
entfernen	VVPP, VVINF, VVFIN	6	entfernt, entfernen, Entfernen
Verdacht	NN	6	Verdacht
itzt	ADJD	6	itzt
antworten	VVPP, VVINF, VVFIN	6	geantwortet, antworten, antworte
Werk	NN	6	Werk
Messe	NN	6	Messe
gering	ADJA	6	geringste, geringsten, geringeres
begegnen	VVPP, VVINF, VVFIN	6	begegnet, begegnen, begegnete
entgegen	APPR, PTKVZ, ADV, APPO	6	entgegen
sterbend	ADJA	6	sterbenden
ehe	KOUS	6	ehe
Künstler	NN	6	Künstler, Künstlers
Sohn	NN	6	Sohnes, Sohn, Sohne
lustig	ADJA, ADJD	6	lustigsten, lustiger, lustig, lustigste, Lustig
eilen	VVFIN	6	eilen, eilte, Eilen
erlauben	VVINF, VVPP, VVFIN	6	erlauben, erlaubt, erlaube, Erlauben
ernsthaft	ADJD, ADJA	6	Ernsthaft, ernsthaft, ernsthafte
Schritt	NN	6	Schritte, Schritt
nennen	VVFIN, VVINF	6	nennen, nennst, nannte
jen	PDS, PDAT	6	jene, jenem, jenes, jener, Jene, jenen
Umstand	NN	6	Umstände, Umstand, Umständen
zusammen	ADV, PTKVZ	6	zusammen
verlassen	VVPP, VVINF, ADJA	6	verlassen, verlassene
brechen	VVFIN, VVINF, VVPP	6	bricht, brechen, brach, gebrochen
vermuten	VVPP, VVFIN, VVINF	6	vermutet, vermutete, vermuten, vermute
leicht	ADJD	6	leicht
wenigstens	ADV	6	wenigstens
indes	ADV, KOUS	6	Indes, indes
danken	VVFIN, VVINF	6	danke, danken
tief	ADJD, ADJA	6	tiefer, tief, tiefen, tiefster, tiefsten
morgen	ADV	6	morgen, Morgen
kaum	ADV	6	kaum, Kaum
zärtlich	ADJA	6	zärtliche, zärtlichsten, zärtlichen
suchen	VVFIN, VVINF	6	suchte, suchen, suche
Bruneschi	NE, NN	6	Bruneschi
melden	VVINF, VVPP, VVFIN	6	melden, gemeldet
vortrefflich	ADJD	6	Vortrefflich, vortrefflich
Kammerherr	NN	6	Kammerherr
Miene	NN	5	Miene, Mienen
laß	ADJD	5	laß
versprechen	VVPP, VVINF, VVFIN	5	versprochen, versprechen, versprach
weniger	ADV	5	weniger
Fürst	NN	5	Fürst, Fürsten
Kanzler	NN	5	Kanzler, Kanzlers
vielmehr	ADV	5	vielmehr
wider	APPR	5	wider
Kloster	NN	5	Kloster
Art	NN	5	Art
weiblich	ADJA	5	weibliches, weiblichen, weibliche
nochmals	ADV	5	nochmals
reiten	VVFIN, VVINF	5	reitet, reiten, reitest, Reite, reite
Massa	NE	5	Massa
worüber	PWAV	5	worüber
gestern	ADV	5	gestern
schlimm	ADJD, ADJA	5	schlimmer, schlimmsten, Schlimm
kurz	ADJA, ADJD	5	kurzen, kurz
zweit	ADJA	5	zweiten
Anstalt	NN	5	Anstalten
Hals	NN	5	Hals, Halse
fertig	ADJA, ADJD, PTKVZ	5	fertige, fertig
Furcht	NN	5	Furcht
zugleich	ADV	5	zugleich
schicken	VVFIN, VVINF	5	Schicken, schicken, schickte
vergeben	VVFIN, VVPP, VVINF, VVIMP	5	vergebe, vergeben, vergib, Vergeben
einander	PRF	5	einander
Original	NN	5	Original
Hof	NN	5	Hofe, Hof, Hofes
am	PTKA	5	Am, am
dienen	VVPP, VVINF	5	gedient, dienen
elend	ADJA, ADJD	5	elenden, elender, Elender
begleiten	VVINF, VVPP	5	begleiten, begleitet
Gift	NN	5	Gift
senden	VVINF, VVFIN	5	senden, Senden
