Title: EntireCorpus-Lemmas
Number of all lemmas: 81305
Nummber of different lemmas: 10215

Lemma	POS	Frequency	Tokens
Herr	NN	989	Herren, Herr, Herrn
sagen	VVINF, VVFIN, VVPP, VVIMP	847	sagen, sage, sagten, sagt, gesagt, sag, Sagen, sagst, sagte, Sage, Sagte, Sag, Sagtest, Sagten, Sagt, sagtest, Gesagt, sagest, sagtet
ja	PTKANT, ADV	801	Ja, ja
wohl	ADV, PTKVZ, ADJD	774	wohl, Wohl
gut	ADJD, ADJA	766	gut, besser, besten, guter, guten, beste, gute, Gut, gutes, bessere, gutem, Besser, Guten, Guter, Besten, bester, bestes, Bester, besseres, Gute, Gutes, best
wissen	VVFIN, VVINF, VVPP	750	weiß, wußten, wüßte, wissen, Wissen, Wisset, wißt, Weiß, gewußt, wüßtest, wußte, wüßten, Wißt, wisse, Wüßte, Wisse
lassen	VVFIN, VVINF, VVPP, VVIMP	727	Lassen, ließe, lasse, lassen, ließ, Laßt, läßt, laßt, gelassen, Laß, laß, ließen, Läßt
kommen	VVFIN, VVINF, VVIMP, VVPP	608	kommen, Kommen, käme, komme, komm, kam, Komm, kommt, kämen, gekommen, kamen, Kommt, kamst, Komme, Kam
sehen	VVFIN, VVINF, VVPP, VVIMP	589	sehe, sehen, gesehen, sähe, sieht, Sehen, sah, Sieh, Sähe, sieh, siehst, Siehst, Seht, seht, Sieht, sahen, Sehe, siehest
gehen	VVFIN, VVINF, VVIMP, VVPP	586	geht, gehen, Geh, geh, gegangen, gehe, Gehen, Gehe, Geht, Gehst, ging, Gehet, gehet, ginge, gingen
schon	ADV	563	schon, Schon
Vater	NN	489	Vater, Vaters, Väter, Vätern
ganz	ADV, ADJA, ADJD	478	ganz, ganzes, ganze, ganzen, ganzem, Ganze, ganzer, Ganz
tun	VVPP, VVFIN, VVINF	449	getan, tun, täten, Tun, täte, tut, tue, tat, Tue, Tut, tu, Tust, tust, taten, Tu, Getan, Tat, Täte
mehr	ADV, PIAT, PIS	437	mehr, Mehr
hören	VVINF, VVFIN, VVIMP	420	hören, höre, Hören, höret, Höre, hört, Hör, hörst, hörte, Hörst, hör, Hört, hörten, Hörten, hörtest, Höret
wer	PWS	419	wer, wen, Wer, Wen, wessen, Wem, wem, Wessen
