Title: Der Misogyn
Number of all lemmas: 5055
Nummber of different lemmas: 2136

Lemma	POS	Frequency	Tokens
Herr	NN, JJ, NNP	76	Herr
Lelio	NN, NNP, JJ, RB	57	Lelio
sagen	VBN, VB	53	gesagt, sagen, sage
wohl	RB, RP, IN	43	wohl
Vater	NN, NNP	41	Vater
ja	RB, RP, IN	36	ja
Schwester	NN	32	Schwester
schon	RB, RP, IN	31	schon
Sohn	NN, NNS	29	Sohn, Söhne
mussen	VB, VBN	29	muß, mußt
lieb	JJ, VB, NN	27	lieb, lieber, lieben, liebe
Leander	NN, NNP	27	Leander
Hilaria	NN, NNP, RP	27	Hilaria
Bruder	NN	27	Bruder
eben	RB, VB, RP, VBN, IN, NNP	27	eben
sehen	VB, RB, VBN	26	sehen, sah, sieht, gesehen
mehr	RB, RP, NNP, IN, WRB	26	mehr
kommen	VB, RP, VBN	25	kommen, käme, gekommen, komme, kommt
glauben	VB, VBN	25	glauben, glaubt, geglaubt, glaube, glaubten, glaubte
gut	JJ, RB	24	gut, guten, gute, gutem, guter
Tochter	NN, NNP	23	Tochter
ganz	IN, JJ, RB	23	ganz, ganze, ganzen
tun	VB, VBN, RP	22	tun, tut, getan
gehen	VB	21	gehen, gegangen, geht
weeissen	VB, RB	21	weiß
Valer	NN	20	Valer
mögen	VBN, VB	20	mag, möchte, mögen, magst, möchten
Solbist	NN, NNP	20	Solbist
Liebe	NN	20	Liebe
gewiss	NN, JJ	19	gewiß, gewissen, gewisse, gewisser
Laura	NNP, NN	19	Laura
hören	VB	19	hörst, hören, höre, hört
gar	IN, RB, RP	19	gar
O	NN, NNP	19	O
Ja	NN	18	Ja
Augen	NN, JJ	18	Augen
bringen	VBN, VB	17	gebracht, bringen, brachte, bringe
Leandern	NN, JJ, VB	17	Leandern, Leander
gleich	RB, JJ	17	gleich, gleichen, gleicher
erst	RB, JJ, RP, VB	16	erst, erste, ersten
kömmen	MD	15	kömmst, kömmt
wissen	VB, RB	14	wissen
ab	RP, RB	14	ab
hast	NN	14	hast
Unglück	NN	14	Unglück
lassen	VB, RB	14	lassen, ließ, lasse
Frau	NN	14	Frau
denken	VB	13	denken, denke, denkt
Mann	NN	13	Mann
Herrn	NN, JJ	13	Herrn
halten	VB, VBN	13	gehalten, halten, hält
Wumshäter	NN, NNP	13	Wumshäter
rechen	VB, VBN	13	rechte, recht, rechten
genug	RB, RP	13	genug
soen	VBN, RB	12	so
wenig	RB, DT, IN	12	wenig, wenige
Johann	NNP, NN	12	Johann
nehmen	VB, RB, VBN	12	nehmen, nehme, genommen
Weiber	NN, JJ	12	Weiber
bald	IN, RB, WRB	12	bald
geben	VB, VBN	11	geben, gegeben
dürfen	VB, VBN	11	dürfte, durfte, darf, durften, dürfen
Welt	NN	11	Welt
setzen	VB, VBN	11	setzen, gesetzt
Herz	NN, NNS	10	Herz, Herzen
Pars	NN	10	Pars
Prozess	NN	10	Prozeß
heuen	VB, VBN	10	heute, heut
finden	VB, RP, VBN	10	findet, finden, gefunden
allein	WRB, RB, RP	10	allein
wahr	RP, JJ, RB	9	wahr
Zeit	NN	9	Zeit
läng	JJ	9	länger
gehören	VB, VBN, RP	9	gehörst, gehöre, gehört
glücklich	JJ	9	glücklich, glücklichen
immer	RB	9	immer
einzig	JJ	9	einzigen, einzige, einzig, einziger
Ei	NN	9	Ei
klug	JJ, RB	9	klug
Nein	NN	9	Nein
unmöglich	JJ	9	unmöglich
wirklich	JJ	8	wirklich
Lassen	MD	8	Lassen
Hand	NN, JJ	8	Hand
folgen	VB	8	folgen
hoffen	VB	8	hoffen, hoffe
sag	NN	8	sag
leicht	JJ	8	leicht, leichter
einander	PRP	8	einander
erfahren	VBN, VB, RP	8	erfahren, erfuhr
Recht	NN	8	Recht
endlich	RB, JJ, IN	8	endlich
Paradies	NN, NNS	8	Paradies, Paradiese
Frauenzimmer	NN	8	Frauenzimmer
Himmel	NN	8	Himmel
bleiben	VB	8	bleibt, bleiben
wenigstens	RB, WRB, IN	8	wenigstens
Gut	NN, JJ	8	Gut, Guter
Rede	NN	8	Rede
stehen	VB	8	steht, stehen, stehe
sehe	PRP$	8	sehe
oft	IN, RB, RP, WRB	8	oft
wer	WP	8	wer
drei	CD	7	drei
Person	NN	7	Person
bitten	VB	7	bitte, bitten
fällen	VB, VBN, RP	7	gefällt, fällt
klein	JJ	7	klein, kleinen, kleine, kleiner
gewinnen	VBN, VB	7	gewonnen, gewinnen
Art	NN	7	Art
nunmehr	RB, NNP, RP	7	nunmehr
sollten	NN	7	sollten
je	RB, IN	7	je
Wort	NN, NNS	7	Wort, Worte
Sache	NN	7	Sache
Madmoisell	NN	7	Madmoisell
möglich	JJ	7	möglich
gross	JJ	7	groß, große, großen, großer
Gehen	VB, NNP	7	Geht, Gehen
Menschen	NN	7	Menschen
bekommen	VBN, VB	7	bekommen
Gleichheit	NN	7	Gleichheit
Mutter	NN, JJ	7	Mutter
reden	VB, VBN	7	reden, rede
Jungfer	NN, NNP	7	Jungfer
Heirat	NN, NNS	7	Heirat, Heiraten
weit	JJ	7	weit
eher	RB, IN	7	eher
suchen	VB, RP, VBN	7	suchen, gesucht, sucht
längst	RB, WRB, RP	7	längst
willst	WRB, IN	6	willst
fangen	VB, VBN, RP	6	fängst, fingen, fängt, gefangen
Schweig	JJ, RB	6	Schweig
desto	CC	6	desto
vielleicht	RB, RP	6	vielleicht
weiblich	JJ	6	weiblichen, weibliches, weiblicher, weibliche
schönste	NN, NNP	6	schönste
Wer	WP	6	Wer
lange	IN, WRB, NNP, RB, RP	6	lange
kurz	JJ	6	kurz
beid	DT, JJ	6	beide, beides
Dass	IN	6	Daß
Je	IN, RB	6	Je
kennen	VB	6	kenne, kennen
Betrachtung	NN	6	Betrachtung
Kommen	NN	6	Kommen
verlieren	VBN, VB	6	verloren, verlieren, verliert
Warum	NN	6	Warum
Verzeichnis	NN	6	Verzeichnis
Vaters	NN	6	Vaters
