Title: Der junge Gelehrte
Number of all lemmas: 10506
Nummber of different lemmas: 3557

Lemma	POS	Frequency	Tokens
lachen	VB	12	lachen, lache, lacht
lass	JJ, VB	12	laß, lasse
gern	RB, RP, VBN	12	gern
stehen	VB	12	steht, stehen, stand
Thalassio	NN	11	Thalassio
davonen	VB	11	davon
Kurz	NN	11	Kurz
Wer	WP	11	Wer
Berlin	NN, NNP	11	Berlin
je	RB, IN	11	je
dabei	RB	11	dabei
Nu	NN	11	Nu
einander	PRP	11	einander
alsdenn	IN, RB, WRB	11	alsdenn
Lateiner	NN	11	Lateiner
Hören	NN, NNP	11	Hören
Je	IN	11	Je
weit	JJ, RB	11	weit
zeigen	VB, VBN	11	zeigen, zeigt
Liebe	NN, JJ	11	Liebe
sollst	RP, RB, WRB	11	sollst
Bücher	NN	11	Bücher
Mensch	NN	11	Mensch
Herz	NNS, NN	10	Herzen, Herz
Lisetten	NN, JJ	10	Lisetten
Narren	NN	10	Narren
Sohne	PRP$	10	Sohne
fangen	VB, VBN, PRP$, RP	10	fängt, gefangen, fingen, fangen
o	DT, RP	10	o
beid	DT, JJ	10	beiden, beide
Advokaten	NN	10	Advokaten
Gehen	VB, NN	10	Geht, Gehen
Dank	IN, RP	10	Dank
Namen	NN	10	Namen
Verstand	NN	10	Verstand
heilig	JJ	10	heiligen, heiliger, heilige, heilig
Homer	NN	10	Homer
sehe	PRP$	10	sehe
wem	WP	10	wem
freilich	RB, JJ, IN, RP	10	freilich
Mädchen	NN, NNP	9	Mädchen
gehabt	NN, JJ	9	gehabt
bitten	VB	9	bitte, gebeten, bitten
Streich	NN	9	Streich
Freilich	JJ, RB	9	Freilich
rufen	VB, VBN	9	ruft, rufen, gerufen
Schweig	JJ	9	Schweig
desto	CC	9	desto
weiss	RB, VB	9	weiß
sitzen	VB	9	sitzen, sitzt, sitze
Epithalamium	NN	9	Epithalamium
Halt	NNS, NN	9	Halte, Halt
gelehrte	NN	9	gelehrte
Exempel	NN	9	Exempel
Teufel	NN	9	Teufel
Alten	NN, VB	9	Alten, Alte
nein	RB, RP	9	nein
Kopfe	NN, JJ	9	Kopfe
endlich	RB, JJ, RP	9	endlich
Tisch	NN, JJ	9	Tisch, Tische, Tisches
Tage	NN	9	Tage
Jungfer	NN	9	Jungfer
Deutsch	NN, JJ, VB	9	Deutsch, Deutschen, Deutsche
Glück	NN	9	Glück
setzen	VB, PRP$, VBN	9	setzen, gesetzt
Geld	NN	9	Geld
Bald	NN	9	Bald
Augenblick	NN, NNP	8	Augenblick
Schade	RP, NN	8	Schade
Vermögen	NN	8	Vermögen
dazuen	VB	8	dazu
Akademie	NN	8	Akademie
Xantippe	NN	8	Xantippe
merken	VB	8	merkt, merkst, merkte, merke, merken
einzig	JJ	8	einzige, einziger, einzig, einzigen
fragen	VBN, VB	8	gefragt, fragen, fragt
fein	JJ	8	fein, feines, feiner
Mamsell	NN	8	Mamsell
Kommen	NN	8	Kommen
Warum	NN	8	Warum
tausend	CD	8	tausend
Vaters	NN	8	Vaters
nennen	VB, PRP$	8	nennt, nennen
Taube	NNS, NN	8	Tauben, Taube
warum	WRB	8	warum
darauf	RB	8	darauf
helfen	VB	8	helfen
Augen	NN	8	Augen
eher	RB, RP	8	eher
warten	VB	8	wartet, warten
Ernst	NNP, NN	8	Ernst
geleg	JJ	8	gelegen
Buche	NN	8	Buche
suchen	VB, RB, VBN	8	sucht, gesucht, suchen
Maul	NN	8	Maul
jemals	RB	7	jemals
neu	JJ, NN	7	neue, neu, neues
wirklich	JJ	7	wirklich
grösst	JJ	7	größte, größten
Ernste	NN	7	Ernste
Sollen	MD	7	Soll
anfangen	VB	7	anfangen, anfängt
Geschicklichkeit	NN	7	Geschicklichkeit
Lassen	MD	7	Lassen
wüsste	NN	7	wüßte
Ding	NN, JJ	7	Ding, Dinger
fehlen	RP, VB	7	gefehlt, fehlte, fehlt, fehlen
Sehen	VB, NN	7	Sieht, Sehen
halb	CD, JJ	7	halb, halbe
schlecht	JJ	7	schlechte, schlechten, schlechter, schlecht
Zweifel	NN	7	Zweifel
geschwind	IN, RP, RB	7	geschwind
Kabinett	NN, NNS	7	Kabinett, Kabinette
möglich	JJ	7	möglich
Republik	NN	7	Republik
St	PRP$	7	St
bloss	RB, JJ, RP	7	bloß, bloße, bloßen
alten	NN, JJ	7	alt, alten
antworen	VB	7	antworten
sei	VB, JJ	7	sei
Dokument	NN	7	Dokument
verlassen	VB, PRP$	7	verlassen
fällen	VBN, VB	7	gefällt, fällt
fern	JJ	7	fern
leicht	JJ, RP, IN	7	leichter, leicht
Seele	NN	7	Seele
verdammten	NN	7	verdammten
Lügen	NN	7	Lügen
Willen	NN	7	Willen
Gut	NN, JJ	7	Gut, Gute
verlangen	VB, RP, PRP$, VBN	7	verlangt, verlangen
Gleich	NN, JJ	7	Gleich, Gleiches
Vers	NNS, NN	7	Verse, Vers
Teil	NN	7	Teil
Narr	NN	7	Narr
ichs	NN	7	ichs
zurück	RP, RB, IN	7	zurück
Wahrheit	NN	7	Wahrheit
besinnen	VB, VBN	7	besinnen, besinnt, besonnen
loben	VB, VBN	7	loben, gelobt
gleichwohl	RB, IN	7	gleichwohl
fahren	VBN, VB, PRP$	7	gefahren, fahren, fährt
daran	RB	7	daran
schöne	NN	6	schöne
