Title: EntireCorpus-Lemmas
Number of all lemmas: 77614
Nummber of different lemmas: 14418

Lemma	POS	Frequency	Tokens
Juliane	NN, NNP	80	Juliane
lesen	RP, VBN, VB, PRP$	80	gelesen, lesen, las, lies
Menschen	NN, JJ	80	Menschen
Franziska	NNP, NN	79	Franziska
Marinelli	NN	79	Marinelli
nennen	VB, VBN, PRP$	79	nennen, nennt, nenne, genannt, nannten, nennst, nennte, nannte, nennest
wenigstens	RB, RP, WRB, IN, FW	78	wenigstens
Seele	NN	78	Seele
Seite	NN	78	Seite
fort	RP, IN, RB, JJ	78	fort
zurück	IN, JJ, RP, RB	77	zurück
Gedanke	NNS, NN, NNP	77	Gedanken, Gedanke
Valer	NN, NNP	77	Valer
bin	JJ, VB, RB, NN	77	bin
oft	IN, RB, WRB, RP	76	oft
bloss	JJ, IN, RB, RP	75	bloßer, bloß, bloße, bloßen
Leute	NN, JJ, NNP	75	Leute
jung	JJ, VB, NN, RB	75	jungen, junge, junger, jung, junges
Hause	NN, NNP, JJ	74	Hause
Tellheim	IN, RB	73	Tellheim
lieben	VB, NN, JJ, RB	73	lieben, liebe, liebt
Ring	NN, NNS	73	Ring, Ringe
Lass	NN, NNP, JJ	73	Laß
deinen	NN, JJ, NNP	71	deinen
itzt	DT, RP	71	itzt
sind	VB, JJ, RB	71	sind
best	JJ, NN, VB	70	besten, beste, bester, bestes, best
leben	VB, VBN	70	leben, lebt, lebe, lebte, lebten
weniger	RB, RP, IN, VB	69	weniger
unglücklich	JJ, VB	69	unglücklich, unglückliche, unglückliches, unglücklicher, unglücklichen
hab	NN, NNP, JJ	69	hab
andre	NN, JJ, NNP	69	andre
endlich	RB, IN, JJ, RP	68	endlich, endlichen, endliche
Julianen	NN, JJ	68	Julianen
versteh	NN, JJ	68	versteh
Lady	IN, NNP, NN	67	Lady
einander	PRP	67	einander
schuldig	JJ, RB	66	schuldig
Frauenzimmer	NN	66	Frauenzimmer
Komm	NN, NNP	65	Komm
wär	JJ, NN, VB	65	wäre, wär, wären
lässen	VB, VBN	65	läßt
Vaters	NN, JJ, NNP	65	Vaters
wünschen	VB, VBN	65	wünschen, wünschte, wünsche, wünscht, gewünscht, wünschten, wünschest
Haus	NN, NNP	65	Haus, Hause
neu	JJ, NN, VB	64	neue, neuer, neuen, neu, neues, neuem
ruhig	JJ	64	ruhige, ruhig, ruhiger
Dank	IN, RP, TO	64	Dank
verlieren	VB, VBN, PRP$	64	verliert, verlieren, verlöre, verloren
Geh	NN, NNP	63	Geh
wirst	WRB, RB, RP, JJ, IN	63	wirst
wider	RP, IN, TO	63	wider
fragen	VB, RB, RP, VBN	63	fragen, gefragt, fragt
führen	VB, VBN, PRP$	63	führt, führen, führe, geführt, führte, führet
König	DT, NN, FW, NNP	63	Könige, König
Wahrheit	NN	63	Wahrheit
sehn	NN, NNP	62	sehn
habe	RB, VB	62	habe
lernen	VB, VBN, RP, RB, PRP$	62	lernen, gelernt, lerne, lernt, lernte
geh	NN, FW	62	geh
bezahlen	VBN, VB, RP, PRP$	60	bezahlt, bezahlen
Emilia	NNP, NN	60	Emilia
Tag	NN	60	Tag, Tage
Meine	PRP$	60	Meine
ichs	NN, NNP, FW	60	ichs
kurz	JJ, RB, VB	60	kurzem, kurz, kurzer, kurze, kurzen
selb	DT	59	selber
leicht	JJ, RP, IN, NNP, WRB	59	leicht, leichter
Allein	NN, RB	59	Allein
verdienen	VB, VBN, RB	59	verdient, verdienen
letzt	JJ, VB	58	letzten, letzte, letzter, letztem
Zweifel	NN	58	Zweifel
Vetter	NN, NNP, JJ	58	Vetter
Saladin	NN, JJ	58	Saladin
fällen	VB, RP, VBN	58	fällt, gefällt, fällen
Wirt	NNS, NN, NNP, JJ	58	Wirte, Wirt
gehabt	NN, JJ, NNP	58	gehabt
etwa	IN, RP, RB	58	etwa
ziehen	VB, VBN, RP	58	ziehen, zieht, ziehe, gezogen, zog, ziehn, ziehet, ziehst, zogen
Person	NN, JJ	57	Person
