Title: Damon, oder die wahre Freundschaft
Number of all lemmas: 2727
Nummber of different lemmas: 1253

Lemma	POS	Frequency	Tokens
anfangen	VB	3	anfangen
ganzes	NN	3	ganzes
empfindlichen	VBN	3	empfindlich
Gesetzt	NN	3	Gesetzt
Dank	IN, RP	3	Dank
zweifeln	VB	3	zweifeln
Kann	NNP	3	Kann
allezeit	NN	3	allezeit
Glücke	NN	3	Glücke
Untreue	NN	3	Untreue
dadurch	RB	3	dadurch
wider	RP, IN	3	wider
Ihres	NN	3	Ihres
gleichviel	NN	3	gleichviel
Madame	NN	3	Madame
Erbe	NNS	3	Erben
Zweifeln	NN	3	Zweifeln
Hätte	NN	3	Hätte
fällen	VB	3	fällt, gefällt
weg	RB, RP	3	weg
auszuüben	NN	3	auszuüben
bereden	NN	3	bereden
wissen	VB	3	wissen
Gelegenheit	NN	3	Gelegenheit
verstehn	NN	3	verstehn
Entschluss	JJ, NN	3	Entschluß
allzu	RB, IN	3	allzu
wünschen	VB	3	wünschen, wünschte
schicken	VB	3	geschickt, schicken
endlich	RB	3	endlich
vorkommen	VB	3	vorkommen
erhalten	VBN, VB	3	erhalten
Vermögens	NN	3	Vermögens
gross	JJ	3	groß, große
etwan	NN	3	etwan
St	PRP$	3	St
Verdruss	NN	3	Verdruß
notwendig	JJ	3	notwendig
unsrer	PRP$	2	unsrer
Traum	NNS	2	Träume
dienen	VB	2	dienen, dient
gesteh	NN	2	gesteh
empfindlich	JJ	2	empfindlich
Sprache	NN	2	Sprache
reizender	NN	2	reizender
Eure	NN	2	Eure
voraus	JJ	2	voraus
vergessen	RP	2	vergessen
betrübt	NN, JJ	2	betrübt, betrübte
vertraue	NN	2	vertraue
Weder	NN	2	Weder
wohin	WRB, RB	2	wohin
billig	JJ, RB	2	billig
Wahl	NN	2	Wahl
erfahren	VBN, RP	2	erfahren
Eidschwur	NN	2	Eidschwur
fehlen	VB	2	fehlt
schenken	VBN, VB	2	geschenkt, schenken
möglichstes	NN	2	möglichstes
versuchen	VB	2	versuchen
annehmen	VB	2	annehmen
daraufen	RB, VB	2	darauf
Gesichte	NN	2	Gesichte
Irrung	NN	2	Irrung
Gütigkeit	NN	2	Gütigkeit
lustig	JJ	2	lustig
banqueroute	NN	2	banqueroute
besitzen	VB	2	besitzen
Fünfmalten	VBN	2	Fünfmal
gewissenhaft	JJ	2	gewissenhaft
Lebens	JJ, NN	2	Lebens
liebte	NN, NNP	2	liebte
grossmütigen	NN	2	großmütigen
Grillenfänger	NN	2	Grillenfänger
Soen	RB	2	So
sachte	PRP$	2	sachte
Mensch	NN	2	Mensch
wertester	NN, JJ	2	wertester
Pflichten	NN	2	Pflichten
Gut	NN	2	Gut
muss	VB, JJ	2	muß
Habe	NN	2	Habe
zweifle	NN	2	zweifle
edel	JJ	2	edel
bestreben	VB	2	bestrebte, bestreben
wussten	NN	2	wußten
unbekannen	VBN	2	unbekannt
Ausschlag	NN	2	Ausschlag
Güter	NN	2	Güter
unmöglich	JJ	2	unmöglich
zugleich	RB	2	zugleich
anstehen	VB, NN	2	ansteht, anstehen
Würde	NN	2	Würde
schmeicheln	VB	2	schmeicheln
Gegenstand	NN	2	Gegenstand
deutlich	JJ	2	deutlich
teils	NN	2	teils
Verdacht	NN	2	Verdacht
nochen	VB	2	noch
lässt	VB	2	läßt
betrügen	VB	2	betrügen
Sturme	NN	2	Sturme
eigen	JJ	2	eigenen
munt	JJ	2	munter
hoffen	VB	2	hoffe
vergelte	NN	2	vergelte
schändlich	JJ	2	schändlichen, schändlich
versichre	NN	2	versichre
geweissen	VB	2	gewiß
Rat	NN	2	Rat
nötigen	VB, VBN	2	nötigen, nötig
befürchte	NN	2	befürchte
schimpfen	VB, RP	2	schimpfen, geschimpft
hart	JJ	2	harte, harten
Verstand	NN	2	Verstand
