word	emotion	arousel
Makten	0.735294118	2.526315789
Fchreibe	1.470588235	2.571428571
Erbsen	0.6	1.619047619
Beleggen	-0.058823529	2.285714286
schlegen	-1.911764706	3.944444444
Portwein	1.1	2.166666667
Anbiten	0.676470588	1.736842105
Steigestu	0.882352941	2.0
Nyemanndt	-1.1	1.842105263
Allle	1.2	1.333333333
Austräge	0.7	2.821428571
Fchreibt	1.470588235	2.571428571
Schreibst	1.470588235	2.571428571
bequ	1.7	1.944444444
Sprichet	1.205882353	2.523809524
Geheuchlet	-1.9	3.888888889
Meudern	-1.8	3.789473684
Eckenntniss	1.147058824	2.222222222
Thöt	-2.705882353	4.433333333
Sch-Atz	2.3	3.5
logicen	1.15	2.35
Letst	-1.2	3.157894737
müthig	2.2	3.315789474
Stvnd	0.25	2.055555556
Düftgen	1.7	2.388888889
Betriga	-2.05	3.8
Mawrn	-0.5	2.777777778
Übersahe	-0.823529412	1.842105263
Erfahrrung	1.735294118	3.421052632
Behörden	-1.529411765	3.055555556
Fräwleins	-0.352941176	3.0
Morter	-2.1	3.444444444
Valle	-1.7	4.0
Spraache	1.735294118	2.611111111
Schenrtzen	1.9	3.25
Vberzeugete	0.5	2.952380952
Schhatz	2.3	3.5
Hoegen	0.5	3.263157895
Morten	-2.7	4.388888889
Stuncket	-1.9	3.388888889
Perverser	-2.1	3.631578947
Mieteten	-0.4	2.5
Enckle	1.25	2.277777778
Fortsetz	0.852941176	2.333333333
muthig	2.2	3.315789474
anrüffend	1.205882353	2.842105263
Karafa	0.41	1.95
Sancet	-1.264705882	3.263157895
Sact	0.676470588	2.210526316
Sizzen	0.352941176	2.0
Portweins	1.1	2.166666667
Loes	1.058823529	2.631578947
Loew	0.36	4.05
Venvs	1.6	3.0
dawern	-0.235294118	2.047619048
Fürtregen	0.0	2.333333333
Strümpse	0.45	1.59
Negationen	-1.2	2.722222222
Allersitsamste	0.5	1.947368421
Bekamest	1.029411765	2.105263158
Erzeuget	0.941176471	2.571428571
Erzeuger	0.8	3.052631579
Papagoy	1.55	3.18
Auf-Enthalt	0.764705882	2.571428571
Bertrifft	-0.151515152	2.421052632
Stachliger	-1.1	2.894736842
Stachliges	-1.1	2.894736842
Sippe	-0.5	2.444444444
Stachligem	-1.1	2.894736842
Stachligen	-1.1	2.894736842
gott 's	1.5	2.5
Wäysen	1.8	2.1
Haluncken	-1.4	3.5
Lieblos	-2.3	3.277777778
Heurateten	1.382352941	3.789473684
Befreyungs	2.205882353	3.380952381
Führunge	-0.470588235	2.444444444
Vourteilen	1.8	2.75
Regirten	0.3	2.933333333
Börss	-0.647058824	2.052631579
Lücht	2.0	2.611111111
Überzügete	0.5	2.952380952
Führungs	-0.470588235	2.444444444
Brahch	-1.323529412	3.142857143
Weych	1.2	1.368421053
Befreyunge	2.205882353	3.380952381
Verträtte	-0.088235294	2.105263158
Lüche	-2.117647059	4.055555556
anonym	-0.4	2.684210526
Zwybacks	0.36	1.77
Börse	-0.647058824	2.052631579
Bereutet	-0.6	2.789473684
Geschäncke	2.3	3.470588235
Fählt	-1.529411765	2.866666667
Ginget	0.411764706	2.315789474
Farthen	0.941176471	2.368421053
Schwesstern	1.323529412	1.857142857
Sylbernen	1.4	2.421052632
Orchan	-1.0	4.2
Siegest	1.117647059	3.473684211
Geschäncks	2.3	3.470588235
Geschänckt	1.852941176	2.964285714
Fähle	-1.529411765	2.866666667
Bothest	0.382352941	2.619047619
Murr	-1.0	2.105263158
Mangel	-1.9	3.0625
Stand	0.205882353	2.105263158
Enthaltenen	-0.352941176	2.19047619
Enthaltenem	-0.352941176	2.19047619
danktest	1.911764706	1.842105263
Dichterh	1.588235294	2.277777778
Meinäid	-1.8	3.375
Hirses	0.4	1.611111111
Streyt	-2.2	4.047619048
Revolver	-2.14	4.14
Achslen	-0.45	2.375
Befügnuss	0.7	2.761904762
Bellonen	1.9	2.5
Hirsen	0.4	1.611111111
Erkänntnuss	1.764705882	3.428571429
Schüsset	-2.088235294	3.866666667
Enthaltenes	-0.352941176	2.19047619
Enthaltener	-0.352941176	2.19047619
Regierte	0.3	2.933333333
Verstärckst	0.882352941	2.578947368
Schwebts	0.8	2.210526316
Daagen	0.970588235	2.095238095
Ἅς	-2.1	2.631578947
Einträte	0.147058824	2.142857143
Mannschaft	0.382352941	2.523809524
Lenzin	1.3	1.944444444
music	2.4	1.85
Gesundheits	1.970588235	2.233333333
Deemuht	-0.9	3.047619048
l e tzterm	-1.2	3.157894737
Gesundheitt	1.970588235	2.233333333
Geneisset	2.323529412	2.133333333
Verlognes	-2.3	3.526315789
Verlogner	-2.3	3.526315789
Neh-Men	0.088235294	2.0
Bezal	-0.529411765	2.535714286
Biterre	-1.3	2.526315789
Gotes	1.5	2.5
Tagung	-0.558823529	1.894736842
Prahleten	-1.3	3.315789474
Zernahms	0.588235294	2.210526316
möcht'en	1.764705882	3.157894737
Wuntsche	1.6	2.45
Verlognem	-2.3	3.526315789
Verlognen	-2.3	3.526315789
Brauts	1.0	2.833333333
Brautt	1.0	2.833333333
Stiefel	0.77	2.23
Schelmens	0.8	2.526315789
locken	0.0	2.888888889
Leytern	0.25	2.25
Farenh	0.970588235	2.619047619
Erinnnere	1.352941176	3.0
Ahtmung	1.9	2.470588235
Brauth	1.0	2.833333333
Honigte	1.8	1.5625
simpel	0.4	2.3
Leytere	0.25	2.25
l eder	0.5	2.238095238
Geschertzt	1.6	2.833333333
Obgesetze	-0.9	2.684210526
Empföhlst	1.088235294	2.285714286
wann	-2.3	3.833333333
hönig	1.8	1.5625
Begrife	1.088235294	2.904761905
Sicherhayt	1.323529412	2.894736842
Perversen	-2.1	3.631578947
sterben	-1.823529412	4.055555556
Grandiosesten	2.2	3.444444444
Angibet	-1.382352941	2.761904762
Theileten	1.205882353	2.526315789
Jrthumbs	-1.058823529	3.222222222
weyplichen	1.9	2.888888889
Ruderen	0.4	2.444444444
Nimpt	0.088235294	2.0
Geheimnüsses	1.117647059	3.80952381
Akademiens	0.588235294	3.142857143
Senaten	0.1	2.526315789
Erkendtnüs	1.764705882	3.428571429
Anmuthgen	1.9	2.333333333
Meissn	0.6	1.857142857
Mayister	1.1	2.777777778
Koffern	0.7	2.315789474
Geheimnüssen	1.117647059	3.80952381
Billigste	-0.4	2.222222222
anzahlen	0.2	1.705882353
Maegde	-0.3	2.777777778
Beruhrte	1.794117647	2.892857143
Kreusens	0.382352941	1.888888889
Muessen	-1.382352941	2.80952381
Natscha	1.2	2.684210526
Markante	0.8	3.105263158
Gesundrer	2.7	1.631578947
Belibter	2.4	2.888888889
Obgesetzt	0.235294118	1.952380952
Abdrücken	-0.1	2.235294118
Trosst	1.4	2.157894737
Küsst	2.617647059	3.178571429
Fortunas	2.2	2.666666667
Schlagenn	-1.911764706	3.944444444
Bankrutt	-2.3	2.789473684
Offnete	0.941176471	2.238095238
Auffhilt	-0.411764706	2.157894737
Schlagene	-1.911764706	3.944444444
