sentiWS	nrcPositive	nrcNegative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	emotion	arousel	cdPositive	cdNegative	cdNeutral	gpcPositive	gpcNegative	gpcNeutral
überglücklichen	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Portwein	0	0	0	0	0	0	0	0	0	0	0	1.1	2.166666667	0	0	0	0	0	0
Reduzier	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hinausgehenderen	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hinausgehenderem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hinausgehenderes	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hinausgehenderer	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reibkraft	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Disziplinlosigkeit	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Prestiges	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bläschenbildung	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tödlichem	-0.3487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimuliertet	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tödlicher	-0.3487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tödliches	-0.3487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulierten	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missionar	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jornada	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reformierung	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0
Kostenintensivere	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Querlegen	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Peinigung	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
einheitlichst	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
besorgniserregend	-0.3281	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	1	0
Sack	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vollständigere	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unmenschlichkeit	-0.0048	0	1	0	0	0	0	0	1	0	0	0	0	0.0	1.0	0.0	0	1	0
Rücktritt	-0.0048	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Rechtsgültigere	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verstrick	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unausgereift	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	1	0
Kauderwelschte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Dissident	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
bequ	0.2344	0	0	0	0	0	0	0	0	0	0	1.7	1.944444444	0.7	0.0	0.0	1	0	0
Jubilieren	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	1	0	0
Enttäuschtere	-0.3129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erzeuget	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ausrottete	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bedarftsten	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bedarftstem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erzeuger	0	0	0	0	0	0	0	0	0	0	0	0.8	3.052631579	0	0	0	0	0	0
Blessiert	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Geruhen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Beispielhaftem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sippe	0	0	0	0	0	0	0	0	0	0	0	-0.5	2.444444444	0	0	0	0	0	0
Sehnsuchtsvoll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Blumenpracht	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.0	0.0	0	0	0
Bedarftstes	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
