word	positive	negative	neutral
Waffengeschäft	0	0.7	0
Omnipotent	1.0	0	0
Empfehlenswert	1.0	0	0
lebensbejahend	1.0	0	0
Hochschulreform	1.0	0	0
statisch	0	0.7	0
Unzuverlässigkeit	0	1.0	0
Abbau	0	1.0	0
bequ	0.7	0	0
Disziplinlosigkeit	0	1.0	0
unverantwortbar	0	1.0	0
schwärmen	1.0	0	0
Optimierungsvorschlag	0.7	0	0
Achtlos	0	0.7	0
Hieb	0	0.7	0
Reformierung	1.0	0	0
Desorganisation	0	1.0	0
Querlegen	0	1.0	0
Realitätssinn	1.0	0	0
Grosszügigkeit	1.0	0	0
versetzen	0	0.7	0
Chancengleichheit	0.7	0	0
ruhelos	0	0.7	0
wahrhaftig	1.0	0	0
Vorbildfunktion	0.7	0	0
Unmenschlichkeit	0	1.0	0
Unrealisierbarkeit	0	0.7	0
Abwürgen	0	1.0	0
Mitverantworten	1.0	0	0
Unausgereift	0	1.0	0
Herziehen	0	1.0	0
Strahlentherapie	0.7	0	0
drakonisch	0	1.0	0
Verzücken	1.0	0	0
Sanktionierung	0	1.0	0
Blessiert	0	1.0	0
Zoff	0	1.0	0
Büssen	0	1.0	0
Blumenpracht	0.7	0	0
Lieblos	0	1.0	0
Dauerkonflikt	0	0.7	0
Unprätentiös	0.7	0	0
glaubwürdig	1.0	0	0
bezahlen	0	1.0	0
Gefangennahme	0	0.7	0
Kaputtgehen	0	0.7	0
Unversehrtheit	0.7	0	0
gesellig	1.0	0	0
Schmarotzen	0	0.7	0
Schlachtung	0	0.7	0
Vollspucken	0	0.7	0
speien	0	0.7	0
Selbstbestimmung	1.0	0	0
Ungetrübtheit	0.7	0	0
Widersinnigkeit	0	1.0	0
akzeptieren	1.0	0	0
Niederlagenfrei	0.7	0	0
verletzt	0	1.0	0
Mangel	0	1.0	0
gewissenhaft	1.0	0	0
himmlisch	1.0	0	0
wohlwollend	1.0	0	0
Lieblosigkeit	0	1.0	0
Manieriert	0	0.7	0
begrenzt	0	0.7	0
Zureden	1.0	0	0
strikt	0	0.7	0
Klassenressentiment	0	1.0	0
Angriffslust	0	1.0	0
Hexenschuss	0	1.0	0
reichhaltig	1.0	0	0
humorig	1.0	0	0
Diabetes	0	1.0	0
Krisengebeutelt	1.0	0	0
faszinieren	1.0	0	0
Verzückt	1.0	0	0
Verwöhnt	0	0.7	0
Missdeuten	0	1.0	0
Lesevergnügen	1.0	0	0
eigentümlich	0	1.0	0
Blindheit	0	1.0	0
hold	1.0	0	0
Umgestalten	0.7	0	0
Zerschlagung	0	1.0	0
gefühllos	0	1.0	0
untreu	0	1.0	0
Ehrgefühl	1.0	0	0
Phantasievoll	1.0	0	0
Rivalität	0	1.0	0
Teuerung	0.7	0	0
Entspanntheit	0.7	0	0
unzumutbar	0	1.0	0
spassig	1.0	0	0
deprimiert	0	1.0	0
wirklich	1.0	0	0
Energie	1.0	0	0
Nächstenliebe	1.0	0	0
dagegenstellen	0	0.7	0
Verheilt	1.0	0	0
schikanieren	0	1.0	0
fantastisch	1.0	0	0
Kapazitätsabbau	0	0.7	0
Fuchsteufelswild	0	1.0	0
unterhaltsam	1.0	0	0
Mutlos	0	1.0	0
Auserwählt	1.0	0	0
Linken	0	0.7	0
Optimismus	1.0	0	0
Dividendenerhöhung	0.7	0	0
zusätzlich	0	0.7	0
Angriffskrieg	0	1.0	0
unterstützen	0.7	0	0
unterentwickelt	0	1.0	0
kurios	0	1.0	0
Psychoanalyse	0.7	0	0
kampflustig	0	1.0	0
Erbosen	0	1.0	0
Verhohnepipeln	0	1.0	0
Wirtschaftsaufschwung	0.7	0	0
Mittelohrentzündung	0	1.0	0
Trost	1.0	0	0
Verzückung	1.0	0	0
zart besaitet	0	1.0	0
Gesundheitsreform	1.0	0	0
Hiv	0	1.0	0
Phlegma	0	1.0	0
fie	0	1.0	0
falsch	0	1.0	0
gebildet	1.0	0	0
Antrag	0.7	0	1.0
verhängnisvoll	0	1.0	0
Spleen	0	0.7	0
Bemänteln	0	1.0	0
Brillanz	1.0	0	0
Widerwille	0	1.0	0
widerstrebend	0	0.7	0
Blutrache	0	1.0	0
börsenhoch	0.7	0	0
Freiheitseinzug	0	1.0	0
Freizeitarrest	0	1.0	0
Zwangsarbeit	0	1.0	0
Selbsterhaltung	0.7	0	0
unbeirrbar	0.7	0	0
gammlig	0	1.0	0
abenteuerlich	0.7	0	0
Penibel	0	0.7	0
zwecklos	0	1.0	0
Paranoia	0	1.0	0
Lohnerhöhung	0.7	0	0
eingeweiht	0.7	0	0
abwehren	0	0.7	0
halbherzig	0	0.7	0
Vorgaukeln	0	0.7	0
beunruhigt	0	1.0	0
Behaglichkeit	0.7	0	0
Unbekümmertheit	0	1.0	0
dahinsiechen	0	1.0	0
richtig stellen	0.7	0	0
Wohnungslos	0	1.0	0
befähigt	1.0	0	0
Landeerlaubnis	0.7	0	0
danebengegangen	0	1.0	0
Spiesserhaft	0	0.7	0
Gemeinschaftsgeist	1.0	0	0
Kungeln	0	0.7	0
Verkehrssicherheit	0.7	0	0
abwartend	0	1.0	0
launig	0	1.0	0
unauffindbar	0	0.7	0
widerrufen	0	1.0	0
Hingebungsvoll	0.7	0	0
Antrittsbesuch	0.7	0	0
bedachtsam	0.7	0	0
Krampf	0	1.0	0
wegwünschen	0	1.0	0
Verargen	0	1.0	0
Theatergenuss	1.0	0	0
Steuererhöhung	0.7	0	0
Ästhetik	1.0	0	0
mürrisch	0	1.0	0
zurechnungsfähig	1.0	0	0
Wissenshungrigkeit	0.7	0	0
Auslaugen	0	0.7	0
bitten	1.0	0	0
Narrenhaft	0	1.0	0
Schlaganfall	0	1.0	0
Schrulligkeit	0	0.7	0
Eigenbrötelei	0	0.7	0
Invasion	0	0.7	0
Mitgenommen	0	1.0	0
Autark	0.7	0	0
Krisengeschüttelt	1.0	0	0
anspornen	1.0	0	0
unbestreitbar	0.7	0	0
genügend	0.7	0	0
Unbeherrscht	0	1.0	0
unabhängig	0.7	0	0
Rauferei	0	1.0	0
blutrünstig	0	1.0	0
Waffenreduktion	0.7	0	0
galant	1.0	0	0
hysterisch	0	1.0	0
pfiffigen	0.7	0	0
Gelächter	0.7	0	0
Niederschmetternd	0	1.0	0
Bioterror	0	0.7	0
Vergnügen	1.0	0	0
treu	1.0	0	0
Betuppen	0	0.7	0
Verzweiflungshandlung	0	1.0	0
Leberentzündung	0	1.0	0
Krisenausschuss	1.0	0	0
Mitempfindung	1.0	0	0
fortpflanzungsfähig	0.7	0	0
Amtshilfe	0.7	0	0
Wortfindungsstörung	0	1.0	0
Uninteressiertheit	0	1.0	0
Wahrung	0.7	0	0
Bürgersinn	1.0	0	0
Ausbildungsförderung	0.7	0	0
vergraulen	0	1.0	0
praktisch	0.7	0	0
Waffenschmuggel	0	0.7	0
langsam	0	0.7	0
Verklagen	0	1.0	0
entspannend	0.7	0	0
geizig	0	0.7	0
Sicherheit	1.0	0	0
erleuchtet	1.0	0	0
Ungeduld	0	1.0	0
Verantwortungsgefühl	1.0	0	0
Geheimhalten	0	0.7	0
Kundenfreundlichkeit	1.0	0	0
Ehekrach	0	1.0	0
Religionskrieg	0	1.0	0
Überforderung	0	1.0	0
Verlorenheit	0	0.7	0
infizieren	0	0.7	0
Bezaubernd	1.0	0	0
Heilung	1.0	0	0
feinnervig	0	1.0	0
Zutrauen	1.0	0	0
Glamour	0.7	0	0
Umgruppierung	0.7	0	0
Fehlerlos	1.0	0	0
Schadenseindämmung	0.7	0	0
Berufsbildung	1.0	0	0
Knochentrocken	0	0.7	0
zögerlich	0	1.0	0
Epidemie	0	1.0	0
Dilettantismus	0	1.0	0
unterdrückerisch	0	1.0	0
angriffslustig	0	1.0	0
schwach	0	0.7	0
Nervenentzündung	0	1.0	0
Rührung	1.0	0	0
fair	1.0	0	0
sinnlich	1.0	0	0
Unlust	0	1.0	0
Bissigkeit	0	1.0	0
mitleiderregend	0	1.0	0
flatterig	0	1.0	0
irr	0	1.0	0
Ehrgeiz	0.7	0	0
ausländerfeindlich	0	1.0	0
Hinterfragen	0	0.7	0
zimperlich	0	1.0	0
Diebesgut	0	1.0	0
menschenwürdig	1.0	0	0
Robustheit	0.7	0	0
Klinikum	1.0	0	0
Spiellust	1.0	0	0
Infragestellung	0	1.0	0
Bringschuld	0	0.7	0
Stupidität	0	1.0	0
genug	0.7	0	0
Interessenkonflikt	0	0.7	0
Kostensteigerung	0.7	0	0
Geplänkel	0	0.7	0
Unredlichkeit	0	1.0	0
Profilneurose	0	1.0	0
zuverlässig	1.0	0	0
ehrwürdig	1.0	0	0
Kreativität	1.0	0	0
Raketenangriff	0	1.0	0
Anekeln	0	1.0	0
verurteilen	0	1.0	0
Verfressen	0	1.0	0
