Title: Die alte Jungfer
Number of all tokens: 4052
Nummber of different tokens: 1787

Token	Frequency
Herr	70
schon	48
Capitaine	41
O	39
Ach	36
Schlag	34
Ja	32
wohl	32
ja	27
Jahr	25
Mann	25
Jungfer	22
gar	22
muß	21
Nein	21
lassen	20
weiß	20
sagen	20
Lelio	19
wenig	18
wahr	18
heiraten	18
Nu	18
Gott	17
ha	17
gewiß	16
Lisette	16
nehmen	16
tun	16
Muhme	16
wäre	16
schuldig	15
Je	15
Mademoiselle	15
recht	14
gut	13
mehr	13
Ohldin	13
hätte	12
Bräutigam	12
Frau	12
Peter	12
Ha	11
itzo	11
Herrn	11
alt	11
Braut	11
ganz	11
kommen	11
bald	11
geben	10
Poete	10
lieber	10
macht	10
lange	10
glaube	10
Schneider	10
Ei	10
Henker	10
Heirat	10
liebe	10
gleich	10
wer	10
nu	9
Vetter	9
geht	9
Kerl	9
Laß	9
gesagt	9
ab	9
etwan	9
heißt	9
nein	9
kömmt	9
Poeten	9
möchte	9
willst	8
Augenblick	8
Zeit	8
wissen	8
fort	8
Kinder	8
Kind	8
heute	8
Gut	8
Oronte	8
sehn	8
bezahlen	7
genug	7
erst	7
Art	7
mag	7
sollen	7
Teufel	7
müssen	7
Namen	7
Weib	7
Geld	7
andre	6
Wort	6
Erbschaft	6
sehen	6
Lassen	6
vielleicht	6
Hochzeit	6
gemacht	6
Tat	6
heißen	6
Narre	6
denken	6
hören	6
Sachen	6
Wer	6
unsre	6
Sache	6
bitte	6
richtig	6
übel	6
24	6
närrisch	6
bekommen	6
reden	6
weit	6
Korb	6
34	6
eher	6
Hause	6
Glück	6
sehe	6
Freund	6
Seite	5
gehn	5
Sies	5
Narren	5
Taler	5
Hund	5
Vermögen	5
alte	5
Stelle	5
Neues	5
dergleichen	5
Kommen	5
Jahren	5
Warum	5
alten	5
Kopfe	5
erste	5
Jungfern	5
Frauenzimmer	5
besten	5
zehn	5
komme	5
eben	5
Paar	5
zwei	5
vortrefflich	5
wären	4
drei	4
bürgerlichen	4
Teufels	4
Stube	4
Heiraten	4
niemand	4
verspricht	4
dächte	4
unglücklich	4
sprechen	4
Geschlecht	4
Wechsel	4
Sachte	4
bleibt	4
Standes	4
wert	4
fertig	4
bringen	4
Makronen	4
zwanzig	4
Menschen	4
einander	4
Ehre	4
hast	4
900	4
Unglück	4
Hölle	4
Adieu	4
versteh	4
läßt	4
Gedanken	4
Händen	4
Dank	4
Fehler	4
Geht	4
Manne	4
allzu	4
daraus	4
liegt	4
Hände	4
gehen	4
denke	4
kannst	4
gern	4
Gleich	4
glauben	4
Vertrauen	4
Stadt	4
Carmen	4
getan	4
wünschen	4
länger	4
et	4
neue	3
geworden	3
Krafttörtchen	3
Schritte	3
steckt	3
verspreche	3
Person	3
heraus	3
wirklich	3
hundert	3
höre	3
kehren	3
erstemal	3
Gassenlied	3
Meister	3
Ganz	3
Vergnügen	3
Hundsfott	3
kleine	3
Spritzkuchen	3
sagt	3
machst	3
Gedicht	3
desto	3
Zweifel	3
darzu	3
kosten	3
Clitander	3
Schulden	3
verdammte	3
Willst	3
wolltest	3
sieht	3
beste	3
ehrlichen	3
kurz	3
immer	3
gebracht	3
spielen	3
wirds	3
Hand	3
schlecht	3
ansieht	3
setzt	3
Herren	3
fremden	3
25	3
verzeihen	3
herum	3
pap	3
allerliebste	3
Münzen	3
geschickt	3
besser	3
Rock	3
uralten	3
gibt	3
schickt	3
entsprossen	3
Verzeihen	3
nachlaufen	3
Gesichte	3
mirs	3
Hast	3
Rat	3
nimmermehr	3
Komm	3
Reden	3
Straße	3
stehn	3
genießen	3
arg	3
sei	3
etliche	3
Hochwohlgeborne	3
wem	3
weder	3
Tage	3
Zimmer	3
Einfall	3
per	3
Schade	3
Himmel	3
Leute	3
Leben	3
Runzeln	3
gütig	3
erklärt	3
Seele	3
rede	3
sachte	3
hätten	3
verlangen	3
großen	3
hoch	3
Höh	3
entschließen	3
besinne	3
warten	3
Kompliment	3
hinderlich	3
Dukaten	3
Pas	3
vorhin	3
adlichen	3
ganzen	3
Rechnung	3
sollst	3
46	3
Neuigkeit	3
gute	3
hintertreiben	3
Zuckerbretzeln	3
daran	3
beisammen	3
48	3
47	3
44	3
45	3
Ehe	2
Galgenschwengel	2
gesteh	2
stirbt	2
voraus	2
träumen	2
versprach	2
Unglücke	2
Freuden	2
Quodlibet	2
bringe	2
spät	2
heirate	2
zieht	2
Ehestands	2
hört	2
Stunde	2
böses	2
Frage	2
wollens	2
plötzlich	2
Desto	2
Rechte	2
Corinna	2
laufen	2
ganze	2
Gebackensherumträger	2
abgeschmackt	2
Geschlechte	2
Streich	2
Gemahlin	2
Fuß	2
dumme	2
Possen	2
weißt	2
Wählen	2
fürchten	2
sagte	2
Behüts	2
Abscheu	2
Behüte	2
wider	2
Schweig	2
Halten	2
Schuld	2
artigen	2
breiten	2
ankommen	2
gekommen	2
Bein	2
denen	2
ohngefähr	2
Spiegel	2
borgen	2
Mägdgen	2
54	2
50	2
verdenken	2
schalkhaftem	2
Ho	2
hundertmal	2
Orten	2
lieb	2
Rtlr	2
zählen	2
artige	2
Stück	2
Verhaft	2
verstehen	2
unbesonnen	2
Eben	2
möglichen	2
Glauben	2
alleweile	2
trotzen	2
schwerlich	2
würdest	2
nimmt	2
Habseligkeit	2
ansehen	2
anmutig	2
ehrlicher	2
glücklich	2
gestern	2
Sage	2
beantworten	2
gewohnt	2
Leuten	2
anzusehn	2
mal	2
Gesellschaft	2
ärgern	2
mißbrauchen	2
böse	2
Torheit	2
versichre	2
Rede	2
List	2
Inhalte	2
stets	2
Kurz	2
lacht	2
nachzusagen	2
12	2
erdroßle	2
Hals	2
Haare	2
Halt	2
Zähle	2
gekannt	2
Gedult	2
erstlich	2
schwer	2
Punkte	2
sollten	2
Weise	2
dachts	2
altem	2
1724	2
besorge	2
sichs	2
möglich	2
dabei	2
lehren	2
Ausdrückungen	2
verstehn	2
Thesin	2
kennen	2
unschuldiges	2
besondre	2
wärst	2
abfinden	2
ehe	2
schönes	2
gehört	2
behüte	2
geheiratet	2
genommen	2
Pfennig	2
Exempel	2
höchste	2
Gelde	2
antragen	2
leid	2
stelle	2
Bezahlung	2
alsdann	2
aufs	2
widersprechen	2
deutlich	2
fünfzig	2
wohnt	2
Leib	2
26	2
wagen	2
dirs	2
kriegen	2
geringste	2
Mannes	2
Dienerin	2
Schlage	2
Mittel	2
werter	2
steht	2
Wege	2
oft	2
meint	2
Freiheit	2
Hören	2
Stande	2
nehme	2
lachen	2
vernünftigen	2
Sorge	2
dumm	2
Besonders	2
Irrtum	2
Antworte	2
Beistand	2
dreifachen	2
tanzen	2
fürchte	2
Schämen	2
rechten	2
Ohren	2
acht	2
funfzig	2
Bart	2
darauf	2
Gesicht	2
Verfluchter	2
Schicksal	2
helfen	2
beide	2
Nacht	2
holen	2
Nase	2
Nachdenken	2
Treppen	2
Wein	2
Mache	2
führe	2
Stelzfuß	2
hintenraus	2
Weiß	2
