Title: Der junge Gelehrte
Number of all tokens: 9742
Nummber of different tokens: 3703

Token	Frequency
Herr	110
wohl	84
Vater	67
weiß	63
Lisette	58
Damis	58
Valer	56
gar	45
Julianen	45
Sohn	43
sagen	42
werde	40
Anton	39
reden	38
Juliane	37
wollte	36
würde	34
wissen	34
alles	34
hast	34
sei	34
Frau	33
bald	32
meiner	30
sehen	29
recht	29
Brief	29
wahr	27
Zeit	26
glauben	26
gewiß	25
Gelehrten	25
gewesen	25
eben	25
wahrhaftig	23
Wort	23
willst	23
kennen	23
gehört	23
kein	23
Gott	23
Frauenzimmer	23
ha	23
erst	22
genug	22
hören	22
glaube	22
Herrn	22
Mann	22
gesagt	21
andern	20
Hand	20
mag	20
geht	20
Chrysander	20
heiraten	20
etwa	20
vielleicht	19
Post	19
kannst	19
Gelehrsamkeit	19
Welt	19
Ach	19
sage	18
wenig	18
lange	18
Buch	18
Jahr	18
zwanzig	18
Ei	18
Gedanken	18
sonst	18
kömmt	18
seiner	18
weißt	17
Recht	17
länger	17
gut	16
Ehre	16
Himmel	16
allein	16
vergessen	15
Stube	15
Ha	15
unmöglich	15
besser	15
alt	15
bekommen	15
wenigstens	15
andre	14
lieber	14
fort	14
böse	14
Leute	14
Sache	14
Henker	14
Heirat	14
rechten	14
oft	14
ganze	13
wirst	13
Art	13
Kerl	13
vorhin	13
Sprache	12
heraus	12
deswegen	12
nehmen	12
Kurz	12
geh	12
Wohltaten	12
Kleinigkeit	12
heißt	12
Jahren	12
würden	12
heute	12
finden	12
gern	12
Liebe	12
wären	11
höre	11
deinem	11
Einfall	11
weiter	11
Thalassio	11
verstehen	11
lesen	11
Berlin	11
einander	11
alsdenn	11
Lateiner	11
steht	11
Hören	11
kenne	11
Nu	11
Briefe	11
sollst	11
Freund	11
Bücher	11
gute	11
freilich	11
ins	11
Mensch	11
Lisetten	10
endlich	10
Sohne	10
Narren	10
gekommen	10
glücklich	10
denken	10
Advokaten	10
gelehrte	10
lachen	10
Dank	10
Namen	10
verdient	10
Verstand	10
Homer	10
sehe	10
Kopf	10
getan	10
wem	10
laß	9
Herz	9
gehabt	9
Streich	9
Freilich	9
Schweig	9
sieht	9
heißen	9
Epithalamium	9
gelegen	9
antworten	9
Mädchen	9
meines	9
gleichwohl	9
Exempel	9
Teufel	9
Kopfe	9
Tage	9
erste	9
Glück	9
ganzen	9
keinen	9
versprochen	9
Geld	9
Bald	9
Jungfer	9
mußt	8
Augenblick	8
deiner	8
Vermögen	8
lernen	8
