Title: EntireCorpus-Tokens
Number of all tokens: 82976
Nummber of different tokens: 15342

Token	Frequency
Sage	28
letzte	28
Antwort	28
de	28
vielmehr	28
schönes	28
Zufall	28
heut	28
gesprochen	28
wolle	28
nimmt	28
Betty	28
beiden	28
hoffen	28
glaubt	28
Hilaria	28
unserer	28
lachen	28
annehmen	27
vorher	27
durchaus	27
Wechsel	27
Nacht	27
Leandern	27
Geschwind	27
nahe	27
sprach	27
hoffe	27
fast	27
los	27
alsdenn	27
fehlt	27
vollkommen	27
großen	27
spät	27
gelassen	27
Vernunft	27
Schwerd	27
schwerlich	27
darin	27
Vertrauen	27
alsdann	27
Verbrechen	27
Gelehrten	27
braucht	27
Lust	27
Schuld	26
rechten	26
Wunder	26
Sachen	26
erklären	26
ganzes	26
Dose	26
Dinge	26
Feuer	26
jungen	26
fürchte	26
dahin	26
herein	26
Frage	26
Sagen	26
Stande	26
denkt	26
große	26
dürfte	26
Tempelherr	26
verdienen	26
Patriarchen	26
hält	26
Sir	25
bereits	25
reich	25
Geist	25
Rache	25
Henriette	25
Schande	25
Mund	25
Dingen	25
überall	25
hört	25
gestern	25
Leuten	25
Höre	25
Gnade	25
Arme	25
dienen	25
nimmermehr	25
dadurch	25
kommt	25
bringe	24
sieh	24
anfangen	24
Norton	24
Buch	24
gewisse	24
Tone	24
Gesichte	24
gestehen	24
befehlen	24
hör	24
armen	24
geringste	24
Herren	24
Hoffnung	24
retten	24
Stube	24
niemals	24
Willst	24
beste	24
genommen	24
Feind	24
ziemlich	24
sterben	23
Bedienten	23
gefangen	23
Schönheit	23
danke	23
Teil	23
hättest	23
sollt	23
Stunde	23
Unrecht	23
Conti	23
schlecht	23
machte	23
hörte	23
geschickt	23
St	23
Betrieger	23
Post	23
Macht	23
meisten	23
Wahrhaftig	23
Munde	23
Götter	23
wagen	23
gab	23
gehalten	23
Weib	23
selten	23
Araspe	23
Madame	23
ging	23
allezeit	23
Bedienter	22
verbunden	22
Gehen	22
Spiel	22
Alter	22
Kunst	22
Weiber	22
Christ	22
Gnaden	22
halb	22
itzo	22
unsre	22
zusammen	22
rechte	22
Schicksal	22
erkennen	22
Miene	22
arme	22
merken	22
meinigen	22
Wut	22
Gewissen	22
List	22
Wege	22
wußte	22
Schade	22
sicher	22
Jahre	22
dergleichen	22
herum	22
Darf	22
Lebens	22
wohin	22
Türe	22
finde	22
allerdings	22
gedacht	22
Verbindung	21
gefällt	21
schönste	21
Appiani	21
vollends	21
Genug	21
Diener	21
Acht	21
Narren	21
Volk	21
Bräutigam	21
Wohin	21
Strato	21
zehn	21
Staleno	21
Jugend	21
Solbist	21
Himmels	21
erzählen	21
behalten	21
meint	21
wahre	21
Sohne	21
überlegen	21
geringsten	21
Weise	21
nochmals	21
gib	21
Bitte	21
ansehen	21
andrer	21
einzig	21
schicken	21
sagst	21
eigentlich	21
voll	21
Derwisch	21
sitzen	20
geschieht	20
fertig	20
Hätte	20
sucht	20
zuerst	20
Verdruß	20
lang	20
Bedenken	20
gleichen	20
gebe	20
laßt	20
wahrlich	20
entschuldigen	20
überzeugt	20
vorbei	20
wiederum	20
Gelehrsamkeit	20
entdecken	20
Desto	20
gelegen	20
Gerechtigkeit	20
erinnern	20
Liebhaber	20
Gutes	20
Großmut	20
zieht	20
Weiß	20
Rechnung	20
gibts	20
gegangen	20
Geschlechts	20
kennst	20
verlangt	20
Sehen	20
Chrysander	20
erlauben	20
eignen	20
tat	20
gewissen	20
lauter	19
Laura	19
Glauben	19
einzigen	19
größte	19
sauer	19
unsrer	19
treffen	19
unschuldig	19
andermal	19
Nehmen	19
holen	19
fest	19
Dolch	19
Martin	19
et	19
Ihrige	19
Wohltaten	19
versteht	19
stark	19
irren	19
junger	19
gutes	19
ziehen	19
Blut	19
Närrin	19
Grund	19
Bild	19
gekannt	19
Güte	19
Vogt	19
besitzen	19
Not	19
Mannes	19
Wagen	19
legen	19
unglückliche	19
außer	19
schwer	19
Glücke	19
Wissen	19
Dienst	19
allzu	19
erstaune	19
vier	19
handeln	19
jung	19
leiden	18
Hals	18
neuen	18
Allerdings	18
fahren	18
schreiben	18
Feinde	18
Religion	18
würdig	18
Armen	18
Wem	18
vergebens	18
Kommt	18
mögen	18
Bettler	18
Spaß	18
lebt	18
melden	18
Wasser	18
Hälfte	18
Name	18
tue	18
Neigung	18
zanken	18
halte	18
stellen	18
geschrieben	18
Anteil	18
notwendig	18
Verachtung	18
Punkt	18
Gesellschaft	18
Kopfe	18
Verzeihung	18
Mörder	18
Freiheit	18
schaffen	18
Lieber	18
Drum	18
Seit	17
stolz	17
betrachten	17
entschlossen	17
hieher	17
leid	17
beleidiget	17
Stimme	17
indes	17
Gleich	17
wen	17
angenehm	17
Sachte	17
Wen	17
wessen	17
Fall	17
närrisch	17
nehme	17
richten	17
Tagen	17
fühle	17
tu	17
Ernste	17
geglaubt	17
fassen	17
krank	17
Mittel	17
scheinet	17
meinetwegen	17
Finger	17
Geben	17
hassen	17
Herzens	17
Blicke	17
Mannspersonen	17
Verräter	17
Wozu	17
ersparen	17
findet	17
Geheimnis	17
besonders	17
früh	17
Sorgen	17
kleiner	17
geblieben	17
natürlich	17
sahe	16
sechs	16
sah	16
merke	16
Hölle	16
Hannah	16
genießen	16
Gnad	16
Lügen	16
liegen	16
Narr	16
hieß	16
treten	16
steckt	16
Sachsen	16
kosten	16
Johann	16
Furcht	16
Muhme	16
ernsthaft	16
Vergebung	16
großer	16
weisen	16
Ihrigen	16
völlig	16
Mache	16
Arm	16
Hochzeit	16
Verlust	16
höchste	16
Körper	16
Gift	16
rächen	16
nennt	16
Gesetzt	16
Entschluß	16
Blick	16
zweifeln	16
wünschte	16
denen	16
Freundin	16
Beutel	16
Orsina	16
sobald	16
Stille	16
Schritt	16
Grunde	16
fiel	16
Schmeichelei	16
Welch	16
übrig	16
brauche	16
nieder	15
darnach	15
ähnlich	15
dasjenige	15
Halten	15
gönnen	15
siehst	15
umarmen	15
Probe	15
Gesinnungen	15
Diensten	15
Prozeß	15
gewonnen	15
empfinden	15
etwan	15
empfindlich	15
Schach	15
werfen	15
Tode	15
Madam	15
wovon	15
Ohr	15
Taten	15
kalt	15
gewohnt	15
Überlegung	15
manchmal	15
fähig	15
Herrschaft	15
Interessen	15
versprochen	15
Vormund	15
Unglücke	15
Heiraten	15
bösen	15
borgen	15
Schulden	15
Lachen	15
Pfui	15
Rechte	15
führe	15
Meinung	15
Bücher	15
gesucht	15
gelehrt	15
wißt	15
Henrietten	15
Gegenwart	15
Abschied	15
bessern	15
Uhr	15
Richter	15
verspreche	15
Gang	15
le	15
Beste	15
verliebt	15
versuchen	15
zärtlichen	15
befohlen	15
stand	15
dachte	15
grausam	15
edel	15
stehn	15
Erfahrung	15
zwingen	15
Narre	15
einerlei	15
Folgen	15
Wohltat	15
Umständen	15
Personen	15
Maul	15
gerade	14
