Title: Nathan der Weise
Number of all lemmas: 10391
Nummber of different lemmas: 3174

Lemma	POS	Frequency	Tokens
<UNKNOWN>	NE, NN, VVINF, VVFIN, ADJA, VVPP	16	Vertraun, Stirne, größern, konnt, Ansehn, ansehn, ältern, graden, Konnt, geängstet, Mißtraun
endlich	ADV	16	endlich, Endlich
fühlen	VVFIN, VVINF, VVIMP	16	fühlt, Fühlt, fühlen, fühl, fühlte, fühle
lang	ADJD, ADJA	16	länger, langer, lange, lang
setzen	VVFIN, VVIMP, VVINF, VVPP	16	setzt, Setz, setz, setze, setzen, setzte, Gesetzt, gesetzt
Auge	NN	16	Auge, Augen
vielleicht	ADV	15	Vielleicht, vielleicht
Tat	NN	15	Tat, Taten
Feuer	NN	15	Feuer
Name	NN	15	Name, Namen, Namens
Schach	NN	15	Schach
darum	PAV	15	darum, Darum
verlieren	VVINF, VVFIN, VVPP	15	verlieren, verlor, verloren
arm	ADJA, ADJD	15	Armes, arme, armen, arm, armer, armes
reich	ADJD, ADJA	15	reich, reichen, reichsten, reicher
eins	CARD	15	eins, Eins, einen
fort	PTKVZ, ADV	14	fort, Fort
schwerlich	ADJD	14	schwerlich, Schwerlich
Recht	NN	14	Recht, Rechts
fromm	ADJA, ADJD	14	fromme, fromm, frommer, frömmsten, frommen
Ding	NN	14	Dingen, Ding, Dings, Dinge
holen	VVINF, VVFIN, VVPP, VVIMP	14	holen, holte, geholt, hol, holt
wenigstens	ADV	14	wenigstens, Wenigstens
verlangen	VVFIN, VVPP, VVINF	14	Verlangt, verlangt, verlangen, verlange
kalt	ADJD, ADJA	13	Kalt, kalter, kalt, kalte, Kalte
weise	ADJD, ADJA	13	weise, weisen, weisere, weises
borgen	VVINF, VVFIN	13	borgen, borge, borgt
fehlen	VVFIN, VVINF, VVIMP, VVPP	13	fehlt, fehlen, Fehlt, fehlte, fehl, gefehlt
Gute	NN	13	Gutes, Gute, Guten
Stauffen	NN	13	Stauffen
heuen	VVFIN	13	heut
ruhig	ADJA, ADJD	13	ruhiger, ruhig, Ruhig, ruhige
Euern	NN	13	Euern
Seele	NN	13	Seele
Hafi	NE	13	Hafi
schön	ADJA, ADJD	13	schönen, schön, schöner, schöne
danken	VVFIN, VVINF, VVIMP	13	dankte, danken, danket, dankt, Dank
weisen	VVFIN, VVINF	13	wies, weise, weisen, wiest, Wies
drum	PAV	13	drum, Drum
Christin	NE	12	Christin
bitten	VVFIN, VVINF	12	bittet, bitten, bitte
Grund	NN	12	Grund, Gründen, Gründe, Grunde
ewig	ADJD, ADJA	12	ewig, ewige, ewigen, ewiger
verzeihen	VVFIN, VVIMP	12	Verzeihe, Verzeihet, verzeiht, Verzeih, Verzeiht, verzeih
fallen	VVFIN, VVINF, VVIMP	12	Fiel, fiel, fallen, fall
verbrennen	VVPP, VVFIN, VVINF	12	Verbrannt, verbrannt, verbrannte, verbrennen
Wunsch	NN	12	Wunsch, Wünsche, Wunsches
eh	ADV	12	eh, Eh
bezahlen	VVFIN, VVIMP, VVPP, VVINF	11	bezahlen, Bezahl, bezahl, bezahlt
niemand	PIS	11	niemand
drei	CARD	11	drei
Palme	NN	11	Palmen
einzig	ADJA, ADJD	11	einziger, einzige, einzig, einzigen
suchen	VVIMP, VVFIN, VVPP, VVINF	11	such, sucht, gesucht, suchen, suche, Such, Sucht
Assad	NE	11	Assad
Rat	NN	11	Rat
Ei	NN	11	Ei
leicht	ADJD	11	leicht, leichter, Leicht
Himmel	NN	11	Himmel, Himmels
Rechas	NN, NE	11	Rechas
Wahrheit	NN	11	Wahrheit
vergessen	VVFIN, VVPP, VVINF	10	Vergeßt, Vergißt, vergessen, vergißt
Blut	NN	10	Blut, Bluts
tragen	VVFIN, VVINF, VVIMP	10	trug, tragen, trägt, tragt, Trag, trage
schenken	VVINF, VVFIN, VVPP	10	schenken, schenkst, geschenkt, schenkte, schenke
schämen	VVINF, VVFIN, VVIMP	10	schämen, schäme, schäm, schämt
Muselmann	NN	10	Muselmann
führen	VVINF, VVFIN	10	führen, führt
Glaube	NN	10	Glauben, Glaube, Glaubens
