Title: Der junge Gelehrte
Number of all lemmas: 8748
Nummber of different lemmas: 2647

Lemma	POS	Frequency	Tokens
Herr	NN	137	Herr, Herren, Herrn
wissen	VVFIN, VVINF, VVPP	114	weiß, wüßtest, wissen, wüßte, Wissen, wußte, gewußt, wüßten, Wißt
sagen	VVFIN, VVPP, VVINF, VVIMP	113	sagen, gesagt, sage, sag, sagst, Sagen, sagt, Sage, sagte, sagten, Sagtest
wohl	ADV	85	wohl, Wohl
gut	ADJA, ADJD	78	guter, besten, guten, Gut, gut, besser, Besser, gute, gutes, beste, bessere, gutem
Vater	NN	76	Vater, Vaters, Vätern
sehen	VVFIN, VVINF, VVIMP, VVPP	72	Sieht, sehe, Sehen, sähe, sehen, Sieh, sieht, gesehen, sah, sieh, Siehst, siehst, sahen
glauben	VVINF, VVFIN, VVPP, VVIMP	65	glauben, glaubt, glaube, Glauben, Glaubt, geglaubt, glaub, Glaube, glaubte, glaubst
Lisette	NE	58	Lisette
Sohn	NN	58	Sohn, Sohnes, Sohne, Sohns
Damis	NE, NN, VVFIN	58	Damis
hören	VVINF, VVFIN, VVIMP	57	hören, Hören, höre, höret, hörte, Hörst, hört, Höre, hör, hörst
Valer	NE	56	Valer
kennen	VVINF, VVFIN, VVIMP, VVPP	51	kennen, kenne, kennst, kenn, gekannt, kennt, Kennen, Kennst, kennten
reden	VVFIN, VVINF	47	redete, reden, rede, Reden
gar	ADV	47	gar, Gar
Julianen	NN	45	Julianen
Brief	NN	41	Briefe, Brief, Briefes
bald	ADV	41	bald, Bald
erst	ADV, ADJA	40	erst, ersten, erste, erster, erstes
Anton	NE	39	Anton
Juliane	NE	37	Juliane
Buch	NN	36	Buch, Bücher, Büchern, Buchs
Wort	NN	35	Wort, Wörter, Worte, Worten
lieb	ADJA, ADJD	35	lieber, liebe, lieb, liebsten, liebste, lieben, liebster, liebes, Liebes, Liebster
verstehen	VVFIN, VVINF, VVPP, VVIMP	35	verstehen, versteht, verstehe, verstehst, verstünde, verstanden, versteh, Verstehst
Gelehrte	NN	34	Gelehrten, Gelehrter, Gelehrte
Frau	NN	33	Frau
gewiss	ADJD, ADJA	32	gewiß, Gewiß, gewissen, gewisses, gewisse
wahr	ADJD, ADJA	32	wahr, wahre, wahren
Jahr	NN	31	Jahren, Jahr, Jahre
recht	ADJD	30	recht, Recht
Mann	NN	30	Mann, Manne, Männer, Männern
wahrhaftig	ADJD	29	wahrhaftig, Wahrhaftig
denken	VVFIN, VVINF	29	denkt, denkst, dächte, denken, dachte, denke, Denkt, dächten, Denken
nehmen	VVINF, VVFIN, VVPP, VVIMP	29	nehmen, nimmt, nahm, nehme, genommen, nimm, Nimm
alt	ADJA, ADJD	29	alte, alt, alter, älter, alten, Alten
eben	ADV, ADJA	29	eben, Eben, ebenen
Zeit	NN	28	Zeiten, Zeit
heißen	VVFIN, VVINF	27	heißt, heißen, hieß
lesen	VVPP, VVFIN, VVINF, VVIMP	27	gelesen, lese, lesen, läse, Gelesen, liest, las, lies
genug	ADV	26	genug, Genug
Hand	NN	26	Hand, Hände, Händen
vielleicht	ADV	25	vielleicht, Vielleicht
Gott	NN	25	Gott, Gottes
heiraten	VVINF, VVFIN, VVPP	24	heiraten, heirate, heiratete, geheiratet
finden	VVFIN, VVINF, VVPP	24	findet, finde, finden, gefunden, findest
Frauenzimmer	NN	24	Frauenzimmern, Frauenzimmer
ha	NE	23	ha
lang	ADJD, ADJA	22	länger, lange, lang
Kopf	NN	22	Kopfe, Kopf, Köpfe
Himmel	NN	21	Himmel, Himmels
stehen	VVFIN, VVINF	21	steht, stehen, Stehst, stand, stehst, Steht
etwa	ADV	21	Etwa, etwa
vergessen	VVPP, VVFIN, VVIMP, VVINF	20	vergessen, vergesse, vergiß, vergißt, vergeßt
recht|rechts	ADJA	20	rechten, rechte
versprechen	VVFIN, VVINF, VVPP	20	verspreche, versprechen, versprochen, verspricht, versprach
groß	ADJD, ADJA	20	groß, große, großen, größte, größten, Größten, großer
böse	ADJD, ADJA	20	böse, böses, bösen
Post	NN	20	Post, post
Leute	NN	20	Leuten, Leute
Chrysander	NE, NN	20	Chrysander
ach	ITJ	20	Ach, ach
bekommen	VVFIN, VVINF, VVPP	20	bekomme, bekommen, bekam
wenigstens	ADV	20	wenigstens, Wenigstens
freilich	ADV	20	freilich, Freilich
Gedanke	NN	19	Gedanken, Gedanke
klein	ADJA, ADJD	19	kleine, kleinen, klein, kleinste, kleines
gehören	VVFIN	19	gehört, gehörst, gehören
Gelehrsamkeit	NN	19	Gelehrsamkeit
Welt	NN	19	Welt
allein	ADV, PTKVZ	19	Allein, allein
anfangen	VVIZU, VVPP, VVINF, VVFIN	18	anzufangen, angefangen, anfangen, anfängt, anfängst
kurz	ADJA, ADJD	18	kurzen, Kurz, kurz, kurzer, kürzer
antworten	VVFIN, VVINF, VVPP	18	Antworte, antworten, antwortest, geantwortet, antwortet, antworte
Sache	NN	18	Sache, Sachen
zwanzig	CARD	18	zwanzig
weißen	VVFIN	18	weißt, Weißt
gelehrt	ADJA	18	gelehrter, gelehrten, gelehrte
Recht	NN	18	Recht, Rechts, Rechtes
sonst	ADV	18	sonst
kömmt	VVFIN, NN	18	kömmt
Narr	NN	17	Narren, Narr
fort	PTKVZ, ADV	17	Fort, fort
lange	ADV	17	lange
wenige	PIAT, PIS	17	wenigen, wenig, weniger, wenige
dumm	ADJD, ADJA	17	dümmer, dümmste, dummer, dumme, dummen, dumm
Freund	NN, NE	17	Freund, Freunde, Freundes, Freunden
Sprache	NN	16	Sprache, Sprachen
schreiben	VVIMP, VVINF, VVPP, VVFIN	16	schreib, schreiben, geschrieben, schreibt, schrieb
ehrlich	ADJA, ADJD	16	ehrlichen, ehrlicher, ehrliche, ehrlich, ehrlichste
unmöglich	ADJD	16	unmöglich, Unmöglich
Ehre	NN	16	Ehre
setzen	VVFIN, VVINF, VVPP	16	setze, setzen, Gesetzt, Setzen, Setzt, gesetzt
Stube	NN	15	Stube
Ha	NE	15	Ha
verdienen	VVFIN, VVPP, VVINF	15	verdient, verdienen, Verdienen, verdienten
warten	VVFIN, VVINF	15	wartet, warten, Warte, warte, Warten
vorhin	ADV	15	vorhin, Vorhin
zeigen	VVINF, VVFIN	15	zeigen, zeigst, zeigt, Zeige, zeige
besinnen	VVFIN, VVINF, VVPP	15	besinnen, besinne, besinnt, Besinnen, besinnst, Besinnst, besonnen
jung	ADJA, ADJD	15	jungen, jung, junger, junges
weiter	ADV, PTKVZ	14	weiter, Weiter
Art	NN	14	Art, Arten
Tag	NN	14	Tagen, Tag, Tage
Advokat	NN	14	Advokaten, Advokat
lernen	VVINF, VVPP, VVFIN	14	lernen, gelernt, Lerne, lerne, lernt, Lernen
verdammt	ADJA, ADJD	14	verdammter, verdammten, verdammte, verdammt, Verdammte, Verdammter
Kleinigkeit	NN	14	Kleinigkeit, Kleinigkeiten
Henker	NN	14	Henker
endlich	ADV	14	endlich, Endlich
lachen	VVINF, VVFIN, VVPP	14	lachen, lachst, lache, lacht, gelacht
Heirat	NN	14	Heirat
Verstand	NN	14	Verstandes, Verstand, Verstande
Teil	NN	14	Teil, Teile, Teils
oft	ADV	14	oft
Mensch	NN	14	Mensch, Menschen
Wille	NN	13	Wille, Willens, Willen
Einfall	NN	13	Einfall, Einfälle
nu	ITJ	13	Nu, nu
glücklich	ADJA, ADJD	13	glücklicher, glücklich, glückliche
Kerl	NN	13	Kerl
schweigen	VVIMP, VVINF	13	Schweig, schweig, schweigen
gleichwohl	ADV, KOUS	13	gleichwohl, Gleichwohl
Wohltat	NN	13	Wohltaten, Wohltat
Herz	NN	12	Herzen, Herz, Herze, Herzens
heraus	ADV, PTKVZ	12	heraus
Name	NN	12	Namen, Namens
deswegen	PAV	12	deswegen
helfen	VVINF, VVIMP, VVPP	12	helfen, hilf, Hilf, geholfen
schicken	VVINF, VVPP, VVFIN	12	schicken, geschickt, schicke, schickt
Ei	NN	12	Ei
Tisch	NN	12	Tisch, Tische, Tisches
heute	ADV	12	heute
gern	ADV	12	gern
schön	ADJD, ADJA	12	schön, schöne, schönen, schönste
Liebe	NN	12	Liebe
Haus	NN	12	Haus, Hause
