0	5
1	4
1	4
0	5
3	2
0	5
2	3
0	5
2	3
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
1	4
2	3
0	5
1	4
0	5
0	5
0	5
0	5
3	2
1	4
0	5
1	4
0	5
1	4
1	4
0	5
4	1
0	5
0	5
2	3
1	4
1	4
0	5
1	4
0	5
0	5
0	5
0	5
0	5
0	5
1	4
4	1
3	2
0	5
2	3
1	4
1	4
0	5
0	5
0	5
4	1
2	3
1	4
0	5
0	5
0	5
0	5
0	5
0	5
1	4
1	4
2	3
1	4
0	5
3	2
0	5
1	4
2	3
2	3
2	3
2	3
0	5
1	4
0	5
0	5
0	5
0	5
0	5
1	4
1	4
2	3
0	5
2	3
1	4
3	2
0	5
3	2
0	5
2	3
1	4
0	5
2	3
0	5
2	3
4	1
2	3
0	5
0	5
2	3
1	4
2	3
0	5
1	4
1	4
0	5
2	3
1	4
1	4
0	5
1	4
3	2
1	4
0	5
4	1
1	4
0	5
3	2
0	5
0	5
1	4
0	5
3	2
2	3
1	4
3	2
0	5
0	5
2	3
3	2
3	2
1	4
1	4
2	3
3	2
2	3
2	3
2	3
1	4
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
3	2
3	2
0	5
2	3
1	4
1	4
0	5
0	5
0	5
4	1
0	5
0	5
0	5
2	3
2	3
0	5
1	4
0	5
3	2
0	5
0	5
1	4
3	2
0	5
1	4
2	3
0	5
0	5
1	4
4	1
3	2
1	4
0	5
2	3
3	2
0	5
2	3
1	4
2	3
2	3
0	5
4	1
0	5
2	3
1	4
