Title: Miß Sara Sampson
Number of all lemmas: 25395
Nummber of different lemmas: 3843

Lemma	POS	Frequency	Tokens
Sie	PRP, JJ, PRP$	709	Sie
ich	PRP, JJ, PRP$	699	ich
sein	VB, VBN, PRP$, RB, NN, JJ	637	sind, ist, wären, gewesen, sein, war, bin, sei, waren, wäre
ein	DT, RP	522	eine, ein, eines, einer, einen, einem
nicht	RB	437	nicht
zu	IN, TO, RB, RP	435	zu
die	DT, WDT	376	die
es	PRP, JJ	364	es
haben	VB, RB	362	hat, habe, hätte, haben, hatte, hätten, hatten
und	CC	348	und
mir	PRP, JJ, PRP$	306	mir
mich	PRP	293	mich
der	DT, WDT	290	der, deren
sie	JJ, PRP, PRP$	289	sie
werden	VB, VBN, RB, RP	280	werden, würde, wird, würden, werde, geworden, wirst, wurden, wurde
dass	RB, IN	273	daß
Ich	PRP	260	Ich
wollen	MD	237	wollen, will, wollten, wolle, wollte, woll, wollt, wolltest
so	RB, IN, RP, JJ	235	so
in	IN, TO	219	in
er	PRP, JJ	198	er
als	IN	195	als
das	DT, WDT	190	das
den	DT, WDT	186	den, denen
dies	DT, WDT	185	diesem, diesen, diese, dieses, dieser
können	VB, VBN, RB	181	könnten, kannst, könnte, kann, können, konnte, könne, könntest
sich	PRP	181	sich
mit	IN, TO, RP	167	mit
von	IN, TO	155	von
noch	IN, RP, RB, WRB	149	noch
Mellefont	NN, NNP, RB, RP	144	Mellefont
für	IN	132	für
wenn	IN, RB	130	wenn
mein	PRP$, JJ	129	mein, meiner, meine, meines
auf	IN, RP, TO	126	auf
Miss	NN, NNP, JJ	126	Miß
ihn	PRP, JJ	125	ihn
nur	RB, RP, IN	122	nur
Ihnen	PRP, JJ	116	Ihnen
sollen	MD	111	soll, sollen, sollte
auch	RB, WRB, RP, IN	110	auch
Marwood	NN, NNP, JJ	108	Marwood
was	WP, WDT	104	was
du	PRP, JJ, PRP$	101	du
an	IN, RP, TO	101	an
doch	RB, CC, RP, VB, IN, WRB	98	doch
ihr	PRP, JJ, PRP$	97	ihr
machen	VB, VBN	91	machen, gemacht, macht, machten, machte
wieder	RP, RB, NNP, IN, WRB	90	wieder
ihm	PRP, JJ, PRP$	88	ihm
all	DT, JJ	87	allen, aller, alle, alles, allem
selbst	JJ	86	selbst
mussen	VB, VBN	86	muß, mußte, mußt
Was	WP	85	Was
dem	DT, WDT	83	dem
Aber	CC, RB	81	Aber
Und	CC, RB	79	Und
sagen	VB, VBN	78	sage, sagen, gesagt, sagt, sagte
aus	IN, RP, TO	70	aus
ohne	IN	69	ohne
lassen	VB, RB, VBN, NN	68	lassen, lasse, ließ, gelassen
Lady	IN, NNP, NN	67	Lady
Ach	NN, NNP	67	Ach
Vater	NN, NNP	66	Vater
nichts	DT, RB	65	nichts
Er	PRP, JJ	64	Er
schon	RB, IN, RP, NNP, WRB	63	schon
sehen	VB, RB, VBN, RP	61	sehen, sieht, gesehen, sah
wohl	IN, RB, RP	61	wohl
bei	IN	60	bei
Liebe	NN	60	Liebe
aber	WRB, IN, RB, CC, RP, NNP	59	aber
meinen	PRP$, VB, VBN, RP	59	meinen, meine, meinst, gemeint
mehr	RP, RB, IN, WRB	58	mehr
wie	IN	58	wie
Wenn	IN, RB	57	Wenn
Es	PRP	57	Es
denn	RB, RP, IN, WRB	56	denn
kein	DT, JJ	55	keiner, keinen, keine, kein, keinem
Ihre	PRP$	51	Ihre
müssen	VB	51	müßte, müssen, müsse, müßt, müßten, müßtest
uns	PRP, JJ	50	uns
tun	VB, VBN, RP, RB	50	tun, getan, tut, tat
dich	PRP, JJ	49	dich
gegen	IN, TO	49	gegen
kommen	VB, RP, VBN	49	kommen, komme, kam, gekommen, käme, kamen
Herz	NN, NNS	48	Herz, Herzen
ganz	JJ, RB, RP, IN, NNP	47	ganzen, ganz, ganze, ganzes
ihre	PRP$	46	ihre
Wie	IN	45	Wie
des	DT	45	des
Sara	NNP, NN	44	Sara
meine	PRP$	44	meine
sehr	RB, RP, IN	42	sehr
ja	RP, IN, RB	41	ja
durch	IN, RP	41	durch
Waitwell	NN	41	Waitwell
gut	JJ	40	gut, gute, guten, guter
vor	IN, RP	39	vor
gewiss	NN, JJ, NNP, VB	38	gewiß, gewisse, gewisser, gewissen
Tochter	NN, NNP	38	Tochter
nach	RP, IN	38	nach
Die	DT	38	Die, Dies
Brief	NN, NNS	38	Brief, Briefe
viel	RB, IN, RP, WRB, JJ, DT	38	viel, vieler, viele, vielen
nun	RB, IN, RP, WRB	37	nun
soen	VBN, RB, VB	37	so
um	IN	37	um
Ein	DT	36	Ein, Eine, Einen
seine	PRP$	34	seine
dir	PRP	33	dir
einmal	RB, IN, RP, WRB	33	einmal
weeissen	VB, RB	33	weiß
ist	JJ, VB, RB	32	ist
wissen	VB, RB	32	wissen
mögen	VB, RB	32	mag, möchten, möchte, mögen, möge, mochte
Hand	NN, JJ	32	Hand
gehen	VB, VBN	32	gehen, geht, gingen, ging, gegangen
Ihrer	PRP$	32	Ihrer
hier	RB, IN, RP	32	Hier, hier
vielleicht	IN, RB, RP	31	vielleicht
Ihr	PRP$, NN, JJ	31	Ihr, Ihren, Ihrem, Ihres
So	RB, IN, RP	31	So
wir	PRP, JJ	31	wir
man	DT	30	man
itzt	DT, RP	30	itzt
Du	NN, JJ, NNP	30	Du
meinem	PRP$	30	meinem
etwas	DT, JJ	30	etwas
allein	RB, RP, JJ	30	allein
Sein	VB, RB, PRP$, VBN	29	Ist, Sind, War, Sein
erst	JJ, RB, VB, IN, RP	29	ersten, erste, erst
dürfen	VB, VBN	29	darfst, dürfen, darf, dürfte, durfte, dürfe
Nein	NN	29	Nein
glauben	VBN, VB	29	glaubt, glauben, glaubst, glaube, glaubte, glaubten
Nun	UH	28	Nun
Betty	FW, NN	28	Betty
eben	RB, IN, RP	28	eben
bitten	VB, VBN	27	bitte, bitten, bittet, gebeten, bat
oder	CC, RB	27	oder
seiner	PRP$	27	seiner
da	IN, RB	26	da
wahr	JJ, RB, RP, IN	26	wahre, wahr, wahres
Das	DT	26	Das
nehmen	VB, RP	26	nimmt, nehmen, genommen, nehme, nahm
über	IN, TO	26	über
Warum	NN, NNP	26	Warum
weil	IN, RB	26	weil
vergessen	RP, VB, VBN	25	vergessen
Augenblick	NNP, NN	25	Augenblick, Augenblicke
Sir	NN	25	Sir
Ihren	JJ, NN, NNP	25	Ihren
ab	RP, IN, RB	25	ab
geben	VB, VBN	24	geben, gab, gibt, gegeben
ihrer	PRP$	24	ihrer
Norton	NN, NNP	24	Norton
lieb	JJ, VB	24	lieber, lieben, liebe, lieb
immer	RB, RP, IN	24	immer
meines	NN, JJ, NNP	24	meines
Augen	JJ, NN	24	Augen
Doch	WRB, RP, RB, IN	24	Doch
gleich	JJ	24	gleich, gleichen, gleicher, gleiche
lesen	VB, PRP$, VBN	23	lies, lesen, gelesen
glücklich	JJ	23	glücklich, glücklichen, glückliche
Welt	NN	23	Welt
genug	RB, RP, IN	22	genug
wenig	RB, IN, JJ, RP	22	wenig, wenigen
lange	RB, IN, RP	22	lange
denken	VB	22	denke, denken, denkt
ob	IN, RB	22	ob
also	RB, RP, IN, JJ	22	also
warum	WRB	22	warum
einig	JJ, DT	22	einigen, einige, einiger
finden	RB, VB, VBN	21	fand, finden, gefunden, findet
nie	IN, RB	21	nie
sprechen	VB, PRP$	21	gesprochen, sprechen, spricht
alt	JJ	21	alter, alte, alten, alt
Leben	NN	21	Leben
wer	WP	21	wer
unglücklich	JJ	20	unglücklich, unglücklichen, unglückliches, unglückliche
anders	RB, RP	20	anders
Tugend	NN, JJ	20	Tugend
bringen	VB, VBN	20	bringen, bringe, gebracht, brachte, bringt
liebste	NN, JJ, NNP	20	liebste
Vaters	NN, NNP	20	Vaters
bis	IN	20	bis
O	NN, NNP	20	O
letzt	JJ, VB	20	letzte, letzten
bleiben	VB, VBN, RP	20	bleiben, geblieben, bleibt
zurück	RB, JJ, IN, RP	20	zurück
stehen	VB, VBN	20	stehen, stand, steht, stehe
Der	DT	20	Der
wider	IN	19	wider
Gott	NN, JJ	19	Gott
halten	VB, VBN	19	halten, gehalten, hielt
wünschen	VB, VBN	19	wünschen, wünscht, wünschte, wünsche, gewünscht, wünschten
Herr	NN, NNP	18	Herr
wo	WRB	18	wo
andern	DT, JJ	18	andern
Tränen	NN, JJ, NNP	18	Tränen
Ja	NN	18	Ja
weit	JJ, RB	18	weit
neu	JJ, NN	17	neue, neuen, neuem, neuer, neu
muss	VB, JJ, NN, RB	17	muß
sterben	VB, VBN, PRP$	17	sterben, gestorben, starb, stirbt, sterbe
solch	DT	17	solcher, solche, solchen, solches
weiter	DT, RB, RP, NNP	17	weiteres, weiter
lieben	NN, VB, RB, JJ	17	lieben, liebe
Mann	NN	17	Mann
kennen	VB, VBN, RB	17	kennen, kenne, kennt
vergeben	RP, VB, VBN	17	vergeben
Augenblicke	NN	17	Augenblicke
verlassen	VB	17	verlassen
klein	JJ, RB	17	kleinen, kleiner, kleine, klein
deine	PRP$	17	deine
Wort	NN, NNS	16	Wort, Worte
welche	WDT, WP	16	welche
läng	JJ	16	länger
Hannah	NNP, NN	16	Hannah
Mutter	NN	16	Mutter
Kind	NN	16	Kind
gar	RB, RP	16	gar
fühlen	VB	16	fühle, fühlte, fühlt, fühlen
Namen	NN	16	Namen
gern	RB, RP, IN	16	gern
andre	NN	15	andre
Zweifel	NN	15	Zweifel
ewig	JJ	15	ewigen, ewig, ewige
seinen	PRP$	15	seinen
Art	NN	15	Art
Dies	DT	15	Diese, Dieses, Dieser
möglich	JJ	15	möglich
welcher	WP	15	welcher
Verbrechen	NN	15	Verbrechen
ruhig	JJ	15	ruhiger, ruhig
Mein	NN, JJ	15	Mein, Meiner
Frauenzimmer	NN	15	Frauenzimmer
Himmel	NN, NNP	15	Himmel
zärtlich	JJ	15	zärtlichen, zärtliche, zärtlich
suchen	VB, VBN	15	suchen, sucht, gesucht
Hülfe	NN	14	Hülfe
kömmen	MD	14	kömmt, kömmst
leben	VB, VBN	14	leben, lebt, lebe, lebte
hören	VB	14	höre, hören, hörte, hört, hörst
