Title: Philotas
Number of all lemmas: 6867
Nummber of different lemmas: 1718

Lemma	POS	Frequency	Tokens
ich	PRP, JJ, PRP$	221	ich
sein	VB, PRP$, VBN	142	bin, sei, ist, sein, sind, war, waren, wäre, gewesen
nicht	RB	131	nicht
ein	DT, RP	124	ein, eines, eine, einer, einen, einem
du	PRP, JJ, PRP$	108	du
der	DT, WDT	105	der, deren
und	CC	101	und
zu	TO, IN, RB, RP	99	zu
mich	PRP	96	mich
die	DT, WDT	94	die, dies
haben	VB	77	hat, haben, habe, hatte, hätte, hättest
er	PRP, JJ, PRP$	74	er
das	DT, WDT	73	das
mir	PRP, PRP$	69	mir
es	PRP, JJ	67	es
Ich	PRP	64	Ich
werden	VB, RB	63	werden, werde, wird, wurden, würde, geworden, würden, wirst
den	DT, WDT	61	den
Vater	NN, JJ	58	Vater
mein	JJ, PRP$, NN	57	meiner, mein, meine, meines
dich	PRP, JJ	56	dich
wollen	MD	55	will, wollt, wollen, wollte, wolle, wolltet
ihn	PRP	51	ihn
Prinz	NN, NNP	49	Prinz
in	IN, TO	47	in
als	IN	47	als
können	VB, VBN, RB	46	kannst, könnte, kann, konntest, können, konnte, konnten, könntet, könntest
dir	PRP, JJ	45	dir
König	NN, DT, NNP	45	König, Könige
so	RB, IN, JJ	44	So, so
Und	CC, RB	42	Und
mit	IN, TO, RP	41	mit
dass	IN, RB	40	daß
wenn	RB, IN	39	wenn
all	DT, JJ	34	alles, allen, alle, allem, aller
dem	DT, WDT	33	dem
sich	PRP	33	sich
was	WP, WDT	32	was
auf	IN, RP	31	auf
nur	RP, RB, IN	31	nur
Aber	CC, RB	29	Aber
von	IN, TO	29	von
wie	IN	29	wie
auch	WRB, RB, IN	28	auch
sie	PRP, JJ	28	sie
für	IN	26	für
mussen	VB, VBN	26	muß, mußten, mußt, mußte
Schwerd	NNP, NN	25	Schwerd
Sohn	NN, NNS, NNP	25	Sohn, Söhne
noch	RB, NNP, IN	24	noch
Götter	NN, NNP	23	Götter
wieder	IN, RB, RP, NNP	23	wieder
sagen	VB, VBN	23	sagte, sagen, gesagt, sage
dies	DT, WDT	22	dieses, dieser, diesen, diese, diesem
Du	NN	22	Du
sollen	MD, VB	22	sollte, sollen, soll, sollst
des	DT	22	des
O	NN	22	O
Strato	NN	21	Strato
bei	IN, RP	21	bei
an	RP, IN, TO	20	an
kein	JJ, DT	20	kein, keine, keinen
durch	IN, RP	19	durch
wir	PRP, JJ	19	wir
ihm	PRP	19	ihm
uns	PRP	18	uns
ihr	PRP, JJ	18	ihr
meinen	VB, PRP$, VBN	17	meinen, meine
meinem	PRP$	17	meinem
Vaters	NN, JJ	17	Vaters
Was	WP	17	Was
lassen	VB, NN, VBN, RB	17	ließ, lassen, lasse, laßt, gelassen
nichts	DT	17	nichts
nun	RP, IN, RB	17	nun
doch	RP, IN, RB	17	doch
zum	IN	16	zum
Nun	UH	16	Nun
Ein	DT	16	Ein, Eine
Das	DT	15	Das
So	RB, IN	15	So
mehr	RB, RP, IN	15	mehr
sterben	VB, RP, VBN	14	sterbe, gestorben, sterben, stirbt
fangen	VB, VBN, RP	13	gefangen
Parmenio	NN, RP	13	Parmenio
Wie	IN	13	Wie
meines	NN, IN, JJ	13	meines
dein	PRP$, JJ	13	dein, deinem
Feind	NN, NNS	13	Feind, Feinde
wohl	RP, RB	13	wohl
ganz	RB, JJ, IN, RP, VB	13	ganz, ganze, ganzen
Der	DT	13	Der
deinen	NN	12	deinen
gut	JJ	12	gute, gut, guten, guter
man	DT	12	man
hören	VB, VBN	12	höre, hören, hörtest
seinen	PRP$	12	seinen
deine	PRP$	12	deine
schon	RB, RP, IN	12	schon
sprechen	VB, VBN	11	sprach, gesprochen, sprechen
mögen	VB	11	möchte, mögen, mag, möge
aber	CC, RP, RB, WRB, IN	11	aber
Soldat	NNS, NN, JJ	11	Soldaten, Soldat
müssen	VB, RB	11	müssen, müßte, müßtest
Es	PRP	11	Es
Er	PRP	11	Er
Lass	NN, NNP	11	Laß
gern	IN, RB, RP	11	gern
weeissen	VB	11	weiß
viel	JJ, IN, RB, DT	11	viel, vieler, viele, vielen
erst	RB, JJ	10	erst, ersten
lieb	NN, JJ, VB	10	lieben, lieber, liebes, lieb
selbst	JJ	10	selbst
bist	NN	10	bist
gleich	JJ	10	gleich, gleichen, gleiche, gleicher
machen	VB, RP	10	machte, gemacht, machen
Mann	NN	10	Mann
Ja	NN	10	Ja
hast	NN	10	hast
meine	PRP$	10	meine
vor	IN	10	vor
Die	DT	10	Dies, Die
um	IN	10	um
denn	RB, IN, WRB	10	denn
Freund	NNS, NN, NNP	10	Freunde, Freund
willst	RP, RB, WRB	9	willst
einmal	IN, RB	9	einmal
deinem	NN	9	deinem
deines	NN, NNP	9	deines
Wort	NN, NNS	9	Wort, Worte
da	RB, IN	9	da
nie	RB, IN	9	nie
unter	IN	9	unter
itzt	DT, RP	9	itzt
Wunde	NN, NNS	9	Wunde, Wunden
Held	NNS, NN, NNP	9	Helden, Held
also	RP, RB	9	also
halten	VB	9	halten, hielt, hält
glauben	VB	9	glaubte, glaubst, glauben, glaube, glaubest, geglaubt
seiner	PRP$	9	seiner
Jüngling	NN, NNP, JJ	9	Jüngling
muss	RB, VB, JJ	8	muß
kömmen	MD	8	kömmst, kömmt
Wenn	IN, RB	8	Wenn
wirst	RB, RP, WRB	8	wirst
best	JJ, VB	8	besten, beste, bester
im	IN	8	im
Zeit	NN	8	Zeit
Sie	PRP	8	Sie
tun	VB	8	tat, tun, tut
Kind	NN	8	Kind
schwöre	NN	8	schwöre
morgen	RB, RP, IN	8	morgen
lass	VB, JJ	8	lassen, laß
genug	RB, RP, IN	8	genug
deiner	PRP$	7	deiner
Einfall	NNS, NN	7	Einfälle, Einfall
sehen	VB	7	sehen
klein	JJ	7	klein, kleine, kleinen, kleines, kleiner
kommen	VB, RP, NN	7	komme, kamen, gekommen, kommen, komm, kam
wissen	VB, RB	7	wissen
Willst	WRB	7	Willst
denken	VB	7	denken, dachte, denke
Wer	WP	7	Wer
verstehen	VB	7	verstehe, verstehen, verstanden, versteht
Tod	JJ, NN	7	Tod
jed	DT, JJ	7	jedem, jeden, jede
sonst	RP, RB	7	sonst
Nein	NN	7	Nein
Auch	RB, WRB	7	Auch
wiedern	RB, VBN	7	wieder
Prinze	NNS	7	Prinzen
Doch	WRB, IN, RB	7	Doch
ist	JJ, VB	6	ist
anders	RP, IN, RB	6	anders
Sohne	PRP$	6	Sohne
wenig	RP, IN, RB	6	wenig
Polytimet	NN	6	Polytimet
lange	IN, RB, NNP	6	lange
glücklich	JJ	6	glückliche, glücklichen, glücklich
immer	IN, RB	6	immer
ja	RP, RB	6	ja
Philotas	NN	6	Philotas
alt	JJ	6	alte, alter, alten, alt
ohne	IN	6	ohne
Recht	NN	6	Recht
Alter	NN	6	Alter
Komm	NN	6	Komm
bitten	VB	6	bitte, gebeten, bitten
weisst	NN	6	weißt
Tage	NN	6	Tage
Dein	NN	6	Dein
seine	PRP$	6	seine
eher	RP, IN, RB, WRB	6	eher
Glück	NN	6	Glück
Höre	NN	6	Höre
Krieg	NNS, NN, NNP	6	Kriege, Krieg
oft	RB	6	oft
hier	RB, RP	6	hier
Mensch	NN	6	Mensch
gewiss	JJ, NN	5	gewisse, gewisser, gewiß
aus	IN, RP	5	aus
versprechen	VB	5	verspricht, versprechen
Mein	NN	5	Mein
Herz	NNS, NN	5	Herzen, Herz
Gedanke	NNS, NN, NNP	5	Gedanken, Gedanke
schimpflich	JJ	5	schimpflich, schimpflichen, schimpfliche
soen	VB, VBN, RB	5	so
Brust	NN	5	Brust
Schande	NN	5	Schande
wahr	RP, JJ	5	wahr, wahre, wahrer
Ha	NN	5	Ha
Bei	IN	5	Bei
nehmen	VB, VBN	5	nahm, nehmen, genommen
Wo	WRB	5	Wo
oder	CC	5	oder
In	IN	5	In
kennen	VB	5	kenne, kennen
gross	JJ, VB	5	große, groß, großer, großen
etwas	DT	5	etwas
Leben	NN	5	Leben
Warum	NN	5	Warum
Unglück	NN	5	Unglück
Höret	NN	5	Höret
stürzen	VB, VBN	5	stürzen, gestürzt
zwar	RB, RP	5	zwar
bin	VB, RB, JJ	5	bin
weit	RB, JJ	5	weit
weil	IN, RB	5	weil
Man	DT	5	Man
bleiben	VB	5	bleiben, blieben, bleibt
Jugend	NN, JJ	5	Jugend
Nicht	RB	5	Nicht
Denn	RB	5	Denn
ziehen	VB, RP, VBN	5	zogen, ziehen, gezogen, zieht
Bald	NN	5	Bald
allein	RP, RB	5	allein
ward	NNP	4	ward
vielleichen	RB, VBN, JJ	4	vielleicht
Scham	NN	4	Scham
Gewalt	NN	4	Gewalt
Sein	VBN, VB, PRP$	4	Ist, Sind, Sein
weiter	RB	4	weiter
bestechen	VB	4	bestechen
dürfen	VB	4	darf
andern	JJ, DT	4	andern
zur	IN	4	zur
o	DT	4	o
erscheinen	VB	4	erscheinen
gehören	VB, VBN	4	gehören, gehört, gehöret
wählen	VB	4	wählte, wählen
unsere	PRP$	4	unsere
Mit	IN	4	Mit
nimm	NN	4	nimm
beid	DT	4	beide, beider
bereits	RB, JJ	4	bereits
ob	RB, IN	4	ob
welcher	WP	4	welcher
Ehre	NN	4	Ehre
Wir	PRP	4	Wir
über	IN	4	über
Mich	NN	4	Mich
Hast	NN	4	Hast
nach	IN	4	nach
Ursache	NN	4	Ursache
lachen	VB	4	lachen, lache
Fehler	NN	4	Fehler
gar	RB, RP	4	gar
fühlen	VB	4	fühlte, fühlen
männlich	JJ	4	männliche, männlichen
Schicksal	NN	4	Schicksal
Itzt	NN	4	Itzt
Seele	NN	4	Seele
Gut	NN, JJ	4	Gut, Gute
Schwur	NN	4	Schwur
seinem	PRP$	4	seinem
zärtlich	JJ	4	zärtliche, zärtlicher, zärtlich
rechen	VB	4	recht
Gefangen	NN, JJ, VB	4	Gefangen, Gefangener
gegen	IN	4	gegen
jung	JJ, NN, RB	4	junge, junger, jungen, jung
Schlacht	NNS, NN	3	Schlachten, Schlacht
Gefangenschaft	NN	3	Gefangenschaft
Miene	NN	3	Miene
Also	RB	3	Also
Antwort	NN	3	Antwort
Seite	NN	3	Seite
brauchen	VB	3	braucht, brauchen
richten	VB	3	richten
weine	NN	3	weine
Boten	NN	3	Boten
Da	IN	3	Da
gewinnen	VBN, VB	3	gewonnen, gewinnen
vielleicht	RB, RP	3	vielleicht
Erstaunen	NN	3	Erstaunen
ehrlich	JJ	3	ehrlicher
Soen	RB, VBN	3	So
sieben	CD	3	sieben
Sage	NN	3	Sage
würdig	JJ	3	würdig
umarmen	VB	3	umarmen
Verderben	NN	3	Verderben
fasen	RB, VB	3	fast
Königs	NN	3	Königs
kann	VB	3	kann
Thron	NNS	3	Throne
helfen	VB	3	half, helfen
lernen	VB	3	lernen, lernt
führen	VB	3	führe, führen, führte
Weg	NN	3	Weg
bringen	VB	3	bringen
Jahr	NN	3	Jahr
Sache	NN	3	Sache
Aristodem	NN	3	Aristodem
einzig	JJ	3	einzigen, einzige
Besten	NN	3	Besten
verwundet	NNP, NN	3	verwundet
Eisen	NN, JJ	3	Eisen
meinigen	NN	3	meinigen
hör	NN	3	hör
schicken	VB	3	schicken
vergeben	VBN, VB, RP	3	vergeben
Menschen	NN	3	Menschen
zuerst	RP, RB	3	zuerst
am	IN	3	am
Knabe	NN	3	Knabe
Habe	NN	3	Habe
tödlich	JJ	3	tödlich
Jahren	NN	3	Jahren
alsdenn	RB, IN	3	alsdenn
werfen	VB	3	warf, wirft
alten	JJ, VB	3	alt
feindlich	JJ	3	feindlichen
Nur	WRB, RB	3	Nur
euch	PRP	3	euch
reden	VB	3	reden, rede
Freude	NN	3	Freude
Gehorsam	NN	3	Gehorsam
erkaufen	NN	3	erkaufen
Dank	IN, RP	3	Dank
Blute	NN	3	Blute
zwingen	VBN, VB	3	gezwungen, zwingst, zwingen
abern	VBN, RB	3	aber
Untertanen	NN	3	Untertanen
vom	IN	3	vom
Sollen	MD	3	Soll
künftig	JJ	3	künftig, künftigen
fürchte	NN	3	fürchte
darauf	RB	3	darauf
Gesicht	NN	3	Gesicht
sähe	NN	3	sähe
leicht	IN, WRB, JJ	3	leicht
Himmel	NN	3	Himmel
Gib	NNP	3	Gib
jugendlich	JJ	3	jugendlicher, jugendlichen, jugendliche
voll	JJ	3	voll, voller
zwischen	IN	3	zwischen
Verstand	NN	3	Verstand
zehn	CD	3	zehn
Gefangenen	NN	3	Gefangenen
erstaune	NN	3	erstaune
verächtlich	JJ	3	verächtlich, verächtliche
verbinden	RP, VB	3	verbunden, verbinden
seines	PRP$	3	seines
zurück	RP, RB	3	zurück
rufen	VB, VBN	3	rufe, gerufen, ruft
zeigen	VB	3	zeigte, zeigen
überlegen	VB	3	überlegen
möchte	VB	3	möchte
Heft	NN	3	Heft
Liebe	NN	3	Liebe
umringen	VB, VBN	3	umringt
näh	JJ	3	näher
bald	RB	3	bald
bewundern	VB	3	bewundern
Welch	NN	3	Welch
Auge	NN, NNP	3	Auge
Lebe	NN	3	Lebe
liebt	NN	3	liebt
freilich	RB, IN	3	freilich
Welt	NN	3	Welt
Gold	NN	3	Gold
davon	RB	3	davon
Nachricht	NNS, NN	3	Nachrichten, Nachricht
reissen	VB, VBN	2	riß, gerissen
Indemen	VB, RB	2	Indem
