Title: Die Juden
Number of all lemmas: 9755
Nummber of different lemmas: 2015

Lemma	POS	Frequency	Tokens
ich	PRP, JJ	329	ich
sein	VB, VBN, PRP$, JJ, RB	313	sind, gewesen, wäre, war, sein, bin, ist, sei, wären, waren
Sie	PRP, JJ	305	Sie
ein	DT, RP	195	einen, ein, einer, eine, einem, eines
haben	VB, RB	191	hätten, hat, habe, haben, hätte, hatten, hatte
zu	TO, IN, RP, RB	162	zu
nicht	RB	154	nicht
so	RB, IN, RP	135	so
Ich	PRP	125	Ich
die	DT, WDT	124	die, dies
und	CC	118	und
es	PRP, JJ, PRP$	111	es
der	DT, WDT	103	der
mir	PRP, JJ	103	mir
mich	PRP	102	mich
dass	IN, RB	101	daß
wollen	MD	99	will, wollt, wollten, wollen, wollte, wolle
werden	VB, RP, VBN	90	würden, werden, werde, wurden, wird, würde, geworden
sie	PRP, JJ, PRP$	89	sie
das	DT, WDT	87	das
können	VB, RB	77	können, konnten, kann, könnt, könnte, könnten, konnte, könne
mein	PRP$, JJ	69	mein, meiner, meine
mit	IN	64	mit
Ihnen	PRP, JJ	63	Ihnen
sich	PRP	62	sich
er	PRP, JJ, PRP$	60	er
den	WDT, DT	59	den
was	WDT, WP	57	was
als	IN	57	als
sollen	MD	51	soll, sollen, sollte
wenn	IN, RB	50	wenn
auf	IN, TO, RP	49	auf
Herr	NN, JJ	49	Herr
auch	RB, IN, RP, JJ	49	auch
in	IN, TO	48	in
Ihr	PRP$, NN, JJ	48	Ihr, Ihrem
von	IN	44	von
noch	RB, RP, IN	43	noch
machen	VB, VBN, RP, PRP$	43	machte, machen, gemacht, macht, machten, machst
doch	RB, IN, WRB, RP	43	doch
ihn	PRP, JJ	41	ihn, ihnen
man	DT	40	man
Er	PRP, JJ	40	Er
wie	IN	40	wie
nur	RB, RP	39	nur
sagen	VBN, VB	37	gesagt, sagt, sagen, sage, sagte
dem	DT, WDT	36	dem
