Title: Nathan der Weise
Number of all lemmas: 27884
Nummber of different lemmas: 4584

Lemma	POS	Frequency	Tokens
nicht	RB	567	nicht
sein	VB, RB, PRP$, VBN, NN	543	ist, sei, bin, wäre, sind, war, sein, waren, gewesen, wären
ich	PRP, JJ, PRP$	465	ich
zu	TO, IN, RP, RB	366	zu
ein	DT, RP	333	ein, einem, einen, einer, eines, eine
Ich	PRP, JJ, PRP$	321	Ich
so	RB, IN, NNP, WRB, RP, JJ	318	so
und	CC	289	und
Ihr	PRP$	289	Ihr
der	DT, WDT	280	der, deren, derer
das	WDT, DT	251	das
er	PRP, PRP$, JJ	229	Er, er
Und	CC, RB	225	Und
mir	PRP, JJ, PRP$	209	mir
nur	RB, IN, RP, WRB, JJ	201	nur
die	DT, WDT	200	die, dies
Euch	NN, JJ, NNP	196	Euch
mich	PRP	189	mich
Was	WP	188	Was
haben	VB, RB	184	habe, hätten, hätte, hat, hatte, haben, hatten
sie	PRP, JJ	184	sie
doch	RB, IN, CC, RP, VB, WRB, NNP, JJ	168	doch
wollen	MD	167	wollen, will, wollt, wollte, woll, wolltet, wolle, wolltest
was	WDT, WP, DT	166	was
Das	DT, WDT	158	Das
So	RB, IN, NNP, RP, FW	158	So
Der	DT, WDT	158	Der
du	PRP, JJ	152	du
es	PRP, JJ, PRP$	149	es
können	VB, MD, VBN, PRP$	144	können, kann, könnt, könne, könnte, könn, kannst, könnten, gekonnt, konnte, könntest, konntest, konnten
Er	PRP, JJ	144	Er
mit	IN, RP, TO	144	mit
den	DT, WDT	139	den
auch	IN, RB, RP, WRB, JJ	136	auch
sich	PRP	136	sich
von	IN, TO	131	von
Nicht	RB	131	Nicht
in	IN, TO	128	in
ihm	PRP, JJ, PRP$	126	ihm
dass	IN, RB	124	daß
wohl	RB, IN, RP, JJ	124	wohl
Die	DT, WDT	123	Dies, Die
mein	PRP$, JJ, NN	118	mein, meiner, meine
als	IN, WRB	117	als
dem	DT, WDT	117	dem
Nun	UH	117	Nun
dies	WDT, DT	116	dieser, diesen, dieses, diesem, diese
ihn	PRP, JJ	112	ihn
noch	RB, IN, RP, JJ	112	noch
auf	RP, IN, RB, TO	110	auf
Wie	IN, WRB	110	Wie
Zu	IN, TO	107	Zu
werden	VB, VBN, RP, RB	107	werden, würde, wird, geworden, würden, werde, wirst
nun	RB, IN, RP, JJ	103	nun
Ein	DT	103	Ein, Eine, Einen, Einer
all	DT, JJ	101	alles, allen, allem, alle, all, aller
wie	IN, WRB	100	wie
Doch	RB, IN, RP	100	Doch
denn	RB, RP, IN	99	denn
wenn	IN, RB	95	wenn
Nathan	NN, NNP	92	Nathan
Gott	NN, NNP	92	Gott
Vater	NN, NNP	89	Vater
Sein	VBN, VB, PRP$, RB	86	Ist, War, Sein, Sind
ja	RB, RP, IN	83	ja
nichts	DT, RB	82	nichts
Wenn	IN, RB	80	Wenn
gut	RB, JJ, VB	80	gut, guter, gute, guten
für	IN, TO, RB	78	für
