Title: Der Schatz
Number of all lemmas: 11596
Nummber of different lemmas: 2131

Lemma	POS	Frequency	Tokens
Vormund	NN, NNP	12	Vormund
Brief	NNS	12	Briefe
wir	PRP, JJ	12	wir
rechen	VB, VBN	12	recht, rechte
Nicht	RB, NN	12	Nicht, Nichten
wer	WP	12	wer
heeissen	RB, VB	12	heißt, heiße, heißen
Tochter	NN	11	Tochter
bringen	VB, VBN	11	bringt, gebracht, bringen, bringe
meinem	PRP$	11	meinem
einmal	RB, RP, IN, JJ	11	einmal
ohne	IN	11	ohne
kriegen	VB	11	kriegt, kriegen
Betrieger	NN	11	Betrieger
finden	VB, RB	11	finden, findet, fand
Koffer	NN	11	Koffer
weg	JJ, RP, VB, RB	11	weg
Ach	NN	11	Ach
klein	JJ, VB	10	klein, kleine, kleiner, kleinen
uns	JJ, PRP	10	uns
erst	RB, JJ, VB	10	erst, ersten, erste
mögen	VB	10	mögen, mag, möchte, möchten
lange	RB, IN, RP	10	lange
verdienen	VB, VBN	10	verdienen, verdient
seine	PRP$	10	seine
ab	RP, RB	10	ab
Ei	NN	10	Ei
bekommen	VB, VBN	10	bekommen
nach	IN, RP	10	nach
arm	JJ, NN	10	arm, armen, armes, arme, armer
kömmen	MD	9	kömmt
Seite	NN	9	Seite
im	IN	9	im
denken	VB	9	denken, denke
lüderlich	JJ	9	lüderlichen
In	IN	9	In
gross	JJ	9	großes, groß, großer
reden	VB	9	reden, redet
Mein	NN, JJ	9	Mein
Bei	IN	9	Bei
verkaufen	VB, VBN	9	verkauft, verkaufen
jung	JJ	9	jung, junge, jungen
bezahlen	RP, VB, VBN	8	bezahlt, bezahlen
wirklich	JJ	8	wirklich
deinen	NN, JJ	8	deinen
bitten	VB	8	bitte
unter	IN	8	unter
gehören	VBN, VB, RP	8	gehört, gehören
Ihrer	PRP$	8	Ihrer
sechs	CD	8	sechs
Da	IN	8	Da
Sache	NN	8	Sache
besser	RB	8	besser
Gehen	VB, NN, RB	8	Geht, Gehen
kaufen	VB, VBN, RP	8	kaufen, gekauft
nennen	VB, PRP$	8	nennt, nennen, nenne
andern	JJ, VB, DT	8	andern, andere
Gott	NN, JJ	8	Gott
recht	NN, JJ, RB	8	recht, rechter
warum	WRB	8	warum
zwar	RB, JJ	8	zwar
weit	JJ	8	weit
Man	DT	8	Man
wenigstens	RB	8	wenigstens
Frau	NN, JJ	8	Frau
deine	PRP$	8	deine
Den	DT	8	Den
