Title: Minna von Barnhelm, oder das Soldatenglück
Number of all lemmas: 23538
Nummber of different lemmas: 3803

Lemma	POS	Frequency	Tokens
sein	VB, VBN, PRP$, RB	637	ist, sein, bin, sind, wäre, war, waren, gewesen, sei, wären
Sie	PRP, JJ, PRP$	623	Sie
ich	PRP, JJ, PRP$	550	ich
nicht	RB	442	nicht
haben	VB, RB	349	haben, hat, hätte, habe, hätten, hatte, hatten
ein	DT, RP	346	einem, einen, ein, eine, einer, eines
und	CC	317	und
zu	IN, RB, RP, TO	291	zu
der	DT, WDT	281	der
die	DT, WDT	271	die
Ich	PRP	263	Ich
mir	PRP, JJ, PRP$	234	mir
es	PRP, JJ	217	es
das	DT, WDT	216	das
er	PRP, JJ, PRP$	215	er
Herr	NN, JJ, NNP	211	Herr
mich	PRP	206	mich
so	IN, RB, RP, JJ	205	so
wollen	MD	196	will, wollen, wollte, wollten, wollt, wolle
den	DT, WDT	195	den
dass	IN, RB	167	daß
von	IN, TO, RB	161	von
werden	VB, RB, RP, VBN	160	wird, werden, würde, würden, wirst, werde, geworden
mein	JJ, PRP$	154	meiner, mein, meine
ihn	PRP, PRP$, JJ	151	ihn
Fräulein	NN, NNP, JJ	150	Fräulein
in	IN, TO	149	in
können	VBN, VB, RB	136	kann, könnte, können, kannst, konnte, könnten, könne, konnten
mit	IN, TO, RP	136	mit
Major	NN, NNP, FW	135	Major
sie	JJ, PRP	132	sie
dem	DT, WDT	129	dem
Er	PRP, JJ, PRP$	125	Er
doch	RB, RP, WRB, VB, CC, IN, FW	124	doch
was	WDT, WP, DT	122	was
sich	PRP	121	sich
noch	RB, RP, IN, WRB	116	noch
auf	IN, RP, TO	115	auf
wenn	RB, IN	109	wenn
du	PRP, JJ, PRP$	108	du
auch	RB, IN, WRB, NNP, RP	104	auch
dies	DT, WDT	103	dieses, diesen, diese, diesem, dieser
sollen	MD, VB, RB	103	soll, sollte, sollen, sollst, sollten
Ihnen	PRP, JJ	97	Ihnen
als	IN, WRB	96	als
nur	RB, RP, IN, FW	94	nur
ihm	PRP, JJ, PRP$	93	ihm
an	IN, RP	88	an
Aber	CC, RB	85	Aber
wir	JJ, PRP, PRP$	84	wir
Und	CC, RB	82	Und
wieder	RB, IN, RP	81	wieder
Was	WP	80	Was
wohl	RP, RB, IN, JJ	80	wohl
Das	DT, WDT	79	Das
Franziska	NNP, NN	79	Franziska
für	IN	78	für
all	DT, JJ	77	allen, alles, alle, aller, allem
Tellheim	IN, RB	73	Tellheim
sagen	VB, RP, VBN	72	sagen, sage, gesagt, sagt, sagte
aus	RP, IN, TO	69	aus
gut	JJ, VB	69	guten, gut, guter, gute
kein	JJ, DT	69	kein, keinen, keine, keiner, keinem
ja	RP, RB	66	ja
Mann	NN, NNP	66	Mann
mussen	VB, VBN	65	muß, mußte, mußt
hier	RB, IN, RP, NNP	64	hier
wie	IN, WRB	63	wie
denn	RB, WRB, RP, IN	63	denn
nichts	DT, RB	61	nichts
hören	VBN, VB, RB	61	hörte, hört, höre, hörst, hören, hörten, höret
da	RB, IN	60	da
meinen	VB, PRP$, VBN	60	meinen, meint, meine, meinest, meinte, meinet, gemeint
Nun	UH	59	Nun
Es	PRP	58	Es
machen	VB, RP, VBN	57	machen, gemacht, macht, machten, machte
uns	PRP, JJ	56	uns
kommen	VBN, VB, RP, PRP$	56	gekommen, komme, kommen, kam, kamen, kommt
aber	WRB, RB, CC, NNP, IN, RP	56	aber
Nein	NN, NNP	56	Nein
bei	IN, RP	56	bei
Wirt	NNS, NN, NNP, JJ	54	Wirte, Wirt
schon	RB, RP, IN	53	schon
lassen	VB, RB, VBN	52	lassen, ließ
mehr	RB, RP, VB, IN, JJ, WRB	51	mehr
man	DT, RB	50	man
O	NN	50	O
Der	DT	50	Der
Ring	NN, NNS	49	Ring, Ringe
viel	RB, IN, RP, DT, WRB, JJ	48	viel, viele, vielen, vieler
lieb	JJ, NN, VB	47	lieb, lieber, liebe, lieben
Just	NNP, NN, RB	47	Just
Ihr	PRP$, JJ	47	Ihr, Ihren, Ihres
des	DT	47	des
Ja	NN	47	Ja
ihr	PRP, JJ	47	ihr
So	RB, IN, RP	45	So
Geld	NN, JJ	45	Geld
vor	IN, RP, TO	44	vor
Die	DT, WDT	43	Die
Wenn	IN, RB	42	Wenn
Wie	IN	42	Wie
gnädiges	NN, JJ	41	gnädiges
selbst	JJ	40	selbst
Minna	NNP, NN	40	Minna
Werner	NNP, NN	40	Werner
nach	IN, RP	39	nach
sehen	VB, RP, VBN	38	sehen, sieht, sah, gesehen
dir	PRP	38	dir
sehr	RB, IN, RP	38	sehr
geben	VB, VBN, RP, PRP$	37	geben, gegeben, gibt, gab, gaben
Sein	PRP$, VB, RB	37	Sein, Ist, Sind
Ihre	PRP$	37	Ihre
dich	PRP, JJ	36	dich
Ihro	NN, NNP, JJ	36	Ihro
nun	RP, RB, IN, VB	35	nun
um	RP, IN	35	um
ganz	RB, IN, JJ, NNP	35	ganz, ganze, ganzen, ganzer
nehmen	VB, VBN	34	nehmen, nimmt, nehme, nahm, nahmen, genommen
Wachtmeister	NN, RB, NNP	34	Wachtmeister
gehen	VB	33	gehen, ging, geht, gegangen
weeissen	VB	33	weiß
Mein	NN, NNP	32	Mein
Wo	WRB	31	Wo
Ehre	NN, JJ	31	Ehre
Ein	DT, RP, JJ	31	Ein, Eine, Einen, Einer, Eines
Frauenzimmerchen	NN, RB, VB	30	Frauenzimmerchen
Herrn	NN, JJ	30	Herrn
müssen	VB, PRP$	30	müssen, müßten, müsse, müßt, müßte
sprechen	VB, VBN	29	spricht, sprechen, sprach
ist	VB, JJ, RB	28	ist
tun	VB, VBN, RB, RP	28	tut, tun, getan, tat
gar	RP, RB, IN	27	gar
gern	RB, RP, VBN, IN	27	gern
eben	RB, IN, RP, FW	27	eben
Freund	NNP, NN, NNS	27	Freund, Freunde
bringen	VB, VBN	26	bringen, brachte, bringt, gebracht, bringe
glauben	VB, RB, VBN	26	glaube, glauben, glaubte, geglaubt, glaubt
wo	WRB	26	wo
Wir	PRP	25	Wir
Du	NN	25	Du
kennen	VB	25	kennen, kennt, kenne
einmal	RP, RB, IN	25	einmal
Kind	NN	25	Kind
Brief	NN, NNS	25	Brief, Briefe
seine	PRP$	25	seine
kömmen	MD	24	kömmt
im	IN	24	im
ohne	IN	24	ohne
dein	PRP$, JJ	24	dein, deinen
allein	RP, IN, RB	24	allein
gewiss	NN, JJ	23	gewiß, gewisse, gewissen
wenig	IN, RB, JJ, RP, FW	23	wenig, wenigen
Gnade	NNS, NN	23	Gnaden, Gnade
bleiben	VB, VBN, RP	23	bleiben, geblieben, bleibt
rechen	VB	23	recht, rechten, rechte
jetzt	RB, RP, IN	22	jetzt
wahr	RP, JJ, RB	22	wahr, wahre
Hand	NN, JJ	22	Hand
denken	VB	22	denken, dachte, denke, denkt
schuldig	JJ, RB	22	schuldig
Wer	WP	22	Wer
vergessen	VBN, RP, VB	21	vergessen
soen	RB, VBN, VB	21	so
erst	RB, JJ, IN	21	erst, erste, ersten
oder	CC, RB	21	oder
Gehen	NN, VB, VBN	21	Gehen, Geht
über	IN	21	über
durch	IN	21	durch
Unglück	NN	21	Unglück
wissen	VB, VBN, RB	20	wissen
lesen	VB, VBN, RP	20	lesen, gelesen
ab	RP, RB	20	ab
etwas	JJ, RB, DT	20	etwas
meine	PRP$	20	meine
de	FW, NN	20	de
mögen	VB	20	möchte, mögen, mag, mochte, möge
Ah	NN	20	Ah
Doch	IN, WRB, RB, RP	20	Doch
Nicht	RB	20	Nicht
dürfen	VB, VBN	19	dürfte, dürfen, darf, durfte, dürften
finden	VB, VBN, RP	19	fand, gefunden, finden, findet, fanden
Da	IN, RB	19	Da
besser	RP, RB, IN, VB	19	besser
meinem	PRP$	19	meinem
schönes	NN, JJ	19	schönes
Mademoiselle	NN, NNP	19	Mademoiselle
Zimmer	NN	19	Zimmer
Indem	RB	19	Indem
Liebe	NN, NNP	19	Liebe
Herz	NN, NNS	18	Herz, Herzen
glücklich	JJ, VB	18	glückliche, glücklich, glücklichen, glücklicher, glückliches
ob	RB, IN	18	ob
her	IN	18	her
hundert	CD	17	hundert
bezahlen	VB, VBN, RP	17	bezahlen, bezahlt
weiter	RP, JJ, RB, IN	17	weiter, weitere
Taler	NN	17	Taler
Augen	NN	17	Augen
seiner	PRP$	17	seiner
Welt	NN	17	Welt
bitten	VB	16	bitte, bitten
Gnad	NNP, NN	16	Gnad
ihre	PRP$	16	ihre
immer	IN, RB, NNP, WRB	16	immer
Man	DT	16	Man
seinem	PRP$	16	seinem
seinen	PRP$	16	seinen
gleich	JJ, NN	16	gleich, gleichen
Wort	NN, NNS, JJ	15	Wort, Worte
unglücklich	JJ	15	unglücklichen, unglückliche, unglücklich
ihren	PRP$	15	ihren
Ha	NN	15	Ha
Von	IN, TO	15	Von
ehrlich	JJ, VB	15	ehrlichen, ehrlicher, ehrliche, ehrlich, ehrliches
Glück	NN	15	Glück
Ihrer	PRP$	15	Ihrer
gross	JJ	15	großen, große, groß, großer
Offizier	NN, NNS	15	Offizier, Offiziere
Manne	NN	15	Manne
le	NNP, NN, FW, JJ	15	le
ziehen	VB, VBN	15	gezogen, ziehet, zog, ziehen, zieht
Mädchen	NN	14	Mädchen
wider	IN, RP	14	wider
Dass	IN, RB	14	Daß
warum	WRB	14	warum
weil	IN, RB	14	weil
Gut	NN, JJ, VB	14	Gut, Guter, Gute
gnädige	NN, JJ	14	gnädige
que	NNP, NN	14	que
sonst	RB, IN, RP	14	sonst
suchen	VB	14	suchen, sucht, gesucht
Barnhelm	NNP, NN	13	Barnhelm
ik	JJ, NN	13	ik
nie	RB, IN, RP	13	nie
unter	IN	13	unter
Ihren	JJ, NN, NNP	13	Ihren
Pistole	NNS	13	Pistolen
Soldat	NN, NNS, NNP	13	Soldat, Soldaten
nit	NN	13	nit
Kommen	NN	13	Kommen
hast	NN, NNP	13	hast
Warum	NN	13	Warum
lässen	VB	13	läßt
heuen	VBN, RB, VB	13	heute, heut
Herrschaft	NN	13	Herrschaft
Sachse	NNS	13	Sachsen
mik	NN, NNP	13	mik
willst	WRB, RP, RB	12	willst
Ik	NN, FW, JJ	12	Ik
Lassen	MD	12	Lassen
Zeit	NN, JJ	12	Zeit
verstehen	VB, VBN	12	verstehe, verstehen, versteht, verstanden
fehlen	VB	12	fehlt, fehlte, fehlen
kann	VB	12	kann
je	RB, IN	12	je
habe	RB	12	habe
am	IN	12	am
Vous	NN, FW, NNP	12	Vous
reden	VB, VBN	12	redest, redet, reden, rede, geredet
heeissen	VB, RB, JJ	12	heißen, heiße, heißt
Seele	NN	12	Seele
la	NN, FW, NNP, JJ	12	la
genug	IN, RP, RB	12	genug
ha	NN	12	ha
Hier	IN, RB, RP	11	Hier
brauchen	VB, RB	11	brauchen, braucht
Dienste	NN	11	Dienste
wirst	WRB, RB, JJ	11	wirst
klein	JJ	11	klein, kleinen, kleines, kleine, kleiner
gehn	NN	11	gehn
Wollen	MD	11	Will
zurück	RB, IN, JJ, RP	11	zurück
zur	IN	11	zur
zum	IN	11	zum
fort	RP	11	fort
Ihrem	NN	11	Ihrem
geschwind	RB, IN, RP	11	geschwind
Ihn	NN, JJ	11	Ihn, Ihnen
Ihm	PRP	11	Ihm
damit	RB	11	damit
Oder	NN	11	Oder
Ei	NN	11	Ei
bekommen	VB, VBN	11	bekommen
jed	JJ, DT	11	jeder, jedes, jede, jedem, jeden
also	RP, RB, IN	11	also
bist	NN	11	bist
schön	JJ, NN	11	schön, schöne, schönes
Hause	NN	11	Hause
deine	PRP$	11	deine
Oheim	NN	10	Oheim
Geschwind	NN	10	Geschwind
brav	JJ	10	braver, braves, braven, brav
andern	DT, JJ, NN	10	andern, andere
Morgen	NN	10	Morgen
Bettler	NN	10	Bettler
spielen	VB, VBN	10	spielen
et	NN, FW	10	et
Sache	NN	10	Sache
Friede	NN, NNS	10	Friede, Frieden
Meine	PRP$	10	Meine
Auf	IN	10	Auf
werfen	VB, VBN	10	werfen, geworfen, warf, wirft
nennen	VB	10	nennen, nenne
arm	JJ	10	armen, arm
seh	PRP$, JJ	10	seh, sehen
Namen	NN	10	Namen
Vater	NN, NNP	10	Vater
Finger	NN	10	Finger
Leben	NN	10	Leben
heraus	RP, JJ, RB	10	heraus
Frau	NNP, NN	10	Frau
stehen	VB, VBN	10	stehen, stehe, steht, standen, stand
setzen	VB	10	setzen, setzte, setzt
Augenblick	NN, NNP	9	Augenblick
Seite	NN	9	Seite
schreiben	VBN, VB, RP	9	geschrieben, schreiben, schreibt
best	NN, JJ	9	beste, besten
lieben	VB, NN	9	liebe, lieben
war	JJ, VB	9	war
muss	VB, RB	9	muß
Schuldner	NN	9	Schuldner
Wahrhaftig	JJ, RB	9	Wahrhaftig
Soen	RB, VBN	9	So
Mit	IN	9	Mit
Kerl	NN, NNP	9	Kerl
lernen	VB, VBN	9	lernen, gelernt, lernt
König	DT, NN, FW	9	Könige, König
Alles	NN, JJ	9	Alles
einzig	JJ	9	einzige, einziger, einzig
meines	NN, JJ	9	meines
verlieren	VB, VBN	9	verliert, verloren, verlieren
Spass	NN	9	Spaß
lass	JJ, RB	9	laß
voll	JJ	9	voll, voller, vollen
ander	JJ, DT, VB	9	andere, anderes
einander	PRP	9	einander
Krieg	NNS, NN	9	Kriege, Krieg
Denn	WRB, RB	9	Denn
bis	IN	9	bis
wer	WP	9	wer
wünschen	VB, VBN	9	wünschen, gewünscht, wünschte, wünscht, wünsche
freilich	RB, RP, JJ	9	freilich
daran	RB	9	daran
Den	DT	9	Den
Mensch	NN, NNP	9	Mensch
bien	NN, FW	8	bien
Polizei	NN	8	Polizei
wüsste	NN	8	wüßte
anders	IN, RB, RP	8	anders
gehören	VB, RP, VBN	8	gehöret, gehört
Sehen	VB, NN	8	Sieht, Sehen, Seht
hoffen	VB	8	hoffen, hoffe
Jetzt	NN	8	Jetzt
beid	DT, JJ	8	beide, beides, beider
Persien	NN	8	Persien
völlig	JJ	8	völlige, völlig, völliger
Madame	NN	8	Madame
In	IN, TO	8	In
Je	IN	8	Je
entgegen	IN, RP, TO	8	entgegen
los	RB, RP	8	los
worden	VBN	8	worden
liebste	NN, NNP	8	liebste
darum	RB	8	darum
komm	NN	8	komm
