Title: Emilia Galotti
Number of all lemmas: 19342
Nummber of different lemmas: 3241

Lemma	POS	Frequency	Tokens
sein	VB, PRP$, VBN, RB, JJ	529	ist, war, sein, sind, bin, wäre, gewesen, wären, waren, sei
Sie	PRP, JJ, PRP$	498	Sie
ich	PRP, JJ, PRP$	445	ich
nicht	RB	368	nicht
der	DT, WDT	321	der, deren
ein	DT, RP	312	eine, ein, einer, eines, einen, einem
zu	TO, RB, IN, RP	259	zu
die	DT, WDT	256	die, dies
es	JJ, PRP	250	es
und	CC	240	und
sie	PRP, JJ	215	sie
so	RB, IN, RP, JJ, WRB	201	so
haben	VB, RB	194	habe, haben, hat, hätten, hätte, hatten, hatte
das	DT, WDT	190	das
Ich	PRP	185	Ich
in	IN	184	in
er	PRP, JJ, PRP$	174	er
mir	PRP, JJ	161	mir
den	DT, WDT	149	den
mich	PRP	148	mich
mit	IN, RP, TO	143	mit
wollen	MD	142	will, wollt, wollen, wollte, woll, wolle, wollten
dass	IN, RB	136	daß
Und	CC, RB	132	Und
dem	DT, WDT	123	dem
von	IN, TO	118	von
werden	VB, VBN	118	wird, werden, würde, werde, geworden, würden
mein	PRP$, JJ, VB	113	mein, meiner, meine, meines
was	WDT, WP	111	was
dies	WDT, DT	110	diese, dieser, dieses, diesem, diesen
sich	PRP	109	sich
Was	WP	105	Was
wenn	IN, RB	98	wenn
auf	IN, RP, TO	97	auf
Aber	CC, RB	95	Aber
können	VB, VBN, RB, PRP$	94	könnten, kann, könnt, können, könnte, kannst, konnte, könne, konnten
ihn	PRP, JJ	93	ihn, ihnen
als	IN, WRB	90	als
doch	RB, RP, CC, WRB, IN	88	doch
Prinz	NN, JJ	88	Prinz
noch	RB, IN, JJ, NNP	87	noch
auch	RB, IN, RP, WRB	87	auch
sollen	MD	84	soll, sollte, sollen
all	DT, JJ	83	allen, alles, alle, allem, aller
Herr	NNP, NN, JJ	81	Herr
Marinelli	NN	79	Marinelli
nur	RB, IN, RP, WRB	73	nur
meine	PRP$, VB	73	meine
Tochter	NN	72	Tochter
Das	DT	67	Das
ihr	JJ, PRP	64	ihr
hier	RP, RB, VB, IN	64	hier
sagen	VB, VBN, PRP$, RP	63	sagen, sagte, sagt, gesagt, sage
