Title: Nathan der Weise
Number of all tokens: 612
Nummber of different tokens: 386

Token	Frequency
Nathan	18
Bruder	14
Sultan	9
wohl	8
Schach	7
Gott	7
Schwester	6
Stauffen	6
Euer	6
eben	6
sonst	6
Vater	6
Ah	6
Wohl	5
ichs	5
ists	5
wahr	5
weiß	5
Patriarch	4
kennt	4
sagt	4
Kind	4
gewiß	4
Saladin	4
bald	4
lieber	4
seid	4
gern	3
heut	3
Freund	3
Wort	3
Curd	3
Al-Hafi	3
Krank	3
sei	3
wem	3
sprechen	3
Mann	3
hör	3
Ha	3
Geh	3
Ritter	3
wahrlich	2
könnt	2
Eure	2
Sohn	2
gut	2
geworden	2
mußt	2
Heißt	2
wart	2
Gut	2
spät	2
laß	2
Recht	2
Recha	2
hören	2
Herr	2
itzt	2
Gefahr	2
schweig	2
Tut	2
Jude	2
versteh	2
bitt	2
ruhig	2
Zins	2
geht	2
Sei	2
sollt	2
solls	2
Name	2
Geschwister	2
Seid	2
fiel	2
erröten	2
Freilich	2
geh	2
Lieber	2
seht	2
Sittah	2
nennst	2
tus	2
Dank	2
Christ	2
Mach	2
erst	2
krank	2
junger	2
Daja	2
Gewiß	2
fromme	2
steh	2
freilich	2
Rechas	2
Derwisch	2
Volk	2
Brautkleid	2
gibts	2
Bettlern	1
würde	1
Erlaubt	1
gehorchen	1
dienen	1
Kloster	1
Steh	1
Habt	1
entdeckt	1
Not	1
wohin	1
selber	1
heißen	1
Gefangner	1
Weiß	1
Augen	1
Hecke	1
gerührt	1
Sittahs	1
ahndte	1
find	1
wachen	1
essend	1
geheimnisvoll	1
kannst	1
drei	1
kamt	1
ungefähr	1
Vorteil	1
Allgerechter	1
glaubs	1
eilen	1
nachgeschickt	1
Hafi	1
bleibt	1
lesen	1
magst	1
bleibe	1
Retter	1
darum	1
arme	1
Laßt	1
Gewissen	1
Gestern	1
Heraus	1
gnug	1
Schonet	1
Patriarchen	1
Erklärt	1
groß	1
Unterschied	1
hörst	1
wißt	1
Gesund	1
wanns	1
kenne	1
hoffen	1
Schwerlich	1
danken	1
Wovon	1
Feinde	1
heiß	1
Junger	1
beschönen	1
wartst	1
sprichst	1
unternehmet	1
denken	1
Blut	1
spielst	1
siehst	1
bescheiden	1
nimm	1
verreist	1
Filneck	1
Abendländer	1
halt	1
Trotzkopf	1
verschwand	1
deinem	1
deinen	1
geschwärmt	1
nennt	1
Rat	1
lieben	1
Bessers	1
Reißt	1
Gutes	1
Transport	1
guter	1
wartet	1
matt	1
fehlt	1
werde	1
Komm	1
hoffentlich	1
Keiner	1
kaum	1
weniger	1
Ei	1
Eh	1
desgleichen	1
wovon	1
kömmst	1
Endlich	1
Gesättigt	1
Hand	1
bitten	1
dünkt	1
doppelt	1
stutzt	1
Richtig	1
tot	1
ähnlich	1
Problema	1
Assad	1
feind	1
Zinsen	1
gehn	1
Hunger	1
dank	1
Nimm	1
Entdeckt	1
weisen	1
Halt	1
Nie	1
sonderbar	1
Seit	1
Genug	1
Ernst	1
stürzte	1
alsdann	1
Geduld	1
Träne	1
Verschmäht	1
meint	1
dumme	1
Bewahre	1
Kenn	1
Gebiete	1
frisch	1
Diensten	1
Königin	1
nehmt	1
anzunehmen	1
geb	1
hörte	1
Stelle	1
etwa	1
weißt	1
zeigen	1
Verfolgen	1
keiner	1
schwer	1
reif	1
überrascht	1
blindlings	1
Sorge	1
Kaufe	1
Denkt	1
spottet	1
machst	1
klemmt	1
Ägypten	1
vertrautes	1
verbrannt	1
Boten	1
Assads	1
höchstes	1
errat	1
Pfand	1
dadurch	1
Glücks	1
Täte	1
Herrlich	1
Versuchts	1
scherzt	1
Büchern	1
Hört	1
Sache	1
abgebrannt	1
Grund	1
Kannst	1
Erraten	1
ängstlich	1
dus	1
selig	1
Steine	1
Liebe	1
gar	1
Amme	1
nämlichen	1
Hälfte	1
selten	1
Natur	1
wissen	1
glaubt	1
Konnts	1
verspricht	1
herein	1
Zweifel	1
recht	1
verlassen	1
Deiner	1
Leicht	1
geschwinder	1
Geht	1
dächte	1
Bedienen	1
Vorn	1
Traume	1
Nimmermehr	1
Ists	1
Prinzessin	1
meinst	1
Gebrauch	1
finden	1
hab	1
weh	1
Gar	1
Schachgesell	1
Spiele	1
fragt	1
Gelegenheit	1
hieß	1
ruft	1
Getroffen	1
Bleibt	1
schonet	1
Unglückliche	1
Wahrlich	1
handelt	1
wahren	1
wozu	1
herrlich	1
besser	1
Eures	1
Frank	1
eilst	1
meiner	1
meines	1
Leu	1
He	1
weit	1
Argwohn	1
gestillt	1
nötig	1
nochmals	1
erkenn	1
liebes	1
Laß	1
bitte	1
wollt	1
Todes	1
Lügnerin	1
Bloß	1
fast	1
gesagt	1
Ende	1
wies	1
Ruhig	1
Tempelherr	1
Zeichen	1
Wärs	1
abgeschreckt	1
melden	1
erfahr	1
nutzt	1
rechnen	1
fort	1
gehört	1
gesehn	1
leicht	1
wär	1
ah	1
Laienbruder	1
bemerkt	1
Brav	1
erteilen	1
sagst	1
Bücher	1
Haus	1
Ach	1
spiele	1
wolltest	1
Ihrs	1
bedenkt	1
