word	emotion	arousel
habgier	-1.7	3.722222222
ergänzen	0.764705882	2.2
scheiden	-2.0	3.222222222
neidlos	0.9	1.526315789
ausdauer	1.6	2.235294118
betteln	-1.5	3.111111111
protest	0.088235294	3.666666667
schürze	-0.64	2.14
steigen	0.882352941	2.0
verwandt	0.4	1.944444444
dackel	0.27	2.77
derb	-1.1	2.631578947
aggression	-1.764705882	4.333333333
geweih	0.09	2.62
stauchen	-0.6	2.315789474
paris	1.65	2.555555556
sahne	1.2	2.0
biber	1.0	1.894736842
bibel	0.5	2.904761905
paket	1.05	2.722222222
hausfrau	0.0	2.277777778
regal	0.55	2.047619048
verweis	-1.5	3.0
anfallen	-0.9	3.789473684
schuften	-1.2	3.473684211
veranda	1.1	1.833333333
buche	1.15	1.368421053
rasthaus	0.8	2.238095238
vertraut	1.9	1.611111111
manie	-1.25	3.777777778
pflegen	0.941176471	2.666666667
förderung	1.147058824	2.523809524
pizzeria	1.4	2.5
niederlage	-1.794117647	3.666666667
ruhelos	-1.4	2.578947368
gesetz	-0.9	2.684210526
qualität	1.647058824	2.277777778
anwidern	-2.0	3.526315789
anfang	0.8	3.0
venus	1.6	3.0
blick	1.264705882	2.277777778
triumph	2.0	3.875
berauben	-2.2	3.722222222
verfolgen	-1.735294118	3.7
ente	0.91	2.41
brezel	1.64	2.23
vorwand	-0.8	2.952380952
naiv	-0.8	2.315789474
partei	-0.6	2.619047619
chef	0.2	3.055555556
sturz	-1.6	3.761904762
welken	-1.5	2.35
phonem	-0.9	2.052631579
gegner	-1.4	3.619047619
panda	1.45	2.64
büro	-0.617647059	2.178571429
achsel	-0.45	2.375
üben	0.382352941	2.476190476
dirne	-1.0	2.523809524
revolver	-2.14	4.14
atemnot	-2.2	4.4375
blut	-0.882352941	3.666666667
toll	2.0	3.055555556
annehmen	0.735294118	2.380952381
gejammer	-1.7	3.222222222
anerkennen	1.588235294	3.0
fördern	1.441176471	2.142857143
bezahlen	-0.529411765	2.535714286
fehde	-1.45	3.222222222
überzeugen	0.5	2.952380952
streich	0.1	2.944444444
knospe	1.65	2.176470588
bejubeln	2.2	3.0
herz	2.3	3.277777778
kugel	0.45	2.0
ärgernis	-1.9	3.789473684
partisan	-0.8	2.736842105
rampe	0.25	2.722222222
herr	-0.294117647	2.555555556
schiff	0.91	2.64
aufleben	1.8	2.888888889
grenze	-0.2	3.0
verlegen	-0.411764706	2.238095238
amulett	0.9	2.368421053
verzicht	-1.3	2.944444444
mentor	1.0	1.894736842
bunker	-1.8	3.45
kater	1.0	2.611111111
leitbild	0.3	2.352941176
börse	-0.647058824	2.052631579
putzen	-1.4	2.210526316
halunke	-1.4	3.5
reichen	0.617647059	1.789473684
stützen	0.882352941	2.047619048
soldat	-1.5	3.875
moral	-0.1	2.555555556
stern	1.0	2.444444444
schuh	1.0	2.05
