sentiWS	nrcPositive	nrcNegative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	emotion	arousel	cdPositive	cdNegative	cdNeutral	gpcPositive	gpcNegative	gpcNeutral
Revolver	0	0	0	0	0	0	0	0	0	0	0	-2.14	4.14	0	0	0	0	0	0
zerbrechen	-0.0522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stern	0	1	0	0	1	0	0	1	0	0	1	1.0	2.444444444	0	0	0	1	0	0
gediegnere	0.0831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beruhigungsmittel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
geistloserem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
geistloseren	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reckenhaft	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	0	0
Mannschaft	0	0	0	0	0	0	0	0	0	0	1	0.382352941	2.523809524	0	0	0	0	0	0
Gemeinschaft	0.004	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Hexenschuss	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Herumtoben	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
drängtest	-0.3516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
geistloserer	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
geistloseres	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unfehlbarerer	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unfehlbareres	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dumps	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
unfehlbareren	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eigentümlich	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
unfehlbarerem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
verschwenden	-0.0494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kunterbunt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gefühllos	0	0	1	1	0	1	0	0	0	0	0	0	0	0.0	1.0	0.0	0	1	0
unerhörterem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
widerspenstigstem	-0.1789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stiefel	0	0	0	0	0	0	0	0	0	0	0	0.77	2.23	0	0	0	0	0	0
langweiligstes	-0.0228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rivalität	-0.0048	0	1	1	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	1	0
deflationistisch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
locken	0	0	0	0	0	0	0	0	0	0	0	0.0	2.888888889	0	0	0	0	0	0
locker	0.2381	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0
intakt	0.004	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
langweiligstem	-0.0228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
widerspenstigstes	-0.1789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
widerspenstigster	-0.1789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
simpel	0.004	0	0	0	0	0	0	0	0	0	0	0.4	2.3	0	0	0	0	0	0
unerhörterer	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unerhörteres	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
weisestem	0.2244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rührigstem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Katheter	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sterben	-0.0539	0	1	0	0	0	1	0	1	0	0	-1.823529412	4.055555556	0.0	1.0	0.0	0	0	0
erhebendst	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vergewaltigtet	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rührigster	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rührigstes	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
warmherzig	0.1921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
weisestes	0.2244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verband	0.004	0	0	0	0	0	0	0	0	0	0	-1.18	2.95	0	0	0	0	0	0
versklavtere	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zucker	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unerquicklich	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
verdorbener	-0.1755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unterhaltsam	0	1	0	0	1	0	0	1	0	0	0	0	0	1.0	0.0	0.0	1	0	0
zerrtet	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wahnsinnigerer	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hektischere	-0.0396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wahnsinnigeres	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wahnsinnigsten	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wahnsinnigstem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bedauernswertem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wahnsinnigstes	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
angetrunken	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
persönlich	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
kurios	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	1	0	0
Wunderdoktor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
prallerem	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pralleren	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
