word	emotion	arousel
Makten	0.735294118	2.526315789
ἔνθα	0.91	2.41
JUGEND	1.55	3.294117647
schlegen	-1.911764706	3.944444444
Portwein	1.1	2.166666667
seifen	0.7	1.473684211
urloup	2.45	2.5625
verweigeren	-0.911764706	3.0
Auswurffe	-0.9	2.368421053
erkönnen	1.235294118	2.80952381
Sterb '	-1.823529412	4.055555556
verweigeret	-0.911764706	3.0
schleget	-1.911764706	3.944444444
hassist	-2.5	4.444444444
Klav [ ier	1.91	2.36
nänne	0.294117647	2.0
anzulege	0.205882353	2.0
mauligen	-1.4	3.157894737
müthig	2.2	3.315789474
Stvnd	0.25	2.055555556
Düftgen	1.7	2.388888889
Betriga	-2.05	3.8
Mawrn	-0.5	2.777777778
drohet '	-2.176470588	3.928571429
löstern	1.058823529	2.631578947
berührts	1.794117647	2.892857143
ALLEJN	-1.8	2.45
allerleichtsten	0.8	2.095238095
entstunde	1.176470588	2.105263158
Morter	-2.1	3.444444444
GOld	1.4	2.5
qvaal	-2.7	4.111111111
Valle	-1.7	4.0
gier'gen	-1.5	3.947368421
Spraache	1.735294118	2.611111111
wört	0.764705882	2.0
pallästen	1.7	2.611111111
gier'ger	-1.5	3.947368421
leuchten es	1.8	2.5
Hoegen	0.5	3.263157895
fterben	-1.823529412	4.055555556
stieren es	-0.09	3.43
fiengn	-0.529411765	2.964285714
Enckle	1.25	2.277777778
Fortsetz	0.852941176	2.333333333
mohre	0.4	2.333333333
muthig	2.2	3.315789474
anrüffend	1.205882353	2.842105263
Sach	0.25	2.157894737
Karafa	0.41	1.95
VErnunfft	1.5	2.611111111
Sancet	-1.264705882	3.263157895
neidischerer	-1.5	3.833333333
gälder	1.6	2.944444444
Sizzen	0.352941176	2.0
verbandet	1.205882353	2.526315789
τασέ	0.73	1.82
daucht	0.941176471	2.684210526
streichest	-0.352941176	2.321428571
Portweins	1.1	2.166666667
Loes	1.058823529	2.631578947
Loew	0.36	4.05
Venvs	1.6	3.0
Akzentes	0.0	3.210526316
Rufet	0.088235294	2.684210526
feyer-tage	1.9	1.941176471
dawern	-0.235294118	2.047619048
geliebert	2.2	2.166666667
hbogen	0.8	1.947368421
Punct '	0.176470588	1.888888889
anböhte	0.676470588	1.736842105
Strümpse	0.45	1.59
stohn	0.205882353	2.105263158
Gluben	0.86	2.32
Erzeuget	0.941176471	2.571428571
erhobener	0.088235294	2.095238095
berichet	-0.029411765	2.277777778
Erzeuger	0.8	3.052631579
Papagoy	1.55	3.18
zeerung	-1.8	3.444444444
Wind '	1.264705882	2.333333333
säzen	0.235294118	1.952380952
feufzen	-1.1	2.473684211
Sippe	-0.5	2.444444444
liefre	0.6	2.107142857
Haluncken	-1.4	3.5
Eidechs '	0.32	2.82
fülleten	0.529411765	2.107142857
Befreyungs	2.205882353	3.380952381
chint	1.8	2.444444444
Führunge	-0.470588235	2.444444444
Vourteilen	1.8	2.75
auswurff	-0.9	2.368421053
Lücht	2.0	2.611111111
lenck	-0.029411765	2.333333333
allerfreulichsten	1.5	2.5
Weych	1.2	1.368421053
Befreyunge	2.205882353	3.380952381
abfarth	0.3	3.117647059
anonym	-0.4	2.684210526
Zwybacks	0.36	1.77
Börse	-0.647058824	2.052631579
Geschäncke	2.3	3.470588235
ueben	0.382352941	2.476190476
Farthen	0.941176471	2.368421053
Schwesstern	1.323529412	1.857142857
Sylbernen	1.4	2.421052632
Orchan	-1.0	4.2
übergebest	-0.588235294	2.157894737
Murr	-1.0	2.105263158
Mangel	-1.9	3.0625
rebel	0.15	4.0
