WORD_LOWER	EMO_MEAN	AROUSAL_MEAN
ampel	-0,7	2,678571429
ampulle	-0,73	3,14
amsel	1,15	1,8
amt	-0,7	2,526315789
amulett	0,9	2,368421053
anbahnen	0,2	2,944444444
anbau	0,85	1,578947368
anbieten	0,676470588	1,736842105
änderung	0,352941176	2,833333333
anekdote	0,8	2,619047619
anekeln	-2,1	3,607142857
anerkennen	1,588235294	3
anfall	-1,7	3,888888889
anfallen	-0,9	3,789473684
anfang	0,8	3
anflug	0,5	2,473684211
angeben	-1,382352941	2,761904762
angebot	0,970588235	2,904761905
angehen	0,705882353	2,368421053
angeklagte	-1,647058824	3,380952381
angel	-0,15	2,15
angeregt	1,3	3,473684211
angler	-0,2	2
angriff	-2	4
angst	-2,6	4,380952381
anheizen	0,5	2,833333333
anker	1	1,888888889
anklage	-1,5	3,857142857
anklagen	-1,3	3,833333333
anklang	1,4	1,722222222
anlegen	0,205882353	2
anleihe	-0,852941176	2,238095238
anlocken	0,4	2,433333333
anmut	1,8	2,25
anmutig	1,9	2,333333333
annahme	0,235294118	2,3125
annehmen	0,735294118	2,380952381
anomal	-1,5	2,315789474
anomalie	-1,5	3,666666667
anonym	-0,4	2,684210526
anormal	-1,4	2,421052632
anpumpen	-1,1	2,421052632
anregung	1,3	3,111111111
anreiz	1,3	3,736842105
anruf	1,35	2,833333333
anrufen	1,205882353	2,842105263
ansporn	1,5	3,277777778
ansprechen	0,852941176	2,714285714
anstehen	-0,9	2,473684211
anteil	0,3	2,3125
antrag	0,3	3,058823529
antwort	0,941176471	2,684210526
antworten	0,970588235	2,157894737
anwalt	-0,2	2,894736842
anwidern	-2	3,526315789
anzahl	0,2	1,705882353
apathie	-1,6	3,333333333
apfel	1,2	1,833333333
appetit	1,1	2,722222222
applaus	1,8	3,588235294
aquarium	0,59	1,36
arbeit	0,05	2,833333333
arbeiten	-0,058823529	2,684210526
arbeiter	-0,235294118	2,222222222
archiv	0,45	1,894736842
arg	-1,2	2,526315789
ärger	-1,9	3,944444444
ärgernis	-1,9	3,789473684
argwohn	-1,3	3,444444444
armee	-2,1	4
armut	-1,95	3,333333333
aroma	1,4	2,157894737
arrest	-2	3,764705882
arroganz	-1,9	3,611111111
arsch	-1,1	4
arsen	-2	3,388888889
arsenal	-0,9	2,285714286
arzt	0,088235294	2,777777778
asche	-1	2,857142857
aschfahl	-1,9	1,894736842
aschgrau	-1,4	1,631578947
askese	-0,4	2,625
asket	-0,7	2
asozial	-2,4	2,526315789
asyl	-0,3	3,388888889
atemnot	-2,2	4,4375
atlas	0,95	2,333333333
atmung	1,9	2,470588235
atombombe	-2,794117647	4,421052632
attentat	-2,4	4,705882353
aufatmen	1,5	2,277777778
aufbau	0,55	2,285714286
aufbauen	1	2,421052632
aufbruch	0,9	3,238095238
aufenthalt	0,764705882	2,571428571
auffordern	-0,117647059	3
aufgabe	0,411764706	2,777777778
aufgeben	-1,470588235	2,210526316
aufhalten	-0,411764706	2,157894737
