WORD_LOWER	EMO_MEAN	AROUSAL_MEAN
gurke	0,8	1,619047619
gurt	0,5	1,95
gürtel	-0,05	2,23
gutartig	2	1,944444444
guttun	2	1,578947368
habgier	-1,7	3,722222222
hafen	1,15	2
hafer	0,75	1,473684211
haftung	-0,9	2,842105263
hagel	-1,1	3
hahn	0,41	2,23
hai	-0,5	3,333333333
halbtot	-2	2,789473684
halle	0,2	2,055555556
halunke	-1,4	3,5
hammer	-0,32	3
hamster	0,86	2,41
hand	1,205882353	1,777777778
handikap	-1,3	3,111111111
hanf	-0,3	2,333333333
hängen	-0,823529412	2,526315789
hantel	-0,27	2,5
harfe	1,45	1,5
harmonie	2,5	1,764705882
hase	1,64	2,82
hassen	-2,5	4,444444444
haube	-0,1	2,157894737
haus	1,264705882	1,833333333
hausfrau	0	2,277777778
haushalt	-0,1	2,0625
haustier	1,2	2,222222222
hebel	0,35	2,25
heben	0	2,142857143
hefe	0,32	1,82
hehlerei	-1,4	3,444444444
heide	1	1,611111111
heilfroh	2,2	2,277777778
heilung	2,6	2,352941176
heimat	1,7	1,8125
heimkehr	1,2	2,722222222
heirat	1,05	3,277777778
heiraten	1,382352941	3,789473684
heißen	0,617647059	2,142857143
heiter	1,8	2,65
heizung	1,14	1,82
held	2,1	3,5
helfen	2	3,095238095
helfer	1,9	2,421052632
hemd	0,68	1,95
hemmnis	-1,7	3
henker	-2,35	4,235294118
henne	0,25	2,058823529
herbst	1,1	1,65
herd	0,91	2,64
herde	0,35	2,388888889
hering	-0,05	2,157894737
heroisch	0,7	2,894736842
herr	-0,294117647	2,555555556
herrschaft	-1,941176471	3,157894737
herrschen	-1,911764706	3,285714286
herstellen	0,676470588	2,052631579
herz	2,3	3,277777778
herzlos	-2,5	2,263157895
hetzen	-1,4	3,947368421
hetzer	-1,95	3,833333333
heucheln	-1,9	3,888888889
heulen	-1,7	3,85
hexe	-0,7	3,142857143
hilfe	1,3	3
hilflos	-1,8	4
himbeere	1,95	2,5
himmel	2,25	1,65
hinweis	0,5	2,470588235
hirsch	0,68	2,86
hirse	0,4	1,611111111
hirte	0,85	2,210526316
hitze	-0,75	3,789473684
hobby	2,2	2,875
hobel	0,3	2,117647059
hochmut	-1,4	3,277777778
hochschule	0,794117647	3,380952381
hochzeit	1	3,5
hocker	0,14	1,95
hoffen	1,647058824	2,392857143
hoffnung	2,2	2,611111111
höhe	0,5	3,263157895
höhepunkt	1,735294118	4,095238095
holen	0,176470588	2
honig	1,8	1,5625
horde	-1,2	3,2
hormon	0,15	3,25
hornisse	-1,86	3,73
horoskop	-0,1	2,888888889
horror	-2,15	4,388888889
hose	0,77	2
hotel	1,15	2,5
huhn	-0,09	2,43
human	1,9	2,05
hummer	-0,09	2,55
humor	2,15	3,8125
humorlos	-2,1	2,263157895
hunger	-0,6	3,631578947
hupe	-0,82	3,45
hure	-1,3	3,777777778
hypnose	0	3,166666667
hypothek	-1,6	3,055555556
ideell	1,2	2,473684211
idiot	-2	3,176470588
idylle	2,5	1,823529412
igel	0,73	2,55
iglu	0,64	2,68
illegal	-2	3,526315789
imker	1	2,166666667
impfung	-0,1	2,833333333
import	0,55	1,842105263
impuls	1	3,631578947
industrie	-0,647058824	2,523809524
inferno	-1,8	4,277777778
inhalt	0	2,25
initiative	1,411764706	3,315789474
insekt	-0,45	3
insel	2,05	2,166666667
instinkt	0,7	3,526315789
instrument	1,176470588	3,315789474
intensiv	1	3,894736842
interesse	1,617647059	3,19047619
intim	1,3	3,789473684
intrige	-2,2	3,875
irre	-1,5	3,777777778
irrlehre	-1,6	3,333333333
irrsinn	-2,1	4,125
irrtum	-1,058823529	3,222222222
islam	-0,05	3,055555556
jacke	0,68	2,18
japan	0,25	2,111111111
jauche	-1,9	3,157894737
jawort	1	2,842105263
jazz	0,8	3,578947368
job	1,1	3,476190476
jubel	2	3,647058824
jugend	1,55	3,294117647
junge	0,8	2,80952381
jungfrau	0,3	2,294117647
justiz	0,1	3,333333333
juwel	1,5	2,842105263
kabel	-0,3	2,25
käfer	-0,68	2,91
kaffee	1,4	2,277777778
käfig	-1,86	3,27
kakao	1,65	1,529411765
kaktee	0,27	2,36
kaktus	0,5	2,428571429
kalorie	-0,8	2,842105263
kamel	1,1	2,277777778
kamera	1,5	3
kamerad	1,5	2,4375
kamin	1,65	1,5
kamm	0,23	1,91
kammer	-0,823529412	2,052631579
kampf	-1,6	4,047619048
kämpfen	-0,647058824	3,761904762
kampflos	-0,6	2,315789474
kanal	-0,6	2,19047619
kandidatur	-0,352941176	2,8
känguruh	1,18	2,95
kanne	0,6	1,684210526
kanon	0,7	2
kanone	-1,77	3,91
kante	-0,5	2,611111111
kanzel	-0,85	1,947368421
kanzler	-1,029411765	2,444444444
kappe	-0,1	2,055555556
karaffe	0,41	1,95
kargheit	-1,4	2,588235294
karriere	1,9	3,176470588
karte	0,8	2,368421053
kartei	-0,5	2
karton	0	1,842105263
käse	0,95	2,32
kasino	0,5	2,473684211
kasperl	1,23	2,82
kasse	-0,15	2,333333333
kassette	0,41	2,09
kastanie	0,91	2,14
kater	1	2,611111111
katze	1,45	2,111111111
kauf	0,558823529	3
kaufen	0,823529412	3,157894737
kegel	0,35	2
kehle	-0,15	3,210526316
kehren	-0,558823529	2,2
keks	1,91	2,36
keller	0	2,722222222
kennen	1,117647059	2,368421053
kenntnis	1,147058824	2,222222222
kerbe	-0,2	2,55
kerker	-1,9	4,058823529
kerze	1,5	1,647058824
kette	0,45	2,833333333
ketzer	-1,45	3,777777778
keule	-1,3	2,944444444
kichern	0,7	2,962962963
kiefer	0,6	1,842105263
kiesel	0,5	1,611111111
killer	-2,4	4,294117647
kind	1,8	2,444444444
kiosk	0,8	2,047619048
kirche	0,05	2,333333333
kirsche	2,18	2,73
kissen	1,65	1,647058824
kiste	0,45	1,888888889
kitsch	-1,2	2,5
klage	-1,55	3,470588235
klang	1,3	1,578947368
klären	1,058823529	2,761904762
klarheit	2,2	2,235294118
klasse	0,470588235	2,722222222
klassik	0,7	3,052631579
klaue	-1,2	3,45
klauen	-2	3,631578947
klavier	1,91	2,36
klee	1,8	1,388888889
klette	-0,9	2,263157895
klient	-0,2	2,789473684
klima	0,25	2,210526316
klinge	-1,3	3,684210526
klingel	0,14	2,73
klinik	-1	3,3
klinke	0,23	1,91
klippe	0,1	3,388888889
klischee	-1	3,380952381
kloster	0,058823529	1,833333333
klugheit	2,3	2,8125
knabe	0,55	2,157894737
knausern	-1,2	2,105263158
knebel	-1,55	3,95
knebeln	-1,5	3,722222222
kneipe	1,3	2,444444444
knochen	-0,86	2,95
knospe	1,65	2,176470588
koalition	-0,617647059	2,285714286
kobold	0,6	2,473684211
kobra	-0,8	3,631578947
koffer	0,7	2,315789474
kohle	0,15	2,555555556
kohlrabi	0,09	2,09
kollaps	-1,9	4,222222222
kollege	0,705882353	2,619047619
kollektiv	0	2,894736842
komet	1,1	3,4
komfort	2	1,823529412
komik	1,45	3,055555556
komisch	0,7	2,578947368
komitee	-0,823529412	2,666666667
komma	-0,35	1,941176471
kommen	1,117647059	2,631578947
kommission	-1	2,052631579
kommode	0,64	1,82
kommunist	-0,617647059	2,894736842
kompass	0,68	2,55
komplize	-1,1	3,444444444
komplott	-1,9	3,705882353
kondom	0,91	3,45
konflikt	-1,6	3,666666667
konkurrenz	-1,058823529	3,263157895
konkurs	-1,8	3,294117647
können	1,676470588	2,736842105
konsequenz	-0,558823529	3,476190476
kontakt	1,4	2,777777778
konto	0,5	3,333333333
kontrolle	-1,029411765	2,684210526
konzert	1,794117647	2,5
kopflos	-1,3	3,105263158
kopie	0,05	1,944444444
koran	-0,25	3
korb	0,41	1,86
korrupt	-1,9	3,421052632
kosmetik	0,3	2,176470588
kosten	-1,529411765	2,952380952
kraft	1,382352941	3
kraftlos	-1,6	2,722222222
kralle	-1	2,684210526
krank	-2	3,368421053
krankheit	-1,735294118	3,766666667
kranz	0,86	2,23
krawatte	0,14	2,27
kreativ	2,6	2,944444444
kredit	-1,235294118	3,277777778
kreide	-0,32	2,09
kreis	0,382352941	1,888888889
kreisel	0,68	2,86
kreuz	0,5	2,421052632
krieg	-2,9	4,571428571
kriegen	-0,5	3,19047619
krimi	0,6	3,263157895
krise	-1,9	3,619047619
kritik	-0,8	3,428571429
krokodil	-0,95	4
krokus	1,4	1,9
krone	1,15	2,555555556
krücke	-1,95	3,45
kruzifix	0,6	2,80952381
kuchen	1,6	2
kugel	0,45	2
kuhle	-0,05	1,8
küken	1,77	3,05
kult	-0,1	2,833333333
kultur	1,5	2,421052632
kummer	-1,9	3,6875
kümmern	1,323529412	1,857142857
kumpan	1,15	2,1
kunde	0,35	2,3
kündigen	-1,088235294	2,894736842
kunst	1,823529412	2,444444444
künstler	1,794117647	2,888888889
kupfer	0,5	1,944444444
kuppe	0,05	2,222222222
kürbis	0,5	2,36
kurort	0,75	2,19047619
kurve	0,05	2,823529412
küssen	2,617647059	3,178571429
küste	2	1,833333333
kutsche	1,27	2,45
labil	-1,5	3,05
labor	-0,15	2,578947368
lächeln	2,294117647	2,357142857
lachen	2,647058824	2,833333333
ladung	0,15	2,764705882
lage	-0,058823529	1,833333333
lager	0,1	2,111111111
laken	0,45	1,894736842
lampe	0,85	2,142857143
landschaft	2	2,842105263
lanze	-0,55	2,619047619
larve	-0,4	2,736842105
last	-1,676470588	3,388888889
laster	-1,05	3,222222222
latein	-0,15	2,263157895
laterne	1,24	2,19
laube	1,3	1,75
lauer	-0,6	2,476190476
laufbahn	1	2,277777778
laufen	0,764705882	2,047619048
lauge	-0,4	2,35
laune	0,6	3,157894737
launisch	-1,9	3,222222222
laut	-0,8	3,473684211
lawine	-1	4,1
leben	2,382352941	2,666666667
lebendig	2,5	3,055555556
leblos	-2,3	3,5
leder	0,5	2,238095238
leere	-1,05	2,421052632
legen	0,205882353	1,842105263
lehre	0,65	2,80952381
lehrer	0,05	2,444444444
lehrerin	-0,2	2,666666667
lehrhaft	0,5	2,444444444
lehrjahr	-0,5	2,277777778
lehrling	-0,1	2,8125
lehrzeit	-0,4	2,388888889
leib	0,8	2,80952381
leiche	-2,45	4,142857143
leichnam	-2,4	3,941176471
leichte	0,8	2,095238095
leid	-2	4,166666667
leiden	-1,941176471	3,833333333
leiern	-1,2	1,894736842
leim	0	2,111111111
leine	0	2,5
leinwand	0,4	1,941176471
leisten	0,617647059	2,428571429
leistung	1,8	3,111111111
leitbild	0,3	2,352941176
leiter	0,25	2,25
leittier	-0,1	2,352941176
lektion	-0,4	2,941176471
lende	0,7	2,523809524
lenkbar	0	2,611111111
lenken	-0,029411765	2,333333333
lenker	0,32	2
lenkrad	0,4	2,0625
lenkung	0,5	2,352941176
lenz	1,3	1,944444444
leopard	1,3	3,333333333
lepra	-2,4	4
lerche	1,2	1,65
lernbar	1,3	2
lernen	0,8	2,526315789
lesebuch	0,6	2,736842105
leser	1,3	2,111111111
lesesaal	0	1,333333333
lesung	0,4	2
letzte	-1,2	3,157894737
leuchte	1,3	2,388888889
leuchten	1,8	2,5
leugnen	-1,7	3,5
leugnung	-1,7	3,333333333
leumund	-0,6	1,684210526
leute	0,75	2,894736842
lexikon	0,3	2,5625
liaison	1	3,166666667
libelle	1,1	1,888888889
liberal	1,3	2,157894737
licht	2	2,611111111
lichtung	1,3	2,111111111
lid	0,2	1,842105263
lieb	2,2	2,166666667
liebe	2,9	3,631578947
liebelei	0,9	3,904761905
lieben	2,705882353	3,666666667
lieblos	-2,3	3,277777778
liebreiz	1,7	3,058823529
lied	1,6	1,944444444
liefern	0,6	2,107142857
liege	1,3	1,526315789
liegen	0,823529412	2,238095238
lift	0,4	2,555555556
lilie	1	1,611111111
limit	-0,7	3,142857143
limonade	1,4	1,666666667
linde	1,35	1,444444444
lindern	1,3	1,714285714
lineal	0,3	2,052631579
linie	0,1	1,842105263
linse	0,5	1,944444444
lippe	1,55	2,333333333
liquide	1	1,894736842
list	-0,5	3,277777778
liste	-0,35	2,4
listig	-0,4	3,210526316
litanei	-0,5	2,5
liter	0,5	1,888888889
literatur	1,852941176	3,047619048
lizenz	0,2	2,842105263
lob	2	2,666666667
lobby	0,2	2,526315789
loben	1,8	2,25
loblied	2	2,235294118
loch	-0,9	2,428571429
locher	-0,14	1,82
locken	0	2,888888889
lodern	-0,3	3,111111111
löffel	0,59	2,14
logik	1,15	2,35
logisch	1,2	1,789473684
lohn	1,5	2,722222222
lorbeer	1,4	2,111111111
lösen	1,058823529	2,631578947
lossagen	-0,3	2,157894737
losung	0	2,764705882
lösung	1,529411765	2,388888889
lotse	0,65	2,238095238
lotterie	0,4	3,222222222
lotto	0,25	2,473684211
lotus	1,45	1,888888889
löwe	0,36	4,05
loyal	2,1	2,105263158
luder	-1,1	3,75
luft	2,2	2,222222222
luftloch	-0,6	3,047619048
luftraum	0,6	2,105263158
lug	-2	2,421052632
lüge	-2,117647059	4,055555556
lukrativ	1,7	2,5
lump	-1,4	2,888888889
lunge	0,3	2,777777778
lupe	0	2,294117647
lust	2,1	3,666666667
lustlos	-1,5	2,277777778
lutschen	0,6	2,392857143
lutscher	1,14	2,59
luxus	1,7	2,941176471
lynchen	-2,6	4,210526316
lyrik	0,7	3,157894737
machen	0,735294118	2,526315789
macher	1,1	2,95
macht	0,1	4,15
machtlos	-2	3
mädchen	1,323529412	2,666666667
madeira	1,4	2,611111111
madonna	1	2,555555556
mafia	-1,8	4,157894737
magazin	0,5	2,352941176
magd	-0,3	2,777777778
magen	0,5	2,428571429
mager	-1,2	3,25
magie	0,75	3,210526316
magier	1	3,421052632
magisch	1,2	2,789473684
magma	0	3,052631579
magnet	0,6	2,210526316
mahl	1,1	2,055555556
mahlzeit	1,4	2,111111111
mahnen	-1,3	3,055555556
mahnmal	-1	3,523809524
mahnung	-1,4	3,944444444
mai	1,7	2,368421053
maibaum	0,8	2,142857143
mais	0,9	2,210526316
makaber	-1,1	2,947368421
makel	-1,5	2,75
makellos	1,5	2,833333333
makler	-0,4	2,176470588
malaria	-2,1	4
maler	1,4	2,111111111
malerei	1	2,055555556
mama	2,3	2,388888889
manager	0,7	2,842105263
manege	0,6	2,428571429
mangel	-1,9	3,0625
mango	1,71	2,43
manie	-1,25	3,777777778
manko	-1,05	2,777777778
mann	1,2	2,388888889
mannschaft	0,382352941	2,523809524
mantel	1,05	1,91
manuell	0	2,111111111
mappe	0,3	2,111111111
markant	0,8	3,105263158
marke	0,05	2,222222222
markt	0,8	2,380952381
marotte	-0,7	2,571428571
marter	-2,1	3,444444444
martern	-2,2	3,785714286
marxist	-0,9	2,473684211
masche	-0,85	2,095238095
maske	-0,1	3,444444444
massage	2,2	1,5625
massaker	-2,8	4,611111111
masse	-0,8	2,210526316
massiv	-0,1	3,15
maßnahme	-0,529411765	2,421052632
matratze	1,2	2,388888889
matt	-1,1	1,578947368
matte	0,15	1,722222222
mauer	-0,5	2,777777778
maul	-1,1	2,944444444
maulen	-1,4	3,157894737
maulkorb	-1,5	3,5
maus	0	3,27
mausgrau	-1,4	1,736842105
maximal	1,2	2,578947368
maximum	1	3,166666667
mechanik	0,3	2,294117647
medaille	1,6	2,888888889
medizin	1,4	2,833333333
meer	1,8	2,666666667
mehrheit	0,5	2,470588235
meiden	-1,1	3
meineid	-1,8	3,375
meinen	0,558823529	2,315789474
meinung	1,5	2,666666667
meise	0,6	1,857142857
meister	1,1	2,777777778
meistern	1,5	2,944444444
melden	0,088235294	2,285714286
melodie	1,7	2,235294118
melodram	-0,9	3,619047619
melone	1,82	2,27
menge	-0,2	2,722222222
mensa	-0,05	2
mensch	1,6	2,722222222
menschheit	0,941176471	3,210526316
mentor	1	1,894736842
mephisto	-0,4	3,5
merkmal	0	2,5
messer	-0,6	3,476190476
metall	-0,05	2,65
meter	0,15	2,157894737
metzger	-0,5	3,333333333
meute	-1,25	3,444444444
meuterei	-1,6	3,647058824
meutern	-1,8	3,789473684
mickrig	-1,1	2,210526316
miene	0,55	2,904761905
mies	-2	3,555555556
miete	-1,35	2,473684211
mieten	-0,4	2,5
mieter	-0,3	2,368421053
mietzins	-1,2	2,833333333
mikado	0,82	2,59
mikrofon	0,59	2,82
milch	1,5	1,666666667
milchbar	1,1	1,833333333
mild	1,1	1,578947368
milieu	-0,8	2,526315789
militant	-2	3,611111111
miliz	-1,95	3,722222222
million	1,5	3,277777778
mimik	0,75	3,285714286
mimose	-1,5	2,526315789
minder	-0,9	1,947368421
mine	-0,7	3,142857143
minigolf	0,4	1,777777778
minimal	-0,3	2,388888889
minimum	-0,6	2,285714286
minirock	1,2	2,888888889
minister	-0,1	2,277777778
minus	-1	3,052631579
minute	0,029411765	2,277777778
mirakel	0,6	2,761904762
mischehe	-0,5	2,777777778
missetat	-2,2	3,222222222
mission	0,9	2,631578947
mist	-1,5	3,222222222
mitgeben	0,1	1,777777778
mitgift	0,6	2,863636364
mitglied	0	2,222222222
mitleid	0	3
mittag	1,2	1,75
mitte	0,75	2,105263158
mittel	0,088235294	2,555555556
mode	0,7	3,095238095
moder	-1,5	2,894736842
modern	0	2,789473684
mogeln	-1,1	3,052631579
mögen	1,764705882	3,157894737
mohn	0,3	2,055555556
mohr	0,4	2,333333333
möhre	0,91	1,73
mokka	1,1	2,4
molch	-0,2	2,3
moll	-0,2	2,277777778
mollig	-0,8	2,631578947
monarch	-0,4	2,611111111
monat	0,3	2,111111111
mond	1,3	1,833333333
mondlos	-0,6	1,421052632
monogam	0,2	2
monolog	-0,7	2,052631579
monopol	-1	2,904761905
monoton	-1,3	1,842105263
monstrum	-1,8	4,352941176
moor	0,3	2,777777778
moorbad	0,2	1,944444444
moos	0,7	1,904761905
moped	-0,2	2,631578947
moral	-0,1	2,555555556
moralist	-0,8	2,736842105
morast	-1,1	2,777777778
mord	-2,8	4,444444444
morden	-2,7	4,388888889
mordfall	-2,4	4,222222222
mordtat	-2,9	4,277777778
morphem	-1	2
morsch	-1	2,894736842
mörser	-0,45	2,32
moskito	-1,4	3,444444444
motiv	0,25	2,555555556
motor	0,45	2,8
motorrad	1,4	2,888888889
motte	-1,55	3,05
motto	0,6	2,19047619
möwe	-0,05	2,91
muffig	-1,4	1,736842105
mühe	-0,117647059	2,888888889
mumie	-0,6	2,842105263
mundraub	-1,2	3,388888889
munition	-1,8	3,588235294
munkeln	-1,1	2,578947368
munter	1,7	3,210526316
murmel	1,25	1,473684211
murren	-1	2,105263158
muschel	1,55	2,18
musical	1,1	2,555555556
musik	2,4	1,85
musikbox	1	2,777777778
musiker	1,3	2,222222222
muskel	1,05	2,86
müssen	-1,382352941	2,80952381
mustern	-0,6	2,857142857
mut	2,1	3,666666667
mutation	-1,4	3,5
mutig	2,2	3,315789474
mutlos	-1,4	2
mutter	2,05	2,666666667
mutti	1,8	1,75
mystik	0,6	3,19047619
mystisch	0,3	2,263157895
mythos	0,9	3
nabel	0,6	2,315789474
nachbar	-0,1	2,375
nachfolger	-0,176470588	2,428571429
nachmittag	1,235294118	2,210526316
nachrede	-1,6	3,176470588
nachricht	0,617647059	3,052631579
nachruf	-0,7	2,642857143
nacht	1	2,888888889
nachteil	-1,3	3,166666667
nachweisen	-0,294117647	2,666666667
nackt	0,8	3,842105263
nadel	-0,55	2,857142857
nagel	0,25	2,666666667
nah	0,8	2,526315789
nähe	2	2,277777778
nahrung	1,9	2,176470588
naiv	-0,8	2,315789474
name	0,588235294	2,210526316
namenlos	-1	1,789473684
namhaft	1,1	2,526315789
narbe	-1,15	3,421052632
narbig	-0,9	2,526315789
narkose	-1,2	3,555555556
narr	-0,7	2,736842105
naschen	1,2	2,684210526
nase	0,32	2,32
national	0,1	2,473684211
natter	-1,15	3,65
natur	2,35	1,888888889
nazi	-2,9	4,666666667
nazizeit	-2,6	4,375
nebel	-0,55	2,684210526
neblig	-0,7	2,526315789
necken	0,6	2,842105263
neffe	0,85	2,238095238
negation	-1,2	2,722222222
negativ	-2,4	3,555555556
neger	-0,6	3,523809524
negerin	-0,6	3,380952381
nehmen	0,088235294	2
neid	-1,9	3,555555556
neidisch	-1,5	3,833333333
neidlos	0,9	1,526315789
neige	-0,85	2,142857143
neigen	0,088235294	1,928571429
neigung	0,4	2,4375
nein	-1,6	3,333333333
nelke	1,15	1,842105263
nennen	0,294117647	2
nett	1,8	2,055555556
neubau	-0,2	2,25
neugier	0,3	3,555555556
neurose	-1,9	3,888888889
nichte	0,45	2
nicken	0,852941176	2
niederlage	-1,794117647	3,666666667
niedlich	1	1,789473684
niemand	-1,1	1,842105263
niere	-0,4	2,705882353
niete	-1,5	2,8125
nikotin	-0,7	3,238095238
niveau	1,352941176	2,111111111
nonne	-0,45	2,277777778
not	-2	3,944444444
notar	-0,2	2,333333333
note	-0,4	2,833333333
notfall	-1,7	4,529411765
notiz	0,65	2,052631579
notwehr	-1,1	3,777777778
november	-0,5	2,166666667
nuckel	0,86	2,09
nudel	1,55	1,578947368
nuklear	-2,1	4
nutzen	0,823529412	2,263157895
oase	2,2	1,722222222
obhut	0,65	2,105263158
objekt	0,35	2,263157895
obst	1,4	2,111111111
ochse	0,1	2,5
ofen	1	2,18
offizier	-1,352941176	2,944444444
öffnen	0,941176471	2,238095238
ohnmacht	-1,6	3,444444444
ohrfeige	-2	4,3125
omen	-0,2	3,333333333
onkel	0,95	2,368421053
oper	0,735294118	3,095238095
opfer	-2,1	3,904761905
opfern	-1,4	3,266666667
opium	-1,1	3
opposition	-0,176470588	3,380952381
optik	0,55	2,315789474
optimal	2,4	2,722222222
optimist	2,1	2,823529412
orakel	0,7	2,80952381
orchidee	1,68	2,09
orden	0,35	2,444444444
ordner	-0,23	2,05
ordnung	0,9	2,894736842
organ	0	2,736842105
orgel	0,95	2,476190476
orgie	0,3	4,222222222
orkan	-1	4,2
osten	0,5	2,428571429
osterei	1,6	2
ostern	1,05	2,111111111
ozean	1,9	2,722222222
paar	1,764705882	1,944444444
paddel	0,55	2,59
paket	1,05	2,722222222
pakt	-0,6	3,571428571
palast	1,7	2,611111111
palme	1,6	1,764705882
panda	1,45	2,64
panik	-1,8	4,578947368
panisch	-2,1	4,222222222
panne	-1,9	3,588235294
panorama	1,5	1,888888889
panther	1,4	3,222222222
panzer	-2,2	4,235294118
papa	1,9	2,5
papagei	1,55	3,18
pappe	-0,05	1,941176471
paprika	1	1,91
papst	0,2	2,789473684
paradies	2,8	2,294117647
paradox	-0,4	2,888888889
parasit	-1,8	3,764705882
parfum	0,9	3,047619048
parfüm	1,77	3
paris	1,65	2,555555556
park	1,941176471	1,833333333
parlament	-0,558823529	2,789473684
parole	-0,2	3,105263158
partei	-0,6	2,619047619
partisan	-0,8	2,736842105
partner	2,1	2,5
party	2,1	3,705882353
passion	0,9	3,105263158
passiv	-1,1	1,526315789
paste	-0,15	1,944444444
pastor	-0,65	2,19047619
pater	-0,1	2,166666667
patient	-1	2,842105263
pause	1,15	1,380952381
pech	-2	3,333333333
pedal	0,45	2,333333333
pedant	-1,05	3,444444444
pegel	-0,45	2,5
pein	-1,9	3,722222222
peiniger	-2,3	4,111111111
peinlich	-1,5	3,722222222
peitsche	-1	3,666666667
pelz	-0,3	2,611111111
pendel	0,3	1,894736842
pensum	-0,4	2,65
perfekt	2,4	3,166666667
perle	1,5	2,375
perser	0,2	2,7
person	0,5	2,055555556
pervers	-2,1	3,631578947
pest	-2,8	4
pfaffe	-1,6	2,333333333
pfanne	0,65	1,842105263
pfarrer	0,4	2,4375
pfau	1,09	2,55
pfeife	0,4	2,45
pfeil	-1,18	3,1
pferd	1,18	3,09
pfiffig	1,6	2,444444444
pflaster	-0,55	2,91
pflege	0,45	2
pflegen	0,941176471	2,666666667
pflicht	-0,3	2,833333333
pfote	0,85	2,714285714
phase	0	2,444444444
phonem	-0,9	2,052631579
photo	1,55	2,529411765
pilger	0,15	2,3
pille	-0,6	3,523809524
pilot	0,6	2,631578947
pilz	-0,5	2,73
pinsel	0,55	1,966666667
pinzette	-0,41	2,41
piranha	-1,3	4
pirat	-0,2	3,9
piste	0,85	2,571428571
pistole	-1,5	3,944444444
pizzeria	1,4	2,5
plage	-2	3,333333333
plagen	-1,8	3,3
plagiat	-0,8	2,473684211
plakat	0,7	2,476190476
plan	0,7	2,571428571
planet	1,2	2,368421053
planlos	-1,7	2,473684211
plantage	0,6	2,285714286
planvoll	1,2	2,157894737
plappern	-0,7	3,2
platin	1,3	2,5
platte	0,45	2,368421053
platz	0,382352941	2,117647059
platzen	-0,4	3,566666667
plaudern	0,5	2,178571429
pleite	-1,9	3,736842105
po	0,9	3,684210526
pochen	-0,7	2,578947368
poesie	1,2	2,277777778
pointe	1,5	3,210526316
pokal	1	2,722222222
poker	0,2	3,222222222
politik	-0,882352941	3
polizei	-0,2	3,166666667
polizist	-0,3	3,588235294
polygam	-0,5	2,210526316
pony	1,45	2,76
porree	-0,18	1,86
portal	0,9	2,105263158
porto	-0,65	1,789473684
portwein	1,1	2,166666667
positiv	2,4	2,611111111
potenz	1,15	3,631578947
pracht	2	3,157894737
prahlen	-1,3	3,315789474
praline	1,5	2,444444444
pranger	-2,1	3,888888889
pranke	-0,95	2,714285714
präsident	-0,882352941	2,952380952
präsidium	-0,941176471	2,157894737
prater	0,55	2,523809524
predigen	-0,4	2,5
preis	0,1	2,611111111
prellung	-1,5	3,277777778
premiere	0,9	3,19047619
presse	-0,4	3,176470588
prima	2,7	2,578947368
primitiv	-1,4	2,368421053
prinzessin	0,970588235	3,473684211
privileg	1,1	3
probe	0	2,388888889
problem	-1,7	3,222222222
produktion	0,264705882	2,368421053
professor	0,058823529	2,578947368
profi	1,4	2,95
profil	0,65	2,666666667
profit	0,5	3,052631579
prognose	0,3	2,882352941
programm	0,294117647	2,388888889
promille	-0,8	3,380952381
prosten	1,1	2,684210526
protest	0,088235294	3,666666667
protzen	-1,2	3,526315789
prozent	-0,088235294	2,277777778
prunk	0,6	2,052631579
psyche	0,5	3,259259259
psychose	-2,1	4,6875
pudel	0	1,777777778
puder	0,65	1,947368421
pullover	1,05	1,82
pulver	-0,15	2,842105263
pumpe	0,3	2,176470588
punkt	0,176470588	1,888888889
puppe	0,45	2
purpur	1,5	2,65
puste	-0,25	2,842105263
putzen	-1,4	2,210526316
putzig	0,9	2,210526316
quader	0,1	1,882352941
qual	-2,7	4,111111111
qualität	1,647058824	2,277777778
quelle	1,5	2,058823529
quote	-0,05	2,055555556
rabatt	1,35	2,210526316
rabe	-0,68	3,09
rache	-2,05	4,210526316
rachen	-0,9	2,210526316
radar	-1,05	2,888888889
radau	-1,25	3,611111111
radikale	-1,9	3,777777778
rahmen	0,176470588	1,842105263
rakete	-0,6	3,466666667
rampe	0,25	2,722222222
ramsch	-0,941176471	2,142857143
rasierer	0,23	2,27
rasse	-1,25	3,4
rast	0,9	1,904761905
rasthaus	0,8	2,238095238
rastlos	-1,5	3,166666667
ratlos	-1,2	2,947368421
ratte	-0,95	2,714285714
raub	-1,8	3,888888889
raubtier	-0,2	3,882352941
rauchen	-1,029411765	3,19047619
raucher	-0,9	2,894736842
raum	0,735294118	2,142857143
raupe	-0,15	2,157894737
rausch	0	3,473684211
razzia	-0,9	3,736842105
realität	0,323529412	2,833333333
rebell	0,15	4
rechen	-0,470588235	2,666666667
rechnen	-0,176470588	2,578947368
rechnung	-1,6	3,055555556
rede	0,235294118	2,625
redner	0,5	2,444444444
redselig	-0,1	2,5
referat	-0,6	3,285714286
reform	0,75	3,033333333
regal	0,55	2,047619048
regel	-0,4	2,5
regen	0,323529412	2,055555556
regent	0,1	2,9
regentag	-0,8	3,333333333
regieren	0,3	2,933333333
regierung	-0,852941176	2,842105263
regler	0,1	2,35
reglos	-1,2	2,157894737
regnen	-0,1	1,736842105
regung	0,75	2,952380952
reiberei	-1,4	3,5
reich	1,6	2,95
reichen	0,617647059	1,789473684
reichtum	1,5	3,352941176
