WORD_LOWER	EMO_MEAN	AROUSAL_MEAN	WORD_CLASS
blume	2,15	1,6875	N
bluse	0,68	2,41	N
blut	-0,882352941	3,666666667	N
blüte	2,32	1,91	N
blutig	-1,8	4,35	A
bluttat	-2,8	4,277777778	N
boden	0,05	1,555555556	N
bodenlos	-1,6	3,555555556	A
bogen	0,8	1,947368421	N
bohne	0,65	1,578947368	N
bohrer	-0,15	3,15	N
bombe	-2,5	4	N
bomber	-2,25	4,25	N
bonbon	1,7	2,125	N
boot	1,05	2,82	N
börse	-0,647058824	2,052631579	N
borste	-0,35	2,75	N
boshaft	-1,9	3,944444444	A
botschaft	0,735294118	3,285714286	N
brauchen	-0,235294118	2,789473684	V
brause	0,8	2,368421053	N
braut	1	2,833333333	N
brechen	-1,323529412	3,142857143	V
brennen	-1,529411765	3,464285714	V
brezel	1,64	2,23	N
brief	1,5	2,222222222	N
brigade	-1,264705882	2,666666667	N
brillant	2,2	3,166666667	A
brille	-0,65	2,210526316	N
britisch	0,6	2,052631579	A
bronze	0,7	2,666666667	N
brot	0,91	1,95	N
brücke	0,82	2,09	N
bruder	1,676470588	2,222222222	N
brunnen	0,55	1,86	N
brust	1,264705882	2,833333333	N
brutal	-2	4,526315789	A
buch	1,911764706	1,888888889	N
buche	1,15	1,368421053	N
buddha	0,82	2,27	N
bühne	1,441176471	2,833333333	N
bulle	-0,6	2,789473684	N
bullig	-0,9	3,789473684	A
bumerang	0,86	3,36	N
bündnis	0,294117647	2,444444444	N
bunker	-1,8	3,45	N
bunt	1,6	2,210526316	A
burg	1,23	3	N
büro	-0,617647059	2,178571429	N
bursche	-0,529411765	2,157894737	N
bürste	0,23	2,05	N
busen	1,85	3,25	N
butter	0,6	1,842105263	N
cello	0,95	2,09	N
chance	2,1	3,176470588	N
chaos	-0,05	4	N
charakter	1,264705882	3,421052632	N
charme	2,3	2,736842105	N
chef	0,2	3,055555556	N
christus	-0,117647059	2,611111111	N
dachs	0,45	2,5	N
dackel	0,27	2,77	N
dame	1	2,277777778	N
dampfer	0,64	2,55	N
dank	1,823529412	2,277777778	N
danken	1,911764706	1,842105263	V
darlehen	-0,7	2,80952381	N
darm	-1,14	2,91	N
darstellen	0,882352941	2,526315789	V
dasein	1,5	2,5	N
datum	0,3	2,1875	N
dauer	-0,85	2,619047619	N
dauern	-0,235294118	2,047619048	V
daumen	0,45	1,75	N
debatte	-0,911764706	3,142857143	N
decke	1,36	1,59	N
deckel	-0,09	1,86	N
defensiv	-0,6	2,473684211	A
defizit	-2	3,333333333	N
dekadent	-2	2,263157895	A
delikt	-1,6	3,411764706	N
delle	-0,9	2,333333333	N
demokrat	0,235294118	2,555555556	N
demokratie	0,617647059	3,263157895	N
demut	-0,9	3,047619048	N
denker	1,8	2,352941176	N
derb	-1,1	2,631578947	A
dessert	1,6	2,176470588	N
detail	0,2	2,3125	N
deutung	0,5	2,411764706	N
diagnose	-0,7	3,619047619	N
dialekt	0,4	2,6875	N
diamant	1,7	2,833333333	N
dichter	1,588235294	2,277777778	N
dieb	-1,8	3,5	N
diele	0,4	1,875	N
dienen	-1,088235294	2,476190476	V
diener	-0,5	2,277777778	N
dienst	-0,764705882	2,142857143	N
diffus	-1,2	2,473684211	A
diktatur	-2,5	4,294117647	N
dilemma	-1,8	3,705882353	N
ding	-0,029411765	1,555555556	N
diplom	1,8	3,470588235	N
diplomat	0,9	2,578947368	N
dirne	-1	2,523809524	N
diskussion	0,029411765	3,368421053	N
distel	-0,55	2,157894737	N
dogge	-0,95	2,571428571	N
doktor	0,8	3,428571429	N
dokument	0,6	2,1	N
dolch	-1,3	4,052631579	N
dominanz	-0,6	3,526315789	N
donner	-0,2	3,947368421	N
dose	-0,18	2	N
dosis	-0,7	3,238095238	N
dozent	0,1	2,578947368	N
drache	0,4	3,444444444	N
drama	0,1	3,888888889	N
drängen	-1,323529412	3,933333333	V
dreck	-1,5	3,526315789	N
drillen	-1,7	3,166666667	V
dringen	-0,823529412	2,789473684	V
droge	-1,25	3,947368421	N
drohen	-2,176470588	3,928571429	V
drohung	-2,1	4,176470588	N
druck	-1,588235294	3,611111111	N
drücken	-0,176470588	2,714285714	V
duell	-0,5	3,666666667	N
duft	1,7	2,388888889	N
duften	1,5	2,444444444	V
dummheit	-1,9	3	N
durst	-1,1	3,45	N
dusche	1,7	2,1875	N
echse	0,3	2,65	N
effekt	0,4	3,315789474	N
egoismus	-1,1	3,722222222	N
ehe	0,647058824	3,19047619	N
ehelos	-0,2	2,473684211	A
ehre	0,911764706	3,095238095	N
ehrgeiz	1,5	3,555555556	N
ehrlich	2,2	2,111111111	A
ehrung	1,15	2,9	N
eiche	1,45	1,722222222	N
eid	0,1	3,526315789	N
eidechse	0,32	2,82	N
eifel	0,6	2,380952381	N
eifer	0,8	3,052631579	N
eifrig	0,8	2,947368421	A
eigelb	0,8	2,333333333	N
eigenart	0,3	2,5	N
eigentum	1,2	2,444444444	N
eimer	0,1	1,647058824	N
eindruck	0,4	2,176470588	N
einengen	-2	3,5	V
einfall	1,5	3,058823529	N
einfalt	-1,2	2,555555556	N
eingehen	0,029411765	2,19047619	V
einheit	1,176470588	2,235294118	N
einigung	1,5	2	N
einklang	1,9	1,529411765	N
einladen	1,676470588	2,533333333	V
einladung	1,647058824	2,6	N
einnahme	0,4	2,444444444	N
einsam	-2,2	3,1	A
einsatz	1	2,764705882	N
einsetzen	0,411764706	2,736842105	V
einsicht	1,090909091	2,111111111	N
einstellen	0,352941176	2,238095238	V
einsturz	-1,7	4,058823529	N
eintracht	0,441176471	1,842105263	N
eintreten	0,147058824	2,142857143	V
eintritt	0,3	2,75	N
eis	1,8	2,789473684	N
eitel	-1,1	3,052631579	A
ekel	-2	4	N
ekstase	2	4,5	N
elch	1	2,91	N
elefant	1,32	2,95	N
elend	-2,1	4,1	A
embargo	-1,7	3,222222222	N
emotion	0,7	3,133333333	N
empfangen	1,147058824	2,761904762	V
empfehlen	1,088235294	2,285714286	V
empfinden	1,5	2,333333333	V
ende	-0,6	2,80952381	N
enden	-0,941176471	2,761904762	V
endziel	0,6	3,80952381	N
energie	2,1	3,470588235	N
engel	2,15	2,222222222	N
enkel	1,25	2,277777778	N
entdecken	1,735294118	3,2	V
ente	0,91	2,41	N
entfallen	-0,676470588	2,368421053	V
entfernen	-0,705882353	2,866666667	V
entfernung	-1,088235294	2,380952381	N
enthalten	-0,352941176	2,19047619	V
entlassen	-1,617647059	3,333333333	V
entsetzt	-1,8	3,555555556	A
entstehen	1,176470588	2,105263158	V
entwurf	0,6	2,052631579	N
entziehen	-1	1,947368421	V
entzug	-1,7	3,444444444	N
erbe	1,1	2,777777778	N
erbeten	0,058823529	2,157894737	V
erbin	0,8	3,285714286	N
erbitten	-0,2	2,722222222	V
erbse	0,6	1,619047619	N
erdbeben	-1,7	4,470588235	N
erdbeere	2,5	2,82	N
erde	1,9	2,444444444	N
erfahren	1,235294118	2,714285714	V
erfahrung	1,735294118	3,421052632	N
erfassen	0,411764706	2,380952381	V
erfinder	1,3	2,666666667	N
erfolg	2,1	3,315789474	N
erfolgen	0,235294118	2,523809524	V
erfordern	-0,970588235	2	V
erfüllen	1,411764706	2,947368421	V
erfüllung	2,058823529	2,285714286	N
ergänzen	0,764705882	2,2	V
ergeben	-0,529411765	2,45	V
ergebnis	0,735294118	2,789473684	N
ergreifen	0,147058824	2,428571429	V
erhalten	0,852941176	2,052631579	V
erheben	0,088235294	2,095238095	V
erholung	2,3	1,294117647	N
erinnern	1,352941176	3	V
erinnerung	1,411764706	2,947368421	N
erkennen	1,235294118	2,80952381	V
erkenntnis	1,764705882	3,428571429	N
erlauben	0,647058824	1,894736842	V
erleben	1,735294118	3,095238095	V
erlebnis	1,3	2,833333333	N
erledigen	0,088235294	3	V
erleiden	-1,941176471	3,733333333	V
ermitteln	-0,294117647	2,5	V
ernte	1,2	2	N
erotik	2,3	4,4375	N
erreger	-1,2	3,888888889	N
erreichen	1,558823529	2,523809524	V
errichten	0,676470588	2,157894737	V
errichtung	0,411764706	2	N
ersaufen	-2,4	3,421052632	V
ersetzen	-0,470588235	2,238095238	V
erteilen	-0,323529412	1,789473684	V
ertrag	1,5	2,315789474	N
erwarten	0,470588235	2,666666667	V
erwartung	0,705882353	3,428571429	N
erweitern	1,176470588	1,947368421	V
erwerb	1,05	2,684210526	N
erwerben	0,852941176	2,263157895	V
erzählen	1,352941176	2,842105263	V
erzeugen	0,941176471	2,571428571	V
erzeuger	0,8	3,052631579	N
erzeugnis	0,470588235	2,380952381	N
erzfeind	-2,5	3,666666667	N
erzielen	0,588235294	2,476190476	V
esel	1,05	2,73	N
essen	1,558823529	3,526315789	V
essig	-0,25	2,611111111	N
ethik	0,9	3,238095238	N
eule	0,64	2,09	N
euphorie	1,4	3,777777778	N
euter	-0,25	2,368421053	N
ewigkeit	1,5	2,222222222	N
existenz	1,6	3,222222222	N
fabel	1,45	2,052631579	N
fabrik	-0,7	2,285714286	N
fächer	0,68	2,14	N
faden	0,2	1,8	N
fähigkeit	1,617647059	3	N
fahndung	-1,1	3,333333333	N
fahne	-0,2	2	N
fahren	0,970588235	2,619047619	V
fahrer	0,55	2,473684211	N
fahrrad	1,55	3	N
fahrt	0,941176471	2,368421053	N
fall	-1,090909091	2,833333333	N
falle	-1,7	4	N
fallen	-1,058823529	2,578947368	V
fällen	-0,705882353	2,095238095	V
falte	-0,45	2	N
familie	1,8	2,277777778	N
fangen	-0,529411765	2,964285714	V
fantasie	2,4	2,888888889	N
farbe	1,6	2,210526316	N
fasan	1	2,05	N
fasching	0	2,777777778	N
faschismus	-2,735294118	4	N
fassade	-0,2	2,222222222	N
fassen	0,058823529	2,052631579	V
faust	-0,823529412	3,210526316	N
feder	1,3	1,666666667	N
fee	2,3	2,444444444	N
fehde	-1,45	3,222222222	N
fehlen	-1,529411765	2,866666667	V
fehler	-1,6	3,19047619	N
feier	2,1	3,4375	N
feiern	2,088235294	3,277777778	V
feiertag	1,9	1,941176471	N
feigling	-1,8	3,352941176	N
feile	0,2	2,421052632	N
feind	-2,147058824	4,15	N
fenster	1,14	1,91	N
ferien	2,6	2,294117647	N
fernrohr	0,77	2,41	N
fernsehen	0,205882353	2,3	N
ferse	0,2	2,125	N
fessel	-1,3	4,05	N
fest	1,852941176	2,888888889	N
festlegen	-0,441176471	2,368421053	V
festtag	2	2,75	N
festung	0,1	3,411764706	N
fett	-1,5	3,5	N
feucht	-0,4	3,45	A
feuer	0,05	3,722222222	N
feurig	0,9	4,157894737	A
fibel	0,4	1,947368421	N
fichte	0,85	1,761904762	N
fieber	-1,8	3,7	N
figur	0,35	2,526315789	N
film	1,5	2,611111111	N
filmstar	1	3,111111111	N
filter	0,1	2,176470588	N
finale	0,9	3,523809524	N
finden	1,352941176	2,526315789	V
finder	0,75	1,894736842	N
finger	0,7	2,105263158	N
firma	0,25	2,444444444	N
fisch	0,36	2,36	N
flagge	0,59	2,5	N
flamingo	1	2,68	N
flamme	0,6	3,315789474	N
flasche	0,45	1,95	N
flaute	-1,05	2,111111111	N
flegel	-0,9	2,368421053	N
fleisch	-0,441176471	3,055555556	N
flexibel	1,7	2,444444444	A
fliege	-0,95	2,157894737	N
fliegen	1,676470588	3,523809524	V
fließen	0,911764706	2,047619048	V
flirt	1,7	4,368421053	N
floß	0,68	3	N
flöte	0,5	2,27	N
fluch	-2,1	3,65	N
flucht	-1,529411765	3,888888889	N
flüchtling	-1,205882353	3,210526316	N
flughafen	0,848484848	3,476190476	N
flugzeug	0,5	3,333333333	N
flut	-0,8	3,619047619	N
fohlen	1,4	2,368421053	N
föhn	0,41	2,27	N
folge	-0,15	2,6	N
folter	-2,8	4,684210526	N
foltern	-2,8	4,444444444	V
fordern	-0,882352941	2,736842105	V
fördern	1,441176471	2,142857143	V
forderung	-0,852941176	2,952380952	N
förderung	1,147058824	2,523809524	N
form	0,352941176	2,222222222	N
forsch	-0,2	3,25	A
forscher	1,088235294	2,666666667	N
forschung	1,058823529	2,80952381	N
fortsetzen	0,852941176	2,333333333	V
fortuna	2,2	2,666666667	N
foto	0,9	3,263157895	N
fracht	0,3	2,6	N
frage	0,15	2,333333333	N
fragen	0,676470588	2,380952381	V
fraktion	-0,764705882	2,263157895	N
frau	1,4	2,5	N
fräulein	-0,352941176	3	N
fraulich	1,5	2,5	A
freier	-1,1	3,444444444	N
freiheit	2,8	4	N
freitod	-2	3,777777778	N
freizeit	2,4	2,882352941	N
freude	2,7	3,411764706	N
freudig	1,9	2,944444444	A
freudlos	-2,2	2,368421053	A
