WORD_LOWER	EMO_MEAN	AROUSAL_MEAN	WORD_CLASS
gefallen	1,529411765	2,392857143	V
gefängnis	-2,264705882	3,052631579	N
gefühl	2,205882353	3,111111111	N
gegend	0,3	1,944444444	N
gegensatz	0,029411765	3,066666667	N
gegenteil	-0,029411765	2,761904762	N
gegner	-1,4	3,619047619	N
gehalt	1,1	2,777777778	N
geheim	-0,6	3,157894737	A
geheimnis	1,117647059	3,80952381	N
gehen	0,411764706	2,315789474	V
geheul	-1,6	3,7	N
gehirn	1,5	3,277777778	N
gehören	0,058823529	2,210526316	V
geier	-0,5	3,176470588	N
geige	1,5	2,59	N
geisel	-2,2	4,35	N
geist	1,1	2,833333333	N
geiz	-1,6	3,611111111	N
gejammer	-1,7	3,222222222	N
gekicher	0	3,111111111	N
gelaunt	0,1	2,555555556	A
geld	1,6	2,944444444	N
geldgier	-1,2	3,833333333	N
gelenk	0,05	2,315789474	N
geliebte	1,5	3,777777778	N
gelingen	1,676470588	2,578947368	V
gelten	0,294117647	2,052631579	V
gemein	-1,9	3,9	A
gemeinde	0,441176471	2,055555556	N
gemetzel	-2,3	4,333333333	N
gemse	0,7	1,857142857	N
gemüse	1,32	1,82	N
general	-1,352941176	2,833333333	N
genial	2,4	3,5	A
genie	1,9	3,705882353	N
genießen	2,323529412	2,133333333	V
genosse	-0,794117647	2,761904762	N
gerede	-1,1	3,05	N
gericht	-0,939393939	3,428571429	N
geruch	0	2,684210526	N
gesang	1,85	2,05	N
geschehen	0,264705882	2,523809524	N
geschenk	2,3	3,470588235	N
geschichte	0,764705882	2,714285714	N
geschrei	-1,5	3,941176471	N
gesetz	-0,9	2,684210526	N
gesicht	1	2,666666667	N
gesindel	-1,4	3,111111111	N
gespräch	1,441176471	2,666666667	N
gestalten	1,411764706	2,133333333	V
gestaltung	1,147058824	2,476190476	N
gestank	-2,1	3,588235294	N
geste	1,05	2,111111111	N
gestehen	-0,058823529	3,142857143	V
gesund	2,7	1,631578947	A
gesundheit	1,970588235	2,233333333	N
gewalt	-2,7	4,380952381	N
geweih	0,09	2,62	N
gewicht	-0,970588235	3,333333333	N
gewinn	2,1	3,882352941	N
gewinnen	1,676470588	3,210526316	V
gewissen	0,7	3,315789474	N
gewitter	0,6	3,631578947	N
ghetto	-1,7	4,05	N
giebel	0,2	2,157894737	N
gierig	-1,5	3,947368421	A
gift	-2,5	4	N
giftgas	-3	4,222222222	N
gigant	0,35	3,789473684	N
giraffe	1,36	2,82	N
girlande	1,36	2,91	N
gitarre	1,91	3	N
gitter	-0,7	2,619047619	N
glanz	1,8	2,611111111	N
glas	0,64	1,77	N
glaube	0,8	3,105263158	N
glauben	1,088235294	2,631578947	V
globus	0,86	2,32	N
glocke	0,64	2,41	N
glück	2,617647059	2,933333333	N
glut	0,5	3,052631579	N
gnade	1	2,25	N
gold	1,4	2,5	N
gott	1,5	2,5	N
grab	-2,3	3,777777778	N
granate	-2,5	4,0625	N
grandios	2,2	3,444444444	A
gras	0,77	1,59	N
gratis	1,5	2,611111111	A
grausam	-2,2	3,888888889	A
greifen	0,088235294	2,133333333	V
grenze	-0,2	3	N
greuel	-2,15	3,875	N
grinsen	0,9	3,210526316	V
großmacht	-1,852941176	3,714285714	N
grube	-0,95	2,523809524	N
grund	0,5	2,315789474	N
gründen	0,970588235	2,315789474	V
grundlage	0,558823529	2,238095238	N
grundstück	0,764705882	2,033333333	N
gründung	0,705882353	2,473684211	N
gruppe	0,5	2,388888889	N
gruselig	-1,5	3,736842105	A
gruß	1,441176471	1,684210526	N
gummi	0,45	2,333333333	N
gurgel	-1,45	2,722222222	N
gurke	0,8	1,619047619	N
gurt	0,5	1,95	N
gürtel	-0,05	2,23	N
gutartig	2	1,944444444	A
guttun	2	1,578947368	V
habgier	-1,7	3,722222222	N
hafen	1,15	2	N
hafer	0,75	1,473684211	N
haftung	-0,9	2,842105263	N
hagel	-1,1	3	N
hahn	0,41	2,23	N
hai	-0,5	3,333333333	N
halbtot	-2	2,789473684	A
halle	0,2	2,055555556	N
halunke	-1,4	3,5	N
hammer	-0,32	3	N
hamster	0,86	2,41	N
hand	1,205882353	1,777777778	N
handikap	-1,3	3,111111111	N
hanf	-0,3	2,333333333	N
hängen	-0,823529412	2,526315789	V
hantel	-0,27	2,5	N
harfe	1,45	1,5	N
harmonie	2,5	1,764705882	N
hase	1,64	2,82	N
hassen	-2,5	4,444444444	V
haube	-0,1	2,157894737	N
haus	1,264705882	1,833333333	N
hausfrau	0	2,277777778	N
haushalt	-0,1	2,0625	N
haustier	1,2	2,222222222	N
hebel	0,35	2,25	N
heben	0	2,142857143	V
hefe	0,32	1,82	N
hehlerei	-1,4	3,444444444	N
heide	1	1,611111111	N
heilfroh	2,2	2,277777778	A
heilung	2,6	2,352941176	N
heimat	1,7	1,8125	N
heimkehr	1,2	2,722222222	N
heirat	1,05	3,277777778	N
heiraten	1,382352941	3,789473684	V
heißen	0,617647059	2,142857143	V
heiter	1,8	2,65	A
heizung	1,14	1,82	N
held	2,1	3,5	N
helfen	2	3,095238095	V
helfer	1,9	2,421052632	N
hemd	0,68	1,95	N
hemmnis	-1,7	3	N
henker	-2,35	4,235294118	N
henne	0,25	2,058823529	N
herbst	1,1	1,65	N
herd	0,91	2,64	N
herde	0,35	2,388888889	N
hering	-0,05	2,157894737	N
heroisch	0,7	2,894736842	A
herr	-0,294117647	2,555555556	N
herrschaft	-1,941176471	3,157894737	N
herrschen	-1,911764706	3,285714286	V
herstellen	0,676470588	2,052631579	V
herz	2,3	3,277777778	N
herzlos	-2,5	2,263157895	A
hetzen	-1,4	3,947368421	V
hetzer	-1,95	3,833333333	N
heucheln	-1,9	3,888888889	V
heulen	-1,7	3,85	V
hexe	-0,7	3,142857143	N
hilfe	1,3	3	N
hilflos	-1,8	4	A
himbeere	1,95	2,5	N
himmel	2,25	1,65	N
hinweis	0,5	2,470588235	N
hirsch	0,68	2,86	N
hirse	0,4	1,611111111	N
hirte	0,85	2,210526316	N
hitze	-0,75	3,789473684	N
hobby	2,2	2,875	N
hobel	0,3	2,117647059	N
hochmut	-1,4	3,277777778	N
hochschule	0,794117647	3,380952381	N
hochzeit	1	3,5	N
hocker	0,14	1,95	N
hoffen	1,647058824	2,392857143	V
hoffnung	2,2	2,611111111	N
höhe	0,5	3,263157895	N
höhepunkt	1,735294118	4,095238095	N
holen	0,176470588	2	V
honig	1,8	1,5625	N
horde	-1,2	3,2	N
hormon	0,15	3,25	N
hornisse	-1,86	3,73	N
horoskop	-0,1	2,888888889	N
horror	-2,15	4,388888889	N
hose	0,77	2	N
hotel	1,15	2,5	N
huhn	-0,09	2,43	N
human	1,9	2,05	A
hummer	-0,09	2,55	N
humor	2,15	3,8125	N
humorlos	-2,1	2,263157895	A
hunger	-0,6	3,631578947	N
hupe	-0,82	3,45	N
hure	-1,3	3,777777778	N
hypnose	0	3,166666667	N
hypothek	-1,6	3,055555556	N
ideell	1,2	2,473684211	A
idiot	-2	3,176470588	N
idylle	2,5	1,823529412	N
igel	0,73	2,55	N
iglu	0,64	2,68	N
illegal	-2	3,526315789	A
imker	1	2,166666667	N
impfung	-0,1	2,833333333	N
import	0,55	1,842105263	N
impuls	1	3,631578947	N
industrie	-0,647058824	2,523809524	N
inferno	-1,8	4,277777778	N
inhalt	0	2,25	N
initiative	1,411764706	3,315789474	N
insekt	-0,45	3	N
insel	2,05	2,166666667	N
instinkt	0,7	3,526315789	N
instrument	1,176470588	3,315789474	N
intensiv	1	3,894736842	A
interesse	1,617647059	3,19047619	N
intim	1,3	3,789473684	A
intrige	-2,2	3,875	N
irre	-1,5	3,777777778	A
irrlehre	-1,6	3,333333333	N
irrsinn	-2,1	4,125	N
irrtum	-1,058823529	3,222222222	N
islam	-0,05	3,055555556	N
jacke	0,68	2,18	N
japan	0,25	2,111111111	N
jauche	-1,9	3,157894737	N
jawort	1	2,842105263	N
jazz	0,8	3,578947368	N
job	1,1	3,476190476	N
jubel	2	3,647058824	N
jugend	1,55	3,294117647	N
junge	0,8	2,80952381	N
jungfrau	0,3	2,294117647	N
justiz	0,1	3,333333333	N
juwel	1,5	2,842105263	N
kabel	-0,3	2,25	N
käfer	-0,68	2,91	N
kaffee	1,4	2,277777778	N
käfig	-1,86	3,27	N
kakao	1,65	1,529411765	N
kaktee	0,27	2,36	N
kaktus	0,5	2,428571429	N
kalorie	-0,8	2,842105263	N
kamel	1,1	2,277777778	N
kamera	1,5	3	N
kamerad	1,5	2,4375	N
kamin	1,65	1,5	N
kamm	0,23	1,91	N
kammer	-0,823529412	2,052631579	N
kampf	-1,6	4,047619048	N
kämpfen	-0,647058824	3,761904762	V
kampflos	-0,6	2,315789474	A
kanal	-0,6	2,19047619	N
kandidatur	-0,352941176	2,8	N
känguruh	1,18	2,95	N
kanne	0,6	1,684210526	N
kanon	0,7	2	N
kanone	-1,77	3,91	N
kante	-0,5	2,611111111	N
kanzel	-0,85	1,947368421	N
kanzler	-1,029411765	2,444444444	N
kappe	-0,1	2,055555556	N
karaffe	0,41	1,95	N
kargheit	-1,4	2,588235294	N
karriere	1,9	3,176470588	N
karte	0,8	2,368421053	N
kartei	-0,5	2	N
karton	0	1,842105263	N
käse	0,95	2,32	N
kasino	0,5	2,473684211	N
kasperl	1,23	2,82	N
kasse	-0,15	2,333333333	N
kassette	0,41	2,09	N
kastanie	0,91	2,14	N
kater	1	2,611111111	N
katze	1,45	2,111111111	N
kauf	0,558823529	3	N
kaufen	0,823529412	3,157894737	V
kegel	0,35	2	N
kehle	-0,15	3,210526316	N
kehren	-0,558823529	2,2	V
keks	1,91	2,36	N
keller	0	2,722222222	N
kennen	1,117647059	2,368421053	V
kenntnis	1,147058824	2,222222222	N
kerbe	-0,2	2,55	N
kerker	-1,9	4,058823529	N
kerze	1,5	1,647058824	N
kette	0,45	2,833333333	N
ketzer	-1,45	3,777777778	N
keule	-1,3	2,944444444	N
kichern	0,7	2,962962963	V
kiefer	0,6	1,842105263	N
kiesel	0,5	1,611111111	N
killer	-2,4	4,294117647	N
kind	1,8	2,444444444	N
kiosk	0,8	2,047619048	N
kirche	0,05	2,333333333	N
kirsche	2,18	2,73	N
kissen	1,65	1,647058824	N
kiste	0,45	1,888888889	N
kitsch	-1,2	2,5	N
klage	-1,55	3,470588235	N
klang	1,3	1,578947368	N
klären	1,058823529	2,761904762	V
klarheit	2,2	2,235294118	N
klasse	0,470588235	2,722222222	N
klassik	0,7	3,052631579	N
klaue	-1,2	3,45	N
klauen	-2	3,631578947	V
klavier	1,91	2,36	N
klee	1,8	1,388888889	N
klette	-0,9	2,263157895	N
klient	-0,2	2,789473684	N
klima	0,25	2,210526316	N
klinge	-1,3	3,684210526	N
klingel	0,14	2,73	N
klinik	-1	3,3	N
klinke	0,23	1,91	N
klippe	0,1	3,388888889	N
klischee	-1	3,380952381	N
kloster	0,058823529	1,833333333	N
klugheit	2,3	2,8125	N
knabe	0,55	2,157894737	N
knausern	-1,2	2,105263158	V
knebel	-1,55	3,95	N
knebeln	-1,5	3,722222222	V
kneipe	1,3	2,444444444	N
knochen	-0,86	2,95	N
knospe	1,65	2,176470588	N
koalition	-0,617647059	2,285714286	N
kobold	0,6	2,473684211	N
kobra	-0,8	3,631578947	N
koffer	0,7	2,315789474	N
kohle	0,15	2,555555556	N
kohlrabi	0,09	2,09	N
kollaps	-1,9	4,222222222	N
kollege	0,705882353	2,619047619	N
kollektiv	0	2,894736842	N
komet	1,1	3,4	N
komfort	2	1,823529412	N
komik	1,45	3,055555556	N
komisch	0,7	2,578947368	A
komitee	-0,823529412	2,666666667	N
komma	-0,35	1,941176471	N
kommen	1,117647059	2,631578947	V
kommission	-1	2,052631579	N
kommode	0,64	1,82	N
kommunist	-0,617647059	2,894736842	N
kompass	0,68	2,55	N
komplize	-1,1	3,444444444	N
komplott	-1,9	3,705882353	N
kondom	0,91	3,45	N
konflikt	-1,6	3,666666667	N
konkurrenz	-1,058823529	3,263157895	N
konkurs	-1,8	3,294117647	N
können	1,676470588	2,736842105	V
konsequenz	-0,558823529	3,476190476	N
kontakt	1,4	2,777777778	N
konto	0,5	3,333333333	N
kontrolle	-1,029411765	2,684210526	N
konzert	1,794117647	2,5	N
kopflos	-1,3	3,105263158	A
kopie	0,05	1,944444444	N
koran	-0,25	3	N
korb	0,41	1,86	N
korrupt	-1,9	3,421052632	A
kosmetik	0,3	2,176470588	N
kosten	-1,529411765	2,952380952	V
kraft	1,382352941	3	N
kraftlos	-1,6	2,722222222	A
kralle	-1	2,684210526	N
krank	-2	3,368421053	A
krankheit	-1,735294118	3,766666667	N
kranz	0,86	2,23	N
krawatte	0,14	2,27	N
kreativ	2,6	2,944444444	A
kredit	-1,235294118	3,277777778	N
kreide	-0,32	2,09	N
kreis	0,382352941	1,888888889	N
kreisel	0,68	2,86	N
kreuz	0,5	2,421052632	N
krieg	-2,9	4,571428571	N
kriegen	-0,5	3,19047619	V
krimi	0,6	3,263157895	N
krise	-1,9	3,619047619	N
kritik	-0,8	3,428571429	N
krokodil	-0,95	4	N
krokus	1,4	1,9	N
krone	1,15	2,555555556	N
krücke	-1,95	3,45	N
kruzifix	0,6	2,80952381	N
kuchen	1,6	2	N
kugel	0,45	2	N
kuhle	-0,05	1,8	N
küken	1,77	3,05	N
kult	-0,1	2,833333333	N
kultur	1,5	2,421052632	N
kummer	-1,9	3,6875	N
kümmern	1,323529412	1,857142857	V
kumpan	1,15	2,1	N
kunde	0,35	2,3	N
kündigen	-1,088235294	2,894736842	V
kunst	1,823529412	2,444444444	N
künstler	1,794117647	2,888888889	N
kupfer	0,5	1,944444444	N
kuppe	0,05	2,222222222	N
kürbis	0,5	2,36	N
kurort	0,75	2,19047619	N
kurve	0,05	2,823529412	N
küssen	2,617647059	3,178571429	V
küste	2	1,833333333	N
kutsche	1,27	2,45	N
labil	-1,5	3,05	A
labor	-0,15	2,578947368	N
lächeln	2,294117647	2,357142857	V
lachen	2,647058824	2,833333333	V
ladung	0,15	2,764705882	N
lage	-0,058823529	1,833333333	N
lager	0,1	2,111111111	N
laken	0,45	1,894736842	N
lampe	0,85	2,142857143	N
landschaft	2	2,842105263	N
lanze	-0,55	2,619047619	N
larve	-0,4	2,736842105	N
last	-1,676470588	3,388888889	N
laster	-1,05	3,222222222	N
latein	-0,15	2,263157895	N
laterne	1,24	2,19	N
laube	1,3	1,75	N
lauer	-0,6	2,476190476	N
laufbahn	1	2,277777778	N
laufen	0,764705882	2,047619048	V
lauge	-0,4	2,35	N
laune	0,6	3,157894737	N
launisch	-1,9	3,222222222	A
laut	-0,8	3,473684211	A
lawine	-1	4,1	N
leben	2,382352941	2,666666667	N
lebendig	2,5	3,055555556	A
leblos	-2,3	3,5	A
leder	0,5	2,238095238	N
leere	-1,05	2,421052632	N
legen	0,205882353	1,842105263	V
lehre	0,65	2,80952381	N
lehrer	0,05	2,444444444	N
lehrerin	-0,2	2,666666667	N
lehrhaft	0,5	2,444444444	A
lehrjahr	-0,5	2,277777778	N
lehrling	-0,1	2,8125	N
lehrzeit	-0,4	2,388888889	N
leib	0,8	2,80952381	N
leiche	-2,45	4,142857143	N
leichnam	-2,4	3,941176471	N
leichte	0,8	2,095238095	N
leid	-2	4,166666667	N
leiden	-1,941176471	3,833333333	V
leiern	-1,2	1,894736842	V
leim	0	2,111111111	N
leine	0	2,5	N
leinwand	0,4	1,941176471	N
leisten	0,617647059	2,428571429	V
leistung	1,8	3,111111111	N
leitbild	0,3	2,352941176	N
leiter	0,25	2,25	N
leittier	-0,1	2,352941176	N
lektion	-0,4	2,941176471	N
lende	0,7	2,523809524	N
lenkbar	0	2,611111111	A
lenken	-0,029411765	2,333333333	V
lenker	0,32	2	N
lenkrad	0,4	2,0625	N
lenkung	0,5	2,352941176	N
lenz	1,3	1,944444444	N
leopard	1,3	3,333333333	N
lepra	-2,4	4	N
lerche	1,2	1,65	N
lernbar	1,3	2	A
lernen	0,8	2,526315789	V
lesebuch	0,6	2,736842105	N
leser	1,3	2,111111111	N
lesesaal	0	1,333333333	N
lesung	0,4	2	N
letzte	-1,2	3,157894737	A
leuchte	1,3	2,388888889	N
leuchten	1,8	2,5	V
leugnen	-1,7	3,5	V
leugnung	-1,7	3,333333333	N
leumund	-0,6	1,684210526	N
leute	0,75	2,894736842	N
lexikon	0,3	2,5625	N
liaison	1	3,166666667	N
libelle	1,1	1,888888889	N
liberal	1,3	2,157894737	A
licht	2	2,611111111	N
lichtung	1,3	2,111111111	N
lid	0,2	1,842105263	N
lieb	2,2	2,166666667	A
liebe	2,9	3,631578947	N
liebelei	0,9	3,904761905	N
lieben	2,705882353	3,666666667	V
lieblos	-2,3	3,277777778	A
liebreiz	1,7	3,058823529	N
lied	1,6	1,944444444	N
liefern	0,6	2,107142857	V
liege	1,3	1,526315789	N
liegen	0,823529412	2,238095238	V
lift	0,4	2,555555556	N
lilie	1	1,611111111	N
limit	-0,7	3,142857143	N
limonade	1,4	1,666666667	N
linde	1,35	1,444444444	N
lindern	1,3	1,714285714	V
lineal	0,3	2,052631579	N
linie	0,1	1,842105263	N
linse	0,5	1,944444444	N
lippe	1,55	2,333333333	N
liquide	1	1,894736842	A
list	-0,5	3,277777778	N
liste	-0,35	2,4	N
listig	-0,4	3,210526316	A
litanei	-0,5	2,5	N
liter	0,5	1,888888889	N
literatur	1,852941176	3,047619048	N
lizenz	0,2	2,842105263	N
lob	2	2,666666667	N
lobby	0,2	2,526315789	N
loben	1,8	2,25	V
loblied	2	2,235294118	N
loch	-0,9	2,428571429	N
locher	-0,14	1,82	N
locken	0	2,888888889	V
lodern	-0,3	3,111111111	V
löffel	0,59	2,14	N
logik	1,15	2,35	N
logisch	1,2	1,789473684	A
lohn	1,5	2,722222222	N
lorbeer	1,4	2,111111111	N
lösen	1,058823529	2,631578947	V
lossagen	-0,3	2,157894737	V
losung	0	2,764705882	N
lösung	1,529411765	2,388888889	N
lotse	0,65	2,238095238	N
lotterie	0,4	3,222222222	N
lotto	0,25	2,473684211	N
lotus	1,45	1,888888889	N
löwe	0,36	4,05	N
loyal	2,1	2,105263158	A
luder	-1,1	3,75	N
luft	2,2	2,222222222	N
luftloch	-0,6	3,047619048	N
luftraum	0,6	2,105263158	N
lug	-2	2,421052632	N
lüge	-2,117647059	4,055555556	N
lukrativ	1,7	2,5	A
lump	-1,4	2,888888889	N
lunge	0,3	2,777777778	N
lupe	0	2,294117647	N
lust	2,1	3,666666667	N
lustlos	-1,5	2,277777778	A
lutschen	0,6	2,392857143	V
lutscher	1,14	2,59	N
luxus	1,7	2,941176471	N
lynchen	-2,6	4,210526316	V
lyrik	0,7	3,157894737	N
machen	0,735294118	2,526315789	V
macher	1,1	2,95	N
macht	0,1	4,15	N
machtlos	-2	3	A
mädchen	1,323529412	2,666666667	N
madeira	1,4	2,611111111	N
madonna	1	2,555555556	N
mafia	-1,8	4,157894737	N
magazin	0,5	2,352941176	N
magd	-0,3	2,777777778	N
magen	0,5	2,428571429	N
mager	-1,2	3,25	A
magie	0,75	3,210526316	N
magier	1	3,421052632	N
magisch	1,2	2,789473684	A
magma	0	3,052631579	N
magnet	0,6	2,210526316	N
mahl	1,1	2,055555556	N
mahlzeit	1,4	2,111111111	N
mahnen	-1,3	3,055555556	V
mahnmal	-1	3,523809524	N
mahnung	-1,4	3,944444444	N
mai	1,7	2,368421053	N
maibaum	0,8	2,142857143	N
mais	0,9	2,210526316	N
makaber	-1,1	2,947368421	A
makel	-1,5	2,75	N
makellos	1,5	2,833333333	A
makler	-0,4	2,176470588	N
malaria	-2,1	4	N
maler	1,4	2,111111111	N
malerei	1	2,055555556	N
mama	2,3	2,388888889	N
manager	0,7	2,842105263	N
manege	0,6	2,428571429	N
mangel	-1,9	3,0625	N
mango	1,71	2,43	N
manie	-1,25	3,777777778	N
manko	-1,05	2,777777778	N
mann	1,2	2,388888889	N
mannschaft	0,382352941	2,523809524	N
mantel	1,05	1,91	N
manuell	0	2,111111111	A
mappe	0,3	2,111111111	N
markant	0,8	3,105263158	A
marke	0,05	2,222222222	N
markt	0,8	2,380952381	N
marotte	-0,7	2,571428571	N
marter	-2,1	3,444444444	N
martern	-2,2	3,785714286	V
marxist	-0,9	2,473684211	N
masche	-0,85	2,095238095	N
maske	-0,1	3,444444444	N
massage	2,2	1,5625	N
massaker	-2,8	4,611111111	N
masse	-0,8	2,210526316	N
massiv	-0,1	3,15	A
maßnahme	-0,529411765	2,421052632	N
matratze	1,2	2,388888889	N
matt	-1,1	1,578947368	A
matte	0,15	1,722222222	N
mauer	-0,5	2,777777778	N
maul	-1,1	2,944444444	N
maulen	-1,4	3,157894737	V
maulkorb	-1,5	3,5	N
maus	0	3,27	N
mausgrau	-1,4	1,736842105	A
maximal	1,2	2,578947368	A
maximum	1	3,166666667	N
mechanik	0,3	2,294117647	N
medaille	1,6	2,888888889	N
medizin	1,4	2,833333333	N
meer	1,8	2,666666667	N
mehrheit	0,5	2,470588235	N
meiden	-1,1	3	V
meineid	-1,8	3,375	N
meinen	0,558823529	2,315789474	V
meinung	1,5	2,666666667	N
meise	0,6	1,857142857	N
meister	1,1	2,777777778	N
meistern	1,5	2,944444444	V
melden	0,088235294	2,285714286	V
melodie	1,7	2,235294118	N
melodram	-0,9	3,619047619	N
melone	1,82	2,27	N
menge	-0,2	2,722222222	N
mensa	-0,05	2	N
mensch	1,6	2,722222222	N
menschheit	0,941176471	3,210526316	N
mentor	1	1,894736842	N
mephisto	-0,4	3,5	N
merkmal	0	2,5	N
messer	-0,6	3,476190476	N
metall	-0,05	2,65	N
meter	0,15	2,157894737	N
metzger	-0,5	3,333333333	N
meute	-1,25	3,444444444	N
meuterei	-1,6	3,647058824	N
meutern	-1,8	3,789473684	V
mickrig	-1,1	2,210526316	A
miene	0,55	2,904761905	N
mies	-2	3,555555556	A
miete	-1,35	2,473684211	N
mieten	-0,4	2,5	V
mieter	-0,3	2,368421053	N
mietzins	-1,2	2,833333333	N
mikado	0,82	2,59	N
mikrofon	0,59	2,82	N
milch	1,5	1,666666667	N
milchbar	1,1	1,833333333	N
mild	1,1	1,578947368	A
milieu	-0,8	2,526315789	N
militant	-2	3,611111111	A
miliz	-1,95	3,722222222	N
million	1,5	3,277777778	N
mimik	0,75	3,285714286	N
mimose	-1,5	2,526315789	N
minder	-0,9	1,947368421	V
mine	-0,7	3,142857143	N
minigolf	0,4	1,777777778	N
minimal	-0,3	2,388888889	A
minimum	-0,6	2,285714286	N
minirock	1,2	2,888888889	N
minister	-0,1	2,277777778	N
minus	-1	3,052631579	N
minute	0,029411765	2,277777778	N
mirakel	0,6	2,761904762	N
mischehe	-0,5	2,777777778	N
missetat	-2,2	3,222222222	N
mission	0,9	2,631578947	N
mist	-1,5	3,222222222	N
mitgeben	0,1	1,777777778	V
mitgift	0,6	2,863636364	N
mitglied	0	2,222222222	N
mitleid	0	3	N
mittag	1,2	1,75	N
mitte	0,75	2,105263158	N
mittel	0,088235294	2,555555556	N
mode	0,7	3,095238095	N
moder	-1,5	2,894736842	N
modern	0	2,789473684	V
mogeln	-1,1	3,052631579	V
mögen	1,764705882	3,157894737	V
mohn	0,3	2,055555556	N
mohr	0,4	2,333333333	N
möhre	0,91	1,73	N
mokka	1,1	2,4	N
molch	-0,2	2,3	N
moll	-0,2	2,277777778	N
mollig	-0,8	2,631578947	A
monarch	-0,4	2,611111111	N
monat	0,3	2,111111111	N
mond	1,3	1,833333333	N
mondlos	-0,6	1,421052632	A
monogam	0,2	2	A
monolog	-0,7	2,052631579	N
monopol	-1	2,904761905	N
monoton	-1,3	1,842105263	A
monstrum	-1,8	4,352941176	N
moor	0,3	2,777777778	N
moorbad	0,2	1,944444444	N
moos	0,7	1,904761905	N
moped	-0,2	2,631578947	N
moral	-0,1	2,555555556	N
moralist	-0,8	2,736842105	N
morast	-1,1	2,777777778	N
mord	-2,8	4,444444444	N
morden	-2,7	4,388888889	V
mordfall	-2,4	4,222222222	N
mordtat	-2,9	4,277777778	N
morphem	-1	2	N
morsch	-1	2,894736842	A
mörser	-0,45	2,32	N
moskito	-1,4	3,444444444	N
motiv	0,25	2,555555556	N
motor	0,45	2,8	N
motorrad	1,4	2,888888889	N
motte	-1,55	3,05	N
motto	0,6	2,19047619	N
möwe	-0,05	2,91	N
muffig	-1,4	1,736842105	A
mühe	-0,117647059	2,888888889	N
mumie	-0,6	2,842105263	N
mundraub	-1,2	3,388888889	N
munition	-1,8	3,588235294	N
munkeln	-1,1	2,578947368	V
munter	1,7	3,210526316	A
murmel	1,25	1,473684211	N
murren	-1	2,105263158	V
muschel	1,55	2,18	N
musical	1,1	2,555555556	N
musik	2,4	1,85	N
musikbox	1	2,777777778	N
musiker	1,3	2,222222222	N
muskel	1,05	2,86	N
müssen	-1,382352941	2,80952381	V
mustern	-0,6	2,857142857	V
mut	2,1	3,666666667	N
mutation	-1,4	3,5	N
mutig	2,2	3,315789474	A
mutlos	-1,4	2	A
mutter	2,05	2,666666667	N
mutti	1,8	1,75	N
mystik	0,6	3,19047619	N
mystisch	0,3	2,263157895	A
mythos	0,9	3	N
nabel	0,6	2,315789474	N
nachbar	-0,1	2,375	N
nachfolger	-0,176470588	2,428571429	N
nachmittag	1,235294118	2,210526316	N
nachrede	-1,6	3,176470588	N
nachricht	0,617647059	3,052631579	N
nachruf	-0,7	2,642857143	N
nacht	1	2,888888889	N
nachteil	-1,3	3,166666667	N
nachweisen	-0,294117647	2,666666667	V
nackt	0,8	3,842105263	A
nadel	-0,55	2,857142857	N
nagel	0,25	2,666666667	N
nah	0,8	2,526315789	A
nähe	2	2,277777778	N
nahrung	1,9	2,176470588	N
naiv	-0,8	2,315789474	A
name	0,588235294	2,210526316	N
namenlos	-1	1,789473684	A
namhaft	1,1	2,526315789	A
narbe	-1,15	3,421052632	N
narbig	-0,9	2,526315789	A
narkose	-1,2	3,555555556	N
narr	-0,7	2,736842105	N
naschen	1,2	2,684210526	V
nase	0,32	2,32	N
national	0,1	2,473684211	A
natter	-1,15	3,65	N
natur	2,35	1,888888889	N
nazi	-2,9	4,666666667	N
nazizeit	-2,6	4,375	N
nebel	-0,55	2,684210526	N
neblig	-0,7	2,526315789	A
necken	0,6	2,842105263	V
neffe	0,85	2,238095238	N
negation	-1,2	2,722222222	N
negativ	-2,4	3,555555556	A
neger	-0,6	3,523809524	N
negerin	-0,6	3,380952381	N
nehmen	0,088235294	2	V
neid	-1,9	3,555555556	N
neidisch	-1,5	3,833333333	A
neidlos	0,9	1,526315789	A
neige	-0,85	2,142857143	N
neigen	0,088235294	1,928571429	V
neigung	0,4	2,4375	N
nein	-1,6	3,333333333	N
nelke	1,15	1,842105263	N
nennen	0,294117647	2	V
nett	1,8	2,055555556	A
neubau	-0,2	2,25	N
neugier	0,3	3,555555556	N
neurose	-1,9	3,888888889	N
nichte	0,45	2	N
nicken	0,852941176	2	V
niederlage	-1,794117647	3,666666667	N
niedlich	1	1,789473684	A
niemand	-1,1	1,842105263	A
niere	-0,4	2,705882353	N
niete	-1,5	2,8125	N
nikotin	-0,7	3,238095238	N
niveau	1,352941176	2,111111111	N
nonne	-0,45	2,277777778	N
not	-2	3,944444444	N
notar	-0,2	2,333333333	N
note	-0,4	2,833333333	N
notfall	-1,7	4,529411765	N
notiz	0,65	2,052631579	N
notwehr	-1,1	3,777777778	N
november	-0,5	2,166666667	N
nuckel	0,86	2,09	N
nudel	1,55	1,578947368	N
nuklear	-2,1	4	A
nutzen	0,823529412	2,263157895	V
oase	2,2	1,722222222	N
obhut	0,65	2,105263158	N
objekt	0,35	2,263157895	N
obst	1,4	2,111111111	N
ochse	0,1	2,5	N
ofen	1	2,18	N
offizier	-1,352941176	2,944444444	N
öffnen	0,941176471	2,238095238	V
ohnmacht	-1,6	3,444444444	N
