Title,Author,Date,Type,Conf.Density,Number of Replicas,Avg. Length of Replicas,Max. Length of Replicas,Min. Length of Replicas,Med. Length of Replicas
Doktor Faust,Soden Julius von,{'notAfter': '1831' 'notBefore': '1754'},,0.04843304843304843,1328,13.03012048192771,168,1,7.0
Doktor und Apotheker,Stephanie Johann Gottlieb (der Jüngere),{'notAfter': '1800' 'notBefore': '1741'},Komoedie,0.07134502923976609,742,16.31940700808625,464,1,10.0
Die Liebe im Narrenhause,Stephanie Johann Gottlieb (der Jüngere),{'notAfter': '1792' 'notBefore': '1741'},Komoedie,0.08788230739450252,683,16.619326500732065,135,1,12
Julie,Sturz Helfrich Peter,{'notAfter': '1779' 'notBefore': '1736'},Trauerspiel,0.17068645640074212,370,37.464864864864865,272,1,22.0
Prinz Zerbino oder die Reise nach dem guten Geschmack,Tieck Ludwig,{'when': '1797'},Komoedie,0.04,2411,21.180837826627954,555,1,12
Ritter Blaubart,Tieck Ludwig,{'when': '1796'},Trauerspiel,0.24545454545454545,979,19.18896833503575,500,1,11
Der gestiefelte Kater,Tieck Ludwig,{'notAfter': '1853' 'notBefore': '1773'},Komoedie,0.1738544474393531,583,20.72041166380789,245,1,11
Agnes Bernauer,Hebbel Friedrich,{'notAfter': '1863' 'notBefore': '1813'},Trauerspiel,0.06490299823633157,905,24.60220994475138,351,1,11
Vom verfolgten Lateiner,Weise Christian,{'notAfter': '1708' 'notBefore': '1642'},Komoedie,0.2631578947368421,868,18.972350230414747,264,2,14.0
Masaniello,Weise Christian,{'notAfter': '1708' 'notBefore': '1642'},Trauerspiel,0.04985119047619048,1648,20.205703883495147,159,1,16.0
Der niederländische Bauer,Weise Christian,{'notAfter': '1708' 'notBefore': '1642'},Komoedie,0.08304347826086957,1247,16.447473937449878,108,1,14
Der niederländische Bauer,Weise Christian,{'notAfter': '1708' 'notBefore': '1642'},,0.08304347826086957,1247,16.447473937449878,108,1,14
Atreus und Thyest,Weiße Christian Felix,{'when': '1766'},Trauerspiel,0.25833333333333336,474,27.236286919831223,342,1,13.0
Die Jagd,Weiße Christian Felix,{'notAfter': '1770' 'notBefore': '1726'},Komoedie,0.1157495256166983,773,22.064683053040103,141,1,15
Klementina von Porretta,Wieland Christoph Martin,{'when': '1759'},Schauspiel,0.18915343915343916,362,58.950276243093924,542,2,38.0
Lady Johanna Gray,Wieland Christoph Martin,{'when': '1757'},Trauerspiel,0.18222222222222223,221,57.95475113122172,339,1,36
Abellino,Zschokke Heinrich,{'notAfter': '1848' 'notBefore': '1771'},Schauspiel,0.16794871794871793,912,24.776315789473685,200,1,14.0
