Title: Die Juden
Number of all lemmas: 9755
Nummber of different lemmas: 1526

Lemma	POS	Frequency	Tokens
ei	NE	13	Ei, ei
Mann	NN	13	Mann
lieb	ADJA, ADJD	12	lieben, liebe, lieber, Lieber
hören	VVINF, VVIMP, VVFIN	12	hören, hör, höre, hört, Hören
ob	KOUS	12	Ob, ob
euer	PPOSAT	12	Eurem, Euren, Euer, Eure
unser	PPOSAT	12	unsrer, unserm, Unser, unser, unsere
damit	KOUS, PAV	12	damit
Lisette	NE	11	Lisette
bringen	VVINF, VVFIN, VVPP	11	bringen, bringt, brächte, brachte, gebracht
ohne	KOUI, APPR	11	ohne, Ohne
Bart	NN	11	Bärte, Bart, Bärten
Papa	NN	11	Papa
halten	VVINF, VVFIN	11	halten, hält, halte, hielt
stehen	VVFIN	11	steht, stehen
ha	NE	11	ha
wegen	APPO, APPR	11	wegen
finden	VVFIN, VVPP, VVINF	10	fand, finden, gefunden
Leute	NN	10	Leute, Leuten
Kerl	NN	10	Kerle, Kerl
ach	ITJ	10	Ach
Bediente	NN	10	Bedienten, Bedienter
weil	KOUS	10	weil, Weil
einige	PIAT, PIS	10	einigen, einige
Uhr	NN	9	Uhr
dafür	PAV	9	dafür
Geschenk	NN	9	Geschenken, Geschenk, Geschenke
erst	ADV, ADJA	9	erst, erste
anders	ADV	9	anders
unter	APPR	9	unter
über	APPR	9	über, Über
bitten	VVFIN, VVINF, VVPP	9	bitten, bitte, gebeten
reden	VVINF, VVFIN	9	reden, rede
sonst	ADV	9	sonst, Sonst
Freundschaft	NN	9	Freundschaft
setzen	VVFIN, VVPP, VVINF	9	setzt, gesetzt, Setzen, setzen, Gesetzt
bald	ADV	9	bald
silbern	ADJA, ADJD	9	silberne, silbernen, silbern
gegen	APPR	8	gegen, Gegen
recht	ADJD	8	recht
Herz	NN	8	Herz, Herzen
Zeit	NN	8	Zeit
Vergnügen	NN	8	Vergnügen
fort	PTKVZ, ADV	8	fort, Fort
Tag	NN	8	Tage, Tag, Tagen
groß	ADJD, ADJA	8	groß, großer, größte, großes, große, großen
kömmt	VVFIN, ADJA	8	kömmt
beide	PIS, PIAT	8	beide, beides, beiden
gern	ADV	8	gern
Glück	NN	8	Glück, Glücks
viel	ADV	8	viel, Viel
Wahrheit	NN	8	Wahrheit
Diener	NN	8	Diener
davon	PAV, PTKVZ	8	davon
Seite	NN	7	Seite
beinahe	ADV	7	beinahe, Beinahe
Geier	NN, NE	7	Geier
