Title: Der Freigeist
Number of all lemmas: 20338
Nummber of different lemmas: 2445

Lemma	POS	Frequency	Tokens
ich	PPER, PRF	1154	ich, mich, Ich, mir, Mich
die	ART, PRELS, PRELAT, PDS, PDAT	1081	den, deren, die, der, dem, das, Das, Der, Die, des, Den, dessen, derer, denen, Dem
Sie	PPER	770	Sie, Ihnen
sein	VAFIN, VAINF, VAPP, PPOSAT	768	sind, sein, bin, ist, Ist, gewesen, seinen, seiner, seines, Sind, seine, sei, wäre, wärest, Seinem, wäret, seid, war, Sein, warst, bist, Seine, Bin, seinem, Bist, wären, waren, Seid
eine	ART, PIS	465	Einem, eine, eines, einen, ein, einer, einem, Ein, Eine, Einen
nicht	PTKNEG	379	nicht, Nicht
haben	VAFIN, VAINF, VAPP	366	haben, hat, habe, hätte, hatte, hast, hätten, hättest, Hast, Habe, gehabt, Haben, habt
zu	PTKZU, PTKA, APPR, APPRART, PTKVZ	345	zu, zur, Zu, zum, Zum
und	KON	330	und, Und
es	PPER	318	es, Es
er	PPER	301	er, ihm, Er, ihn, Ihn
dass	KOUS	255	daß, Daß
ihr	PPOSAT, PPER	247	ihrer, Ihr, Ihre, Ihrem, Ihrer, Ihres, Ihren, ihrem, euch, ihr, ihren, ihre, ihres
so	ADV	245	so, So
werden	VAFIN, VAINF, VAPP	235	Werden, werden, würde, wird, werde, würden, werdet, Würde, wirst, worden, geworden, Wird, würdest, Wirst, würdet
was	PRELS, PIS, PWS, PIAT	219	was, Was
wollen	VMFIN, VMINF	207	will, wollen, wollte, willst, wollten, wolle, Wollte, Wollen, Will, Wollten, wollt
sie	PPER	206	sie, Ihr, ihnen
mein	PPOSAT	185	meine, mein, meinem, meines, meiner, Mein, meinen, Meine
können	VMFIN, VMINF	180	können, kann, könne, könnte, Können, könnten, konnte, könnt, Kann, konnten, Kannst, kannst
du	PPER, PRF	179	dich, du, dir, Du
wenn	KOUS	177	wenn, Wenn
in	APPR, APPRART	167	in, im, Im, ins, In
von	APPR, APPRART	157	von, Von, vom
