Title: Der Schatz
Number of all lemmas: 11596
Nummber of different lemmas: 1581

Lemma	POS	Frequency	Tokens
die	PDS, ART, PRELS, PRELAT	667	Das, dem, die, das, der, Die, des, den, Der, Den, Dem, deren, Des
ich	PPER, PRF	608	ich, mir, Ich, mich, Mir
sein	VAINF, VAFIN, PPOSAT, VAPP	483	sein, bin, wäre, wären, ist, sind, Seinen, war, sei, Sein, gewesen, Ist, Seinem, seiner, seine, Seine, seines, Bin, Sind, seinen, seinem, bist, waren, Sei, War, seid, Bist
Sie	PPER	300	Sie, Ihnen
eine	ART, PIS	256	ein, Ein, eine, einer, einem, Eine, einen, eines, Einem, Einen
er	PPER	249	Er, Ihn, er, ihm, ihn
nicht	PTKNEG	225	nicht, Nicht
haben	VAFIN, VAINF, VAPP	220	hat, haben, habe, Hat, hätte, hatten, Hätte, hast, hätten, Habe, hatte, Haben, gehabt, hättest
und	KON	214	und, Und
es	PPER	168	es, Es
zu	PTKZU, APPR, APPRART, PTKA, PTKVZ	160	zu, Zum, zum, zur, Zu
so	ADV	153	so, So
mein	PPOSAT	139	mein, meinen, meine, meiner, meinem, Mein, Meine
dass	KOUS	123	daß, Daß
was	PWS, PIS, PRELS	112	was, Was
wollen	VMFIN, VMINF	106	wollten, will, wollte, wollen, willst, Willst, Wollen, Will, wollt, Wollt, wolle
Herr	NN	105	Herr, Herrn
werden	VAFIN, VAPP, VAINF	102	wird, würden, werden, wurde, würde, worden, Würde, geworden, werde, Wirst, wirst
wenn	KOUS	96	Wenn, wenn
du	PPER, PRF	95	Du, du, dich, dir
ihr	PPER, PPOSAT, PRF	94	ihr, ihre, ihrer, ihres, Ihre, ihrem, ihren, Ihr, Ihrem, Ihrer, Ihren, Ihres, Euch
in	APPR, APPRART	92	in, im, In, Im, Ins, ins
sie	PPER	92	sie, ihnen, Ihr
können	VMFIN, VMINF	88	könnte, kann, können, Kann, Können, Könnte, könne, kannst, könnten, konnte
aber	KON, ADV	85	Aber, aber
doch	ADV, KON	84	doch, Doch
sollen	VMFIN	83	soll, sollten, sollte, sollen, Sollte, Soll, solle, solltest, sollt, sollst
von	APPR, APPRART	80	von, Von, vom
sich	PRF	80	sich, Sich
gut	ADJD, ADJA	73	gut, guten, gute, besser, beste, guter, Guten, besten, Gut, gutes, gutem, Guter
noch	ADV, KON	71	noch, Noch
ja	PTKANT, ADV	70	Ja, ja
auf	APPR, PTKVZ	68	auf, Auf
müssen	VMFIN, VMINF	67	muß, müßte, müssen, mußte, Müßte, Muß, mußt, müßten
wohl	ADV	66	wohl, Wohl
sagen	VVPP, VVFIN, VVINF, VVIMP	66	gesagt, sage, sagen, Sagen, sagt, Sagten, sagte, sagst, sag, Sagt
nun	ADV	65	Nun, nun
auch	ADV	64	auch, Auch
mit	PTKVZ, APPR	63	mit, Mit
wie	KOKOM, KOUS	62	wie, Wie
nur	ADV	61	nur, Nur
als	KOKOM, KOUS, KON	60	als, Als
alle	PIAT, PIS	60	alles, allen, alle, Alles, aller, allem, Alle
für	APPR	53	für, Für
Lelio	NE	52	Lelio
bei	APPR, APPRART	51	bei, beim, Bei
denn	ADV, KON	49	denn, Denn
an	PTKVZ, APPR, APZR, APPRART	49	An, an, am
wieder	ADV	45	wieder
sehen	VVINF, VVIMP, VVPP, VVFIN	44	sehen, sieh, gesehen, sieht, Sehen, sehe, sah, Siehst, siehst, sähe, Sieh
wissen	VVFIN, VVINF, VVPP	41	wissen, weiß, Wissen, wüßte, gewußt, wußte
man	PIS	40	man, Man
Haus	NN	40	Hause, Haus, Häuser
lassen	VVFIN, VVINF, VVPP, VVIMP	38	lasse, lassen, gelassen, laßt, Lassen, läßt, Laß
gehen	VVINF, VVFIN, VVIMP	38	gehen, gehe, ginge, Gehe, Geh, ging, geht, Geht, Gehen, geh
kommen	VVINF, VVFIN, VVIMP, VVPP	38	kommen, Kommen, käme, komme, kam, Komm, gekommen
machen	VVINF, VVFIN, VVPP	35	machen, macht, Machen, gemacht, Mache, machst
geben	VVINF, VVFIN, VVPP	34	geben, gibt, gebe, Gebe, gegeben, gäben, gab
tun	VVFIN, VVINF, VVPP	33	tu, tun, tut, getan, tat, Tun, taten, tust
Jahr	NN	33	Jahr, Jahre, Jahren
Philto	NN, NE, ADJD	33	Philto
ganz	ADJD, ADV, ADJA	33	ganz, ganze, ganzer, ganzen, ganzes, Ganz
eben	ADV	33	eben, Eben
Anselmo	NE	32	Anselmo
schon	ADV	32	schon, Schon
Sohn	NN	30	Sohn, Sohne
lieb	ADJD, ADJA, PTKVZ	30	lieb, lieber, Lieber, liebster, liebes, liebe, lieben
Taler	NN	30	Taler, Talern
Mann	NN	30	Manne, Mann, Männer, Mannes
alt	ADJD, ADJA	30	alt, alte, alter, alten, altem
gar	ADV	30	gar, Gar
Maskarill	NE, ADJD	30	Maskarill
Vater	NN	29	Vater, Vaters
Freund	NN, NE	29	Freund, Freunde, Freundes
da	ADV, KOUS, PTKVZ	28	da, Da
dies	PDAT	28	dieses, diesen, diese, dieser, diesem, Dieses, Diese
hier	ADV	26	hier, Hier
mehr	ADV, PIAT	25	mehr
nichts	PIAT, PIS	24	nichts, Nichts
sprechen	VVFIN, VVINF, VVPP	24	Spricht, sprechen, spreche, gesprochen, sprach, sprächen, sprichst, spricht
ohne	APPR, KOUI	24	ohne, Ohne
um	PTKVZ, KOUI, APPR	23	um, Um
keine	PIAT, PIS	23	keine, kein, keinen
Geld	NN	23	Geld, Gelde
gewiss	ADJD, ADJA	22	gewiß, gewissen, Gewiß, gewisse
selbst	ADV	22	selbst
wir	PPER, PRF	22	wir, uns
aus	APPR, PTKVZ	21	aus
hören	VVFIN, VVINF, VVIMP	21	höre, hören, hörte, hör, Hören, Höre, hört
viele	PIS, PIAT	21	viel, vieles, vielen
etwas	PIS, PIAT, ADV	21	etwas
dein	PPOSAT	21	deine, deinen, deiner, dein, deinem
Staleno	NE	21	Staleno
wer	PWS	21	wer, Wer, wen
jetzt	ADV	20	jetzt, Jetzt
heißen	VVFIN, VVINF	20	heißt, Heißt, heiße, heißen, hieße, hieß
oder	KON	20	oder, Oder
kennen	VVPP, VVFIN, VVINF, VVIMP	20	gekannt, kennt, kennen, kennte, kenne, Kennen, kenn, Kennst
recht	ADJD, ADJA	20	recht, rechter, Recht
Leute	NN	19	Leuten, Leute
genug	ADV	19	genug
tausend	CARD	19	tausend
sehr	ADV	19	sehr
wo	PWAV	18	wo, Wo
nehmen	VVFIN, VVINF, VVPP, VVIMP	18	Nehmen, nehme, nähme, nehmen, genommen, nahm, nimmt, nimm, nehmt
welche	PRELS, PWAT	17	welchen, welches, welchem, Welche, welcher, welche
Name	NN	17	Namen, Name
O	NN	17	O
vor	APPR, PTKVZ	16	vor, Vor
gleich	ADJD	16	gleich
groß	ADJA, ADJD	15	größte, großes, größten, Große, groß, großer, größer
Schwester	NN	14	Schwester
Mädchen	NN	14	Mädchen
Wort	NN	14	Wort, Worte
viel	ADV	14	viel
wahr	ADJD, ADJA	14	wahr, wahre
denken	VVINF, VVFIN	14	denken, denke, dachten, dächte, Denkst
je	ADV	14	je, Je
ob	KOUS	14	ob
Leander	NE	14	Leander
Anselmus	NE	14	Anselmus
Mündel	NN	14	Mündel, Mündels
Vormund	NN	14	Vormund, Vormünder, Vormunds
glauben	VVFIN, VVINF, VVPP	14	glaube, glaubte, glauben, geglaubt, glaubt
gegen	APPR	13	gegen
finden	VVFIN, VVINF	13	fände, finden, findet, fand
bringen	VVFIN, VVPP	13	bringt, gebracht, bringen, Bringe, bringe
kriegen	VVFIN, VVINF	13	kriegt, kriege, kriegten, kriegen
also	ADV	13	also
wohnen	VVFIN, VVINF, VVPP	13	wohnt, wohnen, gewohnt
Aussteuer	NN	13	Aussteuer
Raps	NN	13	Raps
erst	ADJA, ADV	12	ersten, erst, erste
leihen	VVINF, VVFIN, VVPP	12	leihen, leihe, Leihe, geliehen
ehrlich	ADJA, ADJD	12	ehrliche, ehrlicher, ehrlichen, ehrlich
meinen	VVFIN	12	Meine, Meinen, meinen, meinte, meinten, meine, meinst
über	APPR	12	über
wenige	PIS, PIAT	12	wenig, Wenig, wenigen, weniger
durch	APPR	12	durch
warum	PWAV	12	warum, Warum
mögen	VMFIN	12	mögen, mag, möchte, Mögen, möchten
Brief	NN	12	Briefe
Interesse	NN	12	Interessen
niemand	PIS	11	niemanden, niemand, Niemand
Tochter	NN	11	Tochter
klein	ADJD, ADJA	11	klein, kleine, kleiner, kleinen, kleinste
andere	PIS, PIAT	11	andrer, andern, andere, andre
vielleicht	ADV	11	Vielleicht, vielleicht
Hand	NN	11	Hände, Hand, Händen
ach	ITJ	11	Ach
einmal	ADV	11	einmal
nach	APPR, PTKVZ	11	Nach, nach
nennen	VVFIN, VVINF	11	nennt, nennen, Nenne, Nennen, nenne
arm	ADJD, ADJA	11	arm, armen, armes, arme, armer
Betrieger	NN	11	Betrieger
halten	VVFIN, VVPP, VVINF	11	halte, gehalten, halten, Halten, Halte
Koffer	NN	11	Koffer
weg	ADV, PTKVZ	11	weg
Seite	NN	10	Seite, Seiten
verdienen	VVINF, VVFIN, VVPP	10	verdienen, verdient
ei	NE, FM	10	Ei, ei
fragen	VVFIN, VVINF	10	frage, fragen, fragten, fragte, fragt
ab	PTKVZ	10	ab
bekommen	VVINF, VVPP	10	bekommen
reden	VVINF, VVFIN	10	reden, Reden, redet
Kind	NN	10	Kinder, Kindern, Kind
zwar	ADV	10	zwar, Zwar
damit	KOUS, PAV	10	damit
verkaufen	VVPP, VVINF	10	verkauft, verkaufen
bald	ADV	10	bald, Bald
bezahlen	VVPP, VVINF	9	bezahlt, bezahlen, Bezahlt
