Title: Die Juden
Number of all tokens: 3747
Nummber of different tokens: 1862

Token	Frequency
notwendig	2
tu	2
wohin	2
hinein	2
Menschenliebe	2
trinken	2
hast	2
aufs	2
rächen	2
Gewissen	2
gewußt	2
Adel	2
halte	2
Bitten	2
heran	2
rasend	2
Bärte	2
unschätzbar	2
Hamburg	2
möge	2
Rat	2
begeben	2
ernsthaft	2
hart	2
bedeuten	2
Komm	2
irren	2
unverschämt	2
Vaterlande	2
Wege	2
Verdachte	2
Freiheit	2
küssen	2
anzunehmen	2
Unwahrheit	2
rechtschaffne	2
Kind	2
dadurch	2
Schaden	2
Seele	2
Tage	2
Urteile	2
Verdammt	2
Natur	2
bewegen	2
ansehn	2
ähnlicher	2
niedergeschlagen	2
Engeland	2
Schade	2
weis	2
wanns	2
Gesicht	2
verfahren	2
fast	2
wohlbestallter	2
Verlust	2
Herren	2
Prise	2
umwenden	2
lügen	2
Not	2
Holland	2
gemein	2
reich	2
Ort	2
erzeigt	2
Bedenken	2
Lügen	2
Frankreich	2
kurzen	2
Geschenke	2
liebenswürdig	2
rechtschaffnen	2
verlangen	2
eins	2
Reisende	2
getroffen	2
beschuldigt	2
reißen	2
gedenken	2
brachte	2
Hause	2
verbinden	2
Rede	2
meinige	2
Zorn	2
Schweigt	2
weisen	2
verloren	2
übrigen	2
Überlegen	2
Wohltäters	2
Herzen	2
Gast	2
zeigen	2
ganzen	2
Geben	2
spotten	2
Kenner	2
zumuten	2
vergebens	2
Christ	2
beigestanden	2
Spitzbuben	2
Physiognomie	2
wild	2
Verwirrung	2
längst	2
vermummt	2
halbpart	2
greifen	2
Liebesantrag	2
Gewiß	2
Tasche	2
weg	2
wem	2
werfe	2
kluges	2
Frühstück	2
wünschen	2
ertappte	2
gegeben	2
wolle	2
Segen	2
Welt	2
geblieben	2
Vertrauen	2
entsetzlich	2
seit	2
wär	2
zweifeln	2
Entleibten	2
gestohlen	2
Nachricht	2
jung	2
steinern	2
Mensch	2
höchste	2
vortrefflich	2
Respekt	1
fragst	1
erwiesene	1
nieder	1
Könntest	1
Wochen	1
verschiedenen	1
letzten	1
ungeneigt	1
Richter	1
dürstet	1
naseweiser	1
Brodgrümel	1
Straßenräuber	1
Vergiß	1
Schubsäcke	1
Umgang	1
täte	1
deutsch	1
angefangen	1
unsicher	1
verrate	1
Schritte	1
Merken	1
Miene	1
ausersehen	1
toll	1
Zeug	1
satteln	1
schätze	1
drei	1
wirds	1
ungefähr	1
Eigennützige	1
erfreut	1
ungekünsteltste	1
allzeit	1
Stand	1
gewissenhaft	1
Trinkliedern	1
Sehe	1
drauf	1
anzusehen	1
Dinge	1
wars	1
Person	1
Franzosen	1
Gewinst	1
Heiraten	1
Bedenkzeit	1
befinde	1
Beinahe	1
hundert	1
niemand	1
nachteilig	1
Unhöflichkeit	1
hol	1
ansehnlichen	1
wichtigere	1
hört	1
hiesige	1
verkappten	1
nachreden	1
Weinen	1
Feinden	1
hüten	1
herzu	1
Untergebnen	1
Kriegsdiensten	1
versprechen	1
Heldentaten	1
getragen	1
Jungen	1
Schuldigen	1
fetten	1
Antwort	1
Anverwandten	1
dorthin	1
gezeigt	1
drinne	1
durchzukommen	1
begreife	1
Lisettchen	1
behaltet	1
Zeitlebens	1
Rittergute	1
übereinstimmen	1
dasmal	1
Darzu	1
jüdischen	1
Rechts	1
Rechte	1
Unterhaltung	1
entzückt	1
Städten	1
Geschwind	1
verknüpften	1
frei	1
wenigem	1
unendlich	1
muntre	1
Lisetten	1
sahe	1
Geheimnisse	1
solch	1
Ernste	1
Seiner	1
Siebensachen	1
Besser	1
liefen	1
Gleichwohl	1
Pistol	1
raten	1
tot	1
herkommen	1
Träumen	1
Närrin	1
laufen	1
Woher	1
verblenden	1
Bewegungen	1
strebe	1
binnen	1
vielem	1
Viertelstunde	1
liefst	1
verraten	1
bedanket	1
abgeschmackt	1
vieles	1
verheiratet	1
herrschet	1
Eigennutz	1
durchaus	1
nachfolgen	1
denkts	1
gingen	1
herrschen	1
künftig	1
Einfall	1
taumelt	1
Ungelegenheit	1
angekommen	1
gemeint	1
wünsch	1
einladen	1
Seid	1
weine	1
geschlagen	1
visitieren	1
Fuß	1
kleine	1
gutherzige	1
ausfragen	1
Sinne	1
lacht	1
mitten	1
gestürzt	1
wirst	1
kurzer	1
sieh	1
kurzem	1
weswegen	1
haßte	1
küßt	1
Mademoisell	1
verteidigen	1
ausgerissen	1
Gewaltsamkeit	1
vielmehr	1
schimpflich	1
verschaffen	1
inne	1
machst	1
genötigt	1
Alfanzereien	1
fangen	1
schimpft	1
bekannt	1
allzugewissenhaften	1
Philosophie	1
hebe	1
erlernt	1
untertänige	1
Ausflucht	1
Vortrefflicher	1
erfodert	1
Treu	1
lösete	1
Volke	1
brav	1
zweitenmal	1
vexieren	1
Schreien	1
Wundern	1
Verse	1
wider	1
Gnüge	1
Marquisin	1
Italien	1
ochsenmäßig	1
gepflegt	1
belieben	1
stehlen	1
übereilte	1
fest	1
verflucht	1
Kerle	1
boshafterer	1
Schutzengel	1
Erklären	1
erstreckt	1
zugezogen	1
gewöhnen	1
erzählen	1
Niesen	1
junge	1
Schande	1
nie	1
Portion	1
sollt	1
Grobian	1
Verlauf	1
