Title: Die Juden
Number of all lemmas: 3563
Nummber of different lemmas: 1762

Lemma	POS	Frequency	Tokens
Herr	NN, JJ	49	Herr
sagen	VBN, VB	37	gesagt, sagt, sagen, sage, sagte
wohl	RB, RP, IN	29	wohl
Dose	NN	26	Dose
Jude	NNS, NN	24	Juden, Jude
glauben	VB, VBN	24	glaube, glauben, glaubt, geglaubt, glaubte
gut	JJ	23	gut, guter, guten, gute, gutem
Herrn	NN, NNP, JJ	22	Herrn
meine	PRP$	22	meine
sehen	VB, RP, VBN, RB	20	sieht, gesehen, sehen, seht
wenig	IN, DT, WRB, JJ, RB, RP	20	wenig, wenige, wenigen
Vogt	NNP, NN	19	Vogt
Freund	NN, NNS	19	Freund, Freunde
wahr	RP, RB	18	wahr
nehmen	VB, RP, RB	17	nimmt, nehme, genommen, nehmen
ehrlich	JJ	16	ehrlichen, ehrlicher, ehrliches
gewiss	NN, JJ	15	gewiß, gewissen, gewisser
gar	RB, RP	15	gar
eben	RB	14	eben
weeissen	VB	14	weiß
wissen	VB, RB	13	wissen
Mann	NN	13	Mann
denken	VB, VBN	13	denken, denke, dachte
ist	VB, JJ	11	ist
lieb	JJ, VB	11	lieben, liebe, lieber
Hand	NN	11	Hand
Lisette	NN, NNP	11	Lisette
fragen	VB, VBN	11	fragen, fragt, gefragt
Ei	NN	11	Ei
Papa	NN	11	Papa
Allein	NN, RB	11	Allein
stehen	NN, VB, RB	11	steht, stehen
ha	NN	11	ha
Ach	NN	10	Ach
Kerl	NNS, NN	10	Kerle, Kerl
finden	VB, VBN, RB	10	fand, finden, gefunden
andre	NN	9	andre
Uhr	NN	9	Uhr
gehabt	NN, NNP	9	gehabt
erst	RB, JJ, IN, RP	9	erst, erste
Ihrem	NN, JJ	9	Ihrem
reden	VB, PRP$	9	reden, rede
Freundschaft	NN, JJ	9	Freundschaft
rechen	VB	9	rechten, recht, rechte
Herz	NN, NNS	8	Herz, Herzen
kömmen	MD	8	kömmt
bitten	VB, VBN	8	bitten, bitte, gebeten
Vergnügen	NN	8	Vergnügen
soen	RB, VBN, VB	8	so
Zeit	NN	8	Zeit
Wahrheit	NN	8	Wahrheit
meines	NN, IN, JJ	8	meines
sehe	PRP$	8	sehe
Bart	NN, NNP	8	Bart
gern	RP, IN, RB	8	gern
bald	RB, WRB	8	bald
Diener	NNP, NN	8	Diener
Seite	NN	7	Seite
Geier	NN	7	Geier
